字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	在旧阁楼的角落里，住着一只不会痛的玩偶猫。	在舊閣樓的角落裡，住著一隻不會痛的玩偶貓。	古い屋根裏に、痛みを感じないラグドールが住んでいる。	낡은 다락방 구석에는 아픔을 모르는 인형 고양이가 한 마리 살고 있었다.	In a dusty attic corner lived a plush cat who couldn't feel pain.						0	1.3重置
2	她从高处跳下不会喊“呜咪”，踩到尖刺也不会逃跑。	她從高處跳下不會喊“嗚咪”，踩到尖刺也不會逃跑。	高いところから飛び降りても「ミャオ」と鳴かず、尖ったものを踏んでも逃げない。	높은 곳에서 떨어져도 '냐앙' 하고 울지 않고, 가시를 밟아도 도망가지 않았다.	She never meowed when she fell, nor flinched when she stepped on pins.						0	1.3重置
3	其他小猫摇摇头：“她真奇怪喵。”，渐渐疏远了她。	其他小貓搖搖頭：“她真奇怪喵。”，漸漸疏遠了她。	ほかの猫たちは頭を振りながら「あの子は変だニャ」と言って、次第に彼女から遠ざかっていった。	다른 고양이들은 고개를 저으며 말했다. "이상한 고양이다냥." 그러면서 그녀와 점점 멀어졌다.	The other kittens shook their heads. "She's weird, nya," they whispered, keeping their distance.						0	1.3重置
4	可玩偶猫还是大摇大摆地晃着尾巴，钻过碎玻璃，爬上歪斜的墙。	可玩偶貓還是大搖大擺地晃著尾巴，鑽過碎玻璃，爬上歪斜的牆。	しかし、ラグドールは大きく尾を優雅に振りながら、砕けたガラスをくぐりぬけ、傾いた壁を登っていく。	하지만 인형 고양이는 여전히 꼬리를 흔들며 깨진 유리를 지나고 기울어진 벽을 올랐다.	But the plush cat strutted on, tail high, slipping through shattered glass doors, scaling crooked walls.						0	1.3重置
5	某一天，玩偶猫遇见了一只小灰猫——	某一天，玩偶貓遇見了一隻小灰貓——	ある日、ラグドールは小さな灰色の猫に出会った——	어느 날, 인형 고양이는 회색 고양이 한 마리를 만났다.	One day, the plush cat met a little gray cat...						0	1.3重置
6	“会受伤的！”他总是这样喊，用软软的爪子拉住她。	“會受傷的！”他總是這樣喊，用軟軟的爪子拉住她。	「ケガするよ！」と彼はいつもこう叫びながら、モフモフの手で彼女を引き留める。	"그러다가 다쳐!" 그는 늘 이렇게 외치면서, 부드러운 발로 그녀를 붙잡았다.	"You'll get hurt!" he'd always say, tugging her gently away from sharp things with his soft little paw.						0	1.3重置
7	哪怕玩偶猫眨着眼睛不懂“受伤”是什么模样。	哪怕玩偶貓眨著眼睛不懂“受傷”是什麼模樣。	たとえラグドールが「ケガ」という概念を理解できなくても、彼はこう叫び続けていた。	인형 고양이는 '상처'가 무엇인지도 모른 채 그저 눈을 깜빡일 뿐이었지만.	She just blinked, puzzled — never quite sure what "hurt" meant.						0	1.3重置
8	不过即便如此，两只小猫还是相处得很愉快。	不過即便如此，兩隻小貓還是相處得很愉快。	2匹はとても楽しく過ごし、	그래도 두 고양이는 함께 즐겁게 지냈다.	But even so, they got along just fine.						0	1.3重置
9	他们成为了彼此的伴侣。	他們成為了彼此的伴侶。	伴侶にもなった。	그들은 서로의 반려가 되었다.	And before long, they became inseparable.						0	1.3重置
