ID（10-血量；20-攻击；30-防御）	注释	1级值	2级值	3级值	4级值	5级值	6级值	7级值	8级值	9级值	10级值	11级值	12级值	13级值	14级值	15级值	16级值	17级值	18级值	19级值	20级值	21级值	22级值	23级值	24级值	25级值	26级值	27级值	28级值	29级值	30级值	31级值	32级值	33级值	34级值	35级值	36级值	37级值	38级值	39级值	40级值	41级值	42级值	43级值	44级值	45级值	46级值	47级值	48级值	49级值	50级值	51级值	52级值	53级值	54级值	55级值	56级值	57级值	58级值	59级值	60级值	61级值	62级值	63级值	64级值	65级值	66级值	67级值	68级值	69级值	70级值	71级值	72级值	73级值	74级值	75级值	76级值	77级值	78级值	79级值	80级值	81级值	82级值	83级值	84级值	85级值	86级值	87级值	88级值	89级值	90级值	91级值	92级值	93级值	94级值	95级值	96级值	97级值	98级值	99级值	100级值	101级值	102级值	103级值	104级值	105级值	106级值	107级值	108级值	109级值	110级值	111级值	112级值	113级值	114级值	115级值	116级值	117级值	118级值	119级值	120级值	121级值	122级值	123级值	124级值	125级值	126级值	127级值	128级值	129级值	130级值	131级值	132级值	133级值	134级值	135级值	136级值	137级值	138级值	139级值	140级值	141级值	142级值	143级值	144级值	145级值	146级值	147级值	148级值	149级值	150级值	151级值	152级值	153级值	154级值	155级值	156级值	157级值	158级值	159级值	160级值	161级值	162级值	163级值	164级值	165级值	166级值	167级值	168级值	169级值	170级值	171级值	172级值	173级值	174级值	175级值	176级值	177级值	178级值	179级值	180级值	181级值	182级值	183级值	184级值	185级值	186级值	187级值	188级值	189级值	190级值	191级值	192级值	193级值	194级值	195级值	196级值	197级值	198级值	199级值	200级值	201级值	202级值	203级值	204级值	205级值	206级值	207级值	208级值	209级值	210级值	211级值	212级值	213级值	214级值	215级值	216级值	217级值	218级值	219级值	220级值	221级值	222级值	223级值	224级值	225级值	226级值	227级值	228级值	229级值	230级值	231级值	232级值	233级值	234级值	235级值	236级值	237级值	238级值	239级值	240级值	241级值	242级值	243级值	244级值	245级值	246级值	247级值	248级值	249级值	250级值	251级值	252级值	253级值	254级值	255级值	256级值	257级值	258级值	259级值	260级值	261级值	262级值	263级值	264级值	265级值	266级值	267级值	268级值	269级值	270级值	271级值	272级值	273级值	274级值	275级值	276级值	277级值	278级值	279级值	280级值	281级值	282级值	283级值	284级值	285级值	286级值	287级值	288级值	289级值	290级值	291级值	292级值	293级值	294级值	295级值	296级值	297级值	298级值	299级值	300级值
ID	Comment	Lv1	Lv2	Lv3	Lv4	Lv5	Lv6	Lv7	Lv8	Lv9	Lv10	Lv11	Lv12	Lv13	Lv14	Lv15	Lv16	Lv17	Lv18	Lv19	Lv20	Lv21	Lv22	Lv23	Lv24	Lv25	Lv26	Lv27	Lv28	Lv29	Lv30	Lv31	Lv32	Lv33	Lv34	Lv35	Lv36	Lv37	Lv38	Lv39	Lv40	Lv41	Lv42	Lv43	Lv44	Lv45	Lv46	Lv47	Lv48	Lv49	Lv50	Lv51	Lv52	Lv53	Lv54	Lv55	Lv56	Lv57	Lv58	Lv59	Lv60	Lv61	Lv62	Lv63	Lv64	Lv65	Lv66	Lv67	Lv68	Lv69	Lv70	Lv71	Lv72	Lv73	Lv74	Lv75	Lv76	Lv77	Lv78	Lv79	Lv80	Lv81	Lv82	Lv83	Lv84	Lv85	Lv86	Lv87	Lv88	Lv89	Lv90	Lv91	Lv92	Lv93	Lv94	Lv95	Lv96	Lv97	Lv98	Lv99	Lv100	Lv101	Lv102	Lv103	Lv104	Lv105	Lv106	Lv107	Lv108	Lv109	Lv110	Lv111	Lv112	Lv113	Lv114	Lv115	Lv116	Lv117	Lv118	Lv119	Lv120	Lv121	Lv122	Lv123	Lv124	Lv125	Lv126	Lv127	Lv128	Lv129	Lv130	Lv131	Lv132	Lv133	Lv134	Lv135	Lv136	Lv137	Lv138	Lv139	Lv140	Lv141	Lv142	Lv143	Lv144	Lv145	Lv146	Lv147	Lv148	Lv149	Lv150	Lv151	Lv152	Lv153	Lv154	Lv155	Lv156	Lv157	Lv158	Lv159	Lv160	Lv161	Lv162	Lv163	Lv164	Lv165	Lv166	Lv167	Lv168	Lv169	Lv170	Lv171	Lv172	Lv173	Lv174	Lv175	Lv176	Lv177	Lv178	Lv179	Lv180	Lv181	Lv182	Lv183	Lv184	Lv185	Lv186	Lv187	Lv188	Lv189	Lv190	Lv191	Lv192	Lv193	Lv194	Lv195	Lv196	Lv197	Lv198	Lv199	Lv200	Lv201	Lv202	Lv203	Lv204	Lv205	Lv206	Lv207	Lv208	Lv209	Lv210	Lv211	Lv212	Lv213	Lv214	Lv215	Lv216	Lv217	Lv218	Lv219	Lv220	Lv221	Lv222	Lv223	Lv224	Lv225	Lv226	Lv227	Lv228	Lv229	Lv230	Lv231	Lv232	Lv233	Lv234	Lv235	Lv236	Lv237	Lv238	Lv239	Lv240	Lv241	Lv242	Lv243	Lv244	Lv245	Lv246	Lv247	Lv248	Lv249	Lv250	Lv251	Lv252	Lv253	Lv254	Lv255	Lv256	Lv257	Lv258	Lv259	Lv260	Lv261	Lv262	Lv263	Lv264	Lv265	Lv266	Lv267	Lv268	Lv269	Lv270	Lv271	Lv272	Lv273	Lv274	Lv275	Lv276	Lv277	Lv278	Lv279	Lv280	Lv281	Lv282	Lv283	Lv284	Lv285	Lv286	Lv287	Lv288	Lv289	Lv290	Lv291	Lv292	Lv293	Lv294	Lv295	Lv296	Lv297	Lv298	Lv299	Lv300
11100	血量-普攻	80	90	101	113	126	140	155	171	188	206	225	245	266	288	311	335	360	386	413	441	471	503	537	573	611	651	693	737	783	831	881	935	993	1055	1121	1191	1265	1343	1425	1511	1601	1695	1793	1895	2001	2111	2226	2346	2471	2601	2736	2876	3021	3171	3326	3486	3651	3821	3996	4176	4361	4551	4746	4946	5151	5361	5576	5796	6021	6251	6486	6726	6971	7221	7476	7736	8001	8271	8546	8826	9003	9183	9367	9554	9745	9940	10139	10342	10549	10760	10975	11195	11419	11647	11880	12118	12360	12607	12859	13116	13378	13646	13919	14197	14481	14771	15066	15367	15674	15987	16307	16633	16966	17305	17651	18004	18364	18731	19106	19488	19878	20276	20682	21096	21518	21948	22387	22835	23292	23758	24233	24718	25212	25716	26230	26755	27290	27836	28393	28961	29540	30131	30734	31349	31976	32616	33268	33933	34612	35304	36010	36730	37465	38214	38978	39758	40553	41364	42191	43035	43896	44774	45669	46582	47514	48464	49433	50422	51430	52459	53508	54578	55670	56783	57919	59077	60259	61464	62693	63947	65226	66531	67862	69219	70603	72015	73455	74924	76422	77950	79509	81099	82721	84375	86063	87784	89540	91331	93158	95021	96921	98859	100836	102853	104910	107008	109148	111331	113558	115829	118146	120509	122919	125377	127885	130443	133052	135713	138427	141196	144020	146900	149838	152835	155892	159010	162190	165434	168743	172118	175560	179071	182652	186305	190031	193832	197709	201663	205696	209810	214006	218286	222652	227105	231647	236280	241006	245826	250743	255758	260873	266090	271412	276840	282377	288025	293786	299662	305655	311768	318003	324363	330850	337467	344216	351100	358122	365284	372590	380042	387643	395396	403304	411370	419597	427989	436549	445280	454186	463270	472535	481986	491626	501459	511488	521718	532152	542795	553651	564724	576018	587538	599289	611275	623501	635971	648690	661664	674897	688395
12100	血量-普攻+常规	90	102	115	130	146	163	181	201	222	244	267	291	317	344	372	401	431	463	496	530	567	606	647	691	737	786	837	891	947	1006	1067	1133	1204	1280	1360	1445	1535	1630	1730	1835	1945	2060	2179	2303	2432	2566	2706	2852	3004	3162	3327	3498	3675	3858	4047	4242	4443	4650	4863	5082	5307	5539	5777	6021	6271	6527	6789	7057	7331	7611	7897	8190	8489	8794	9105	9422	9745	10074	10409	10750	10965	11184	11408	11636	11869	12106	12348	12595	12847	13104	13366	13633	13906	14184	14468	14757	15052	15353	15660	15973	16292	16618	16950	17289	17635	17988	18348	18715	19089	19471	19860	20257	20662	21075	21497	21927	22366	22813	23269	23734	24209	24693	25187	25691	26205	26729	27264	27809	28365	28932	29511	30101	30703	31317	31943	32582	33234	33899	34577	35269	35974	36693	37427	38176	38940	39719	40513	41323	42149	42992	43852	44729	45624	46536	47467	48416	49384	50372	51379	52407	53455	54524	55614	56726	57861	59018	60198	61402	62630	63883	65161	66464	67793	69149	70532	71943	73382	74850	76347	77874	79431	81020	82640	84293	85979	87699	89453	91242	93067	94928	96827	98764	100739	102754	104809	106905	109043	111224	113448	115717	118031	120392	122800	125256	127761	130316	132922	135580	138292	141058	143879	146757	149692	152686	155740	158855	162032	165273	168578	171950	175389	178897	182475	186125	189848	193645	197518	201468	205497	209607	213799	218075	222437	226886	231424	236052	240773	245588	250500	255510	260620	265832	271149	276572	282103	287745	293500	299370	305357	311464	317693	324047	330528	337139	343882	350760	357775	364931	372230	379675	387269	395014	402914	410972	419191	427575	436127	444850	453747	462822	472078	481520	491150	500973	510992	521212	531636	542269	553114	564176	575460	586969	598708	610682	622896	635354	648061	661022	674242	687727	701482	715512	729822	744418	759306	774492	789982	805782	821898	838336
13100	血量-普攻+常规+支援	100	116	133	152	172	194	217	242	268	296	325	356	389	423	459	496	535	575	617	660	707	757	810	866	925	987	1052	1120	1191	1265	1343	1427	1517	1613	1715	1824	1939	2060	2187	2320	2460	2606	2758	2916	3080	3251	3429	3615	3809	4011	4220	4437	4662	4895	5135	5383	5639	5903	6174	6453	6740	7035	7337	7647	7965	8291	8624	8965	9314	9671	10035	10407	10787	11175	11570	11973	12384	12803	13229	13663	13936	14215	14499	14789	15085	15387	15695	16009	16329	16656	16989	17329	17676	18030	18391	18759	19134	19517	19907	20305	20711	21125	21548	21979	22419	22867	23324	23790	24266	24751	25246	25751	26266	26791	27327	27874	28431	29000	29580	30172	30775	31391	32019	32659	33312	33978	34658	35351	36058	36779	37515	38265	39030	39811	40607	41419	42247	43092	43954	44833	45730	46645	47578	48530	49501	50491	51501	52531	53582	54654	55747	56862	57999	59159	60342	61549	62780	64036	65317	66623	67955	69314	70700	72114	73556	75027	76528	78059	79620	81212	82836	84493	86183	87907	89665	91458	93287	95153	97056	98997	100977	102997	105057	107158	109301	111487	113717	115991	118311	120677	123091	125553	128064	130625	133238	135903	138621	141393	144221	147105	150047	153048	156109	159231	162416	165664	168977	172357	175804	179320	182906	186564	190295	194101	197983	201943	205982	210102	214304	218590	222962	227421	231969	236608	241340	246167	251090	256112	261234	266459	271788	277224	282768	288423	294191	300075	306077	312199	318443	324812	331308	337934	344693	351587	358619	365791	373107	380569	388180	395944	403863	411940	420179	428583	437155	445898	454816	463912	473190	482654	492307	502153	512196	522440	532889	543547	554418	565506	576816	588352	600119	612121	624363	636850	649587	662579	675831	689348	703135	717198	731542	746173	761096	776318	791844	807681	823835	840312	857118	874260	891745	909580	927772	946327	965254	984559	1004250	1024335	1044822	1065718
14100	血量-普攻+常规+支援+大招	130	151	174	199	226	255	286	319	354	391	430	471	514	559	606	655	706	759	814	871	933	999	1069	1143	1221	1303	1389	1479	1573	1671	1774	1885	2004	2131	2266	2410	2562	2722	2890	3066	3251	3444	3645	3854	4071	4297	4533	4779	5035	5302	5579	5866	6163	6471	6789	7117	7455	7804	8163	8532	8911	9301	9701	10111	10531	10962	11403	11854	12315	12787	13269	13761	14263	14776	15299	15832	16375	16929	17493	18067	18428	18797	19173	19556	19947	20346	20753	21168	21591	22023	22463	22912	23370	23837	24314	24800	25296	25802	26318	26844	27381	27929	28488	29058	29639	30232	30837	31454	32083	32725	33380	34048	34729	35424	36132	36855	37592	38344	39111	39893	40691	41505	42335	43182	44046	44927	45826	46743	47678	48632	49605	50597	51609	52641	53694	54768	55863	56980	58120	59282	60468	61677	62911	64169	65452	66761	68096	69458	70847	72264	73709	75183	76687	78221	79785	81381	83009	84669	86362	88089	89851	91648	93481	95351	97258	99203	101187	103211	105275	107381	109529	111720	113954	116233	118558	120929	123348	125815	128331	130898	133516	136186	138910	141688	144522	147412	150360	153367	156434	159563	162754	166009	169329	172716	176170	179693	183287	186953	190692	194506	198396	202364	206411	210539	214750	219045	223426	227895	232453	237102	241844	246681	251615	256647	261780	267016	272356	277803	283359	289026	294807	300703	306717	312851	319108	325490	332000	338640	345413	352321	359367	366554	373885	381363	388990	396770	404705	412799	421055	429476	438066	446827	455764	464879	474177	483661	493334	503201	513265	523530	534001	544681	555575	566687	578021	589581	601373	613400	625668	638181	650945	663964	677243	690788	704604	718696	733070	747731	762686	777940	793499	809369	825556	842067	858908	876086	893608	911480	929710	948304	967270	986615	1006347	1026474	1047003	1067943	1089302	1111088	1133310	1155976	1179096	1202678	1226732	1251267	1276292	1301818	1327854	1354411	1381499	1409129
15100	血量-普攻+常规+大招	120	137	156	177	200	224	250	278	308	339	372	406	442	480	519	560	602	647	693	741	793	848	906	968	1033	1102	1174	1250	1329	1412	1498	1591	1691	1798	1911	2031	2158	2292	2433	2581	2736	2898	3066	3241	3423	3612	3810	4016	4230	4453	4686	4927	5176	5434	5701	5976	6259	6551	6852	7161	7478	7805	8141	8485	8837	9198	9568	9946	10332	10727	11131	11544	11965	12395	12834	13281	13736	14200	14673	15154	15457	15766	16082	16403	16731	17065	17406	17754	18109	18471	18840	19216	19600	19991	20391	20798	21214	21638	22071	22512	22962	23422	23890	24368	24855	25353	25861	26379	26906	27445	27994	28554	29125	29708	30302	30908	31527	32157	32800	33455	34125	34807	35503	36214	36939	37678	38432	39201	39985	40785	41601	42433	43282	44147	45030	45931	46850	47787	48743	49718	50712	51725	52760	53815	54891	55989	57108	58250	59414	60602	61814	63050	64312	65598	66910	68248	69613	71005	72424	73873	75351	76858	78395	79963	81563	83194	84857	86554	88285	90052	91854	93691	95564	97475	99425	101414	103443	105512	107622	109775	111970	114209	116493	118823	121200	123624	126096	128618	131190	133814	136490	139220	142004	144845	147741	150695	153709	156784	159919	163118	166380	169708	173102	176564	180095	183697	187371	191118	194941	198840	202817	206874	211012	215232	219537	223928	228406	232974	237633	242386	247234	252179	257223	262368	267616	272968	278428	283996	289676	295469	301378	307405	313554	319826	326223	332747	339401	346188	353112	360174	367378	374725	382220	389864	397661	405615	413727	422002	430442	439050	447831	456788	465924	475243	484748	494443	504332	514419	524708	535202	545907	556825	567961	579320	590906	602724	614779	627075	639617	652410	665458	678768	692343	706190	720313	734719	749413	764401	779689	795282	811188	827411	843959	860838	878055	895616	913528	931798	950434	969443	988833	1008610	1028782	1049358	1070344	1091751	1113586	1135858	1158575	1181747
11120		96	108	121	136	151	168	186	205	226	247	270	294	319	346	373	402	432	463	496	529	565	604	644	688	733	781	832	884	940	997	1057	1122	1192	1266	1345	1429	1518	1612	1710	1813	1921	2034	2152	2274	2401	2533	2671	2815	2965	3121	3283	3451	3625	3805	3991	4183	4381	4585	4795	5011	5233	5461	5695	5935	6181	6433	6691	6955	7225	7501	7783	8071	8365	8665	8971	9283	9601	9925	10255	10591	10804	11020	11240	11465	11694	11928	12167	12410	12659	12912	13170	13434	13703	13976	14256	14542	14832	15128	15431	15739	16054	16375	16703	17036	17377	17725	18079	18440	18809	19184	19568	19960	20359	20766	21181	21605	22037	22477	22927	23386	23854	24331	24818	25315	25822	26338	26864	27402	27950	28510	29080	29662	30254	30859	31476	32106	32748	33403	34072	34753	35448	36157	36881	37619	38371	39139	39922	40720	41534	42365	43212	44076	44958	45857	46774	47710	48664	49637	50629	51642	52675	53729	54803	55898	57017	58157	59320	60506	61716	62951	64210	65494	66804	68140	69503	70892	72311	73757	75232	76736	78271	79837	81434	83063	84724	86418	88146	89909	91706	93540	95411	97319	99265	101250	103276	105341	107448	109597	111790	114025	116305	118631	121003	123424	125892	128410	130978	133597	136270	138995	141775	144611	147503	150452	153462	156532	159662	162856	166112	169435	172824	176280	179806	183402	187070	190812	194628	198521	202492	206542	210672	214885	219182	223566	228037	232598	237251	241996	246835	251772	256807	261943	267182	272526	277976	283536	289207	294991	300892	306910	313048	319308	325694	332208	338852	345630	352543	359594	366786	374122	381604	389236	397020	404960	413059	421320	429746	438341	447108	456050	465172	474475	483965	493644	503516	513587	523859	534336	545023	555924	567042	578383	589951	601751	613786	626062	638582	651354	664381	677669	691222	705046	719147	733530	748201	763165	778428	793997	809876	826074
12120		108	122	138	156	175	196	217	241	266	293	320	349	380	413	446	481	517	556	595	636	680	727	776	829	884	943	1004	1069	1136	1207	1280	1360	1445	1536	1632	1734	1842	1956	2076	2202	2334	2472	2615	2764	2918	3079	3247	3422	3605	3794	3992	4198	4410	4630	4856	5090	5332	5580	5836	6098	6368	6647	6932	7225	7525	7832	8147	8468	8797	9133	9476	9828	10187	10553	10926	11306	11694	12089	12491	12900	13158	13421	13690	13963	14243	14527	14818	15114	15416	15725	16039	16360	16687	17021	17362	17708	18062	18424	18792	19168	19550	19942	20340	20747	21162	21586	22018	22458	22907	23365	23832	24308	24794	25290	25796	26312	26839	27376	27923	28481	29051	29632	30224	30829	31446	32075	32717	33371	34038	34718	35413	36121	36844	37580	38332	39098	39881	40679	41492	42323	43169	44032	44912	45811	46728	47663	48616	49588	50579	51590	52622	53675	54749	55843	56960	58099	59261	60446	61655	62888	64146	65429	66737	68071	69433	70822	72238	73682	75156	76660	78193	79757	81352	82979	84638	86332	88058	89820	91616	93449	95317	97224	99168	101152	103175	105239	107344	109490	111680	113914	116192	118517	120887	123305	125771	128286	130852	133469	136138	138860	141637	144470	147360	150307	153313	156379	159506	162696	165950	169270	172655	176108	179630	183223	186888	190626	194438	198328	202294	206340	210467	214676	218970	223350	227818	232374	237022	241762	246596	251528	256559	261690	266924	272263	277709	283262	288928	294706	300600	306612	312744	318998	325379	331886	338524	345294	352200	359244	366428	373757	381232	388856	396634	404567	412658	420912	429330	437917	446676	455610	464723	474017	483497	493166	503029	513090	523352	533820	544496	555386	566494	577824	589380	601168	613190	625454	637963	650723	663737	677011	690552	704363	718450	732818	747475	762425	777673	793226	809090	825272	841778	858614	875786	893302	911167	929390	947978	966938	986278	1006003
13120		120	139	160	182	206	233	260	290	322	355	390	427	467	508	551	595	642	690	740	792	848	908	972	1039	1110	1184	1262	1344	1429	1518	1612	1712	1820	1936	2058	2189	2327	2472	2624	2784	2952	3127	3310	3499	3696	3901	4115	4338	4571	4813	5064	5324	5594	5874	6162	6460	6767	7084	7409	7744	8088	8442	8804	9176	9558	9949	10349	10758	11177	11605	12042	12488	12944	13410	13884	14368	14861	15364	15875	16396	16723	17058	17399	17747	18102	18464	18834	19211	19595	19987	20387	20795	21211	21636	22069	22511	22961	23420	23888	24366	24853	25350	25858	26375	26903	27440	27989	28548	29119	29701	30295	30901	31519	32149	32792	33449	34117	34800	35496	36206	36930	37669	38423	39191	39974	40774	41590	42421	43270	44135	45018	45918	46836	47773	48728	49703	50696	51710	52745	53800	54876	55974	57094	58236	59401	60589	61801	63037	64298	65585	66896	68234	69599	70991	72410	73859	75336	76843	78380	79948	81546	83177	84840	86537	88267	90032	91834	93671	95544	97454	99403	101392	103420	105488	107598	109750	111944	114184	116467	118796	121172	123596	126068	128590	131161	133784	136460	139189	141973	144812	147709	150664	153677	156750	159886	163084	166345	169672	173065	176526	180056	183658	187331	191077	194899	198797	202772	206828	210965	215184	219487	223877	228354	232921	237580	242332	247178	252122	257165	262308	267554	272905	278363	283930	289608	295400	301308	307334	313481	319751	326146	332669	339322	346108	353029	360090	367292	374639	382132	389774	397570	405521	413632	421904	430343	438949	447728	456683	465816	475133	484636	494328	504215	514300	524586	535078	545779	556694	567828	579185	590768	602584	614635	626928	639467	652256	665302	678607	692179	706022	720143	734545	749236	764220	779504	795095	810997	827218	843762	860638	877850	895408	913315	931582	950213	969217	988602	1008374	1028542	1049112	1070094	1091496	1113326	1135592	1158305	1181471	1205100	1229202	1253786	1278862
14120		156	181	209	239	271	306	343	383	425	469	516	565	617	671	727	786	847	911	977	1045	1120	1199	1283	1372	1465	1564	1667	1775	1888	2005	2129	2262	2405	2557	2719	2892	3074	3266	3468	3679	3901	4133	4374	4625	4885	5156	5440	5735	6042	6362	6695	7039	7396	7765	8147	8540	8946	9365	9796	10238	10693	11161	11641	12133	12637	13154	13684	14225	14778	15344	15923	16513	17116	17731	18359	18998	19650	20315	20992	21680	22114	22556	23008	23467	23936	24415	24904	25402	25909	26428	26956	27494	28044	28604	29177	29760	30355	30962	31582	32213	32857	33515	34186	34870	35567	36278	37004	37745	38500	39270	40056	40858	41675	42509	43358	44226	45110	46013	46933	47872	48829	49806	50802	51818	52855	53912	54991	56092	57214	58358	59526	60716	61931	63169	64433	65722	67036	68376	69744	71138	72562	74012	75493	77003	78542	80113	81715	83350	85016	86717	88451	90220	92024	93865	95742	97657	99611	101603	103634	105707	107821	109978	112177	114421	116710	119044	121424	123853	126330	128857	131435	134064	136745	139480	142270	145115	148018	150978	153997	157078	160219	163423	166692	170026	173426	176894	180432	184040	187721	191476	195305	199211	203195	207259	211404	215632	219944	224344	228830	233407	238075	242837	247693	252647	257700	262854	268111	273474	278944	284522	290213	296017	301938	307976	314136	320419	326827	333364	340031	346831	353768	360844	368060	375421	382930	390588	398400	406368	414496	422785	431240	439865	448662	457636	466788	476124	485646	495359	505266	515371	525679	536192	546917	557855	569012	580393	592001	603841	615918	628236	640801	653617	666690	680024	693625	707497	721648	736080	750802	765817	781134	796757	812692	828946	845525	862435	879684	897277	915223	933528	952199	971243	990667	1010480	1030690	1051303	1072330	1093776	1115652	1137965	1160724	1183938	1207616	1231769	1256404	1281532	1307162	1333306	1359972	1387171	1414915	1443214	1472078	1501520	1531550	1562182	1593425	1625293	1657799	1690955
