	注释	血量（破墙值）	血量ID	强度血量ID	血量倍数	攻击ID	强度攻击ID	攻击倍数	护盾类型	护盾ID	强度护盾ID	护盾倍数	防御ID	强度防御ID	防御倍数	护盾回复间隔	充能延迟	充能速率	暴击率	暴击加成	动能抗性	高热抗性	低温抗性	电击抗性	特异抗性	场地伤害抗性	群伤减免系数	装甲值	速度加成	气绝时间	硬直容量	硬直衰减延迟	硬直恢复间隔	硬直恢复速度（百分比/s）	硬直触发间隔	破墙值	仇恨系数（威胁值）	威胁值衰减比例	效果系数	控制保护	基础保护时间	保护时间系数	保护延长时间	控制免疫阈值	控制时间上限
ID	Comment	Health	HealthID	GradeHealthID	HealthTimes	AttackID	GradeAttackID	AttackTimes	ShieldType	ShieldID	GradeShieldID	ShieldTimes	DefenceID	GradeDefenceID	DefenceTimes	ShieldRecoverInterval	ShieldDelayTime	ShieldRecoverSpeed	CriticalValue	CriticalDamage	EntityBulletResistance	FireResistance	IceResistance	ThunderResistance	SuperpowersResistance	FieldResistance	RangeDamageReduction	Armor	SpeedRatio	BreathlessTime	MaxHitLag	HitLagRecoverDelay	HitLagRecoverInterval	HitLagRecoverPercent	HitLagInvalidTimeAfterTrigger	DestroyValue	EnmityCoefficient	ThreatDecayPercent	EffectCoefficient	ControlProtection	BasicProtectionTime	ProtectionTimeFactor	ProtectionExtensionTime	ControlImmuneThreshold	ControlTimeLimit
4001	拾荒者 灯泡	0		101	{{1,3.68},{80,3.79},{81,3.79}}		201	1			101	0		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	100	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4002	拾荒者 螺钉	0		102	{{1,5.76},{80,5.08},{81,5.08}}		201	1			102	0		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	100	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4003	拾荒者 螺帽	0		101	{{1,1.5},{80,2.65},{81,2.65}}		201	1			101	0		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4004	拾荒者 钢珠	0		101	{{1,1.5},{80,2.65},{81,2.65}}		201	1			101	0		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4005	拾荒者 炉子（废弃）	0		102	{{1,14.11},{80,12.71},{81,12.71}}		201	1			102	0		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4006	邪教 弓箭会员	0		101	{{1,0.96},{80,0.99},{81,0.99}}		201	1			101	{{1,4.32},{80,4.45},{81,4.45}}		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	60	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4007	邪教 长刀会员	0		102	{{1,2.65},{80,2.42},{81,2.42}}		201	1			102	{{1,5.3},{80,4.84},{81,4.84}}		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	100	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4008	精英 武装会员	0		101	{{1,2},{80,1.57},{81,1.57}}		201	1			101	{{1,10.5},{80,8.24},{81,8.24}}		302	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	5	100	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4009	邪教 持枪会员	0		101	{{1,1.5},{80,1.64},{81,1.64}}		201	1			101	{{1,3},{80,3.28},{81,3.28}}		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	30	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4010	邪教 爆破会员	0		101	{{1,1},{80,1.47},{81,1.47}}		201	1			101	{{1,1.5},{80,2.21},{81,2.21}}		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4011	邪教 朝拜基座(废弃)	0		101	1		201	1			101	4		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4012	邪教 会员	0		101	{{1,1.5},{80,2.65},{81,2.65}}		201	1			101	0		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4013	泰坦 浮球（废弃）	0		101	1		201	1			101	0		301	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4014	泰坦 长臂（废弃）	0		101	2		201	1			101	0		301	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4015	自爆兵（废弃）	0		101	1		201	1			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4016	布雷者（废弃）	0		101	1		201	1			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4017	布雷者 炸弹车（废弃）	0		101	1		201	1			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4018	持盾者	0		101	1		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4019	拾荒者 喷壶	0		101	{{1,2.88},{80,3.39},{81,3.39}}		201	1			101	0		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	50	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4020	拾荒者 通条	0		101	{{1,2.88},{80,3.39},{81,3.39}}		201	1			101	0		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	50	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4021	拾荒者 罐头	0		102	{{1,5.29},{80,4.95},{81,4.95}}		201	1			102	0		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4022	拾荒者 灯泡（带背包）	0		101	{{1,3.68},{80,3.79},{81,3.79}}		201	1			101	0		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	5	100	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4023	泰坦 术士召唤物	0		101	1.4		201	1			101	0		301	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4024	拾荒者 喷漆罐	0		102	{{1,11.76},{80,7.35},{81,7.35}}		201	1			102	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	7	500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4025	拾荒者部件 喷漆罐可破坏物	500			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4026	拾荒者 罐头-投掷型	0		102	{{1,5.29},{80,4.95},{81,4.95}}		201	1			102	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	15	500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4027	拾荒者部件 罐头-投掷型可破坏物	400			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
