等级	强度1	强度2	强度3	强度4	强度5	强度6	强度7	强度8	强度9	强度10
Lv	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7	Intensity8	Intensity9	Intensity10
1	1	0.833333333	0.666666667	0.5	0.4	0.333333333	0.285714286	0.25	0.2	0.333333333
2	1	0.833333333	0.666666667	0.5	0.4	0.333333333	0.285714286	0.25	0.2	0.333333333
3	1	0.833333333	0.666666667	0.5	0.4	0.333333333	0.285714286	0.25	0.2	0.333333333
4	1	0.833333333	0.666666667	0.5	0.4	0.333333333	0.285714286	0.25	0.2	0.333333333
5	1	0.833333333	0.666666667	0.5	0.4	0.333333333	0.285714286	0.25	0.2	0.333333333
6	1	0.844444444	0.688888889	0.533333333	0.44	0.377777777	0.333333334	0.3	0.253333333	0.36
7	1	0.855555555	0.711111111	0.566666667	0.48	0.422222222	0.380952381	0.35	0.306666667	0.386666666
8	1	0.866666666	0.733333334	0.6	0.52	0.466666666	0.428571429	0.4	0.36	0.413333333
9	1	0.877777778	0.755555556	0.633333333	0.56	0.511111111	0.476190476	0.45	0.413333333	0.44
10	1	0.888888889	0.777777778	0.666666667	0.6	0.555555555	0.523809524	0.5	0.466666667	0.466666666
11	1	0.9	0.8	0.7	0.64	0.6	0.571428572	0.55	0.52	0.493333333
12	1	0.911111111	0.822222222	0.733333333	0.68	0.644444444	0.619047619	0.6	0.573333333	0.52
13	1	0.922222222	0.844444445	0.766666667	0.72	0.688888889	0.666666667	0.65	0.626666667	0.546666666
14	1	0.933333333	0.866666667	0.8	0.76	0.733333333	0.714285714	0.7	0.68	0.573333333
15	1	0.944444444	0.888888889	0.833333333	0.8	0.777777778	0.761904762	0.75	0.733333333	0.6
16	1	0.955555555	0.911111111	0.866666667	0.84	0.822222222	0.80952381	0.8	0.786666667	0.626666666
17	1	0.966666667	0.933333333	0.9	0.88	0.866666667	0.857142857	0.85	0.84	0.653333333
18	1	0.977777778	0.955555556	0.933333333	0.92	0.911111111	0.904761905	0.9	0.893333333	0.68
19	1	0.988888889	0.977777778	0.966666667	0.96	0.955555556	0.952380952	0.95	0.946666667	0.706666667
20	1	1	1	1	1	1	1	1	1	0.733333333
21	1	1	1	1	1	1	1	1	1	0.76
22	1	1	1	1	1	1	1	1	1	0.786666667
23	1	1	1	1	1	1	1	1	1	0.813333333
24	1	1	1	1	1	1	1	1	1	0.84
25	1	1	1	1	1	1	1	1	1	0.866666667
26	1	1	1	1	1	1	1	1	1	0.893333333
27	1	1	1	1	1	1	1	1	1	0.92
28	1	1	1	1	1	1	1	1	1	0.946666667
29	1	1	1	1	1	1	1	1	1	0.973333333
30	1	1	1	1	1	1	1	1	1	1
31	1	1	1	1	1	1	1	1	1	1
32	1	1	1	1	1	1	1	1	1	1
33	1	1	1	1	1	1	1	1	1	1
34	1	1	1	1	1	1	1	1	1	1
35	1	1	1	1	1	1	1	1	1	1
36	1	1	1	1	1	1	1	1	1	1
37	1	1	1	1	1	1	1	1	1	1
38	1	1	1	1	1	1	1	1	1	1
39	1	1	1	1	1	1	1	1	1	1
40	1	1	1	1	1	1	1	1	1	1
41	1	1	1	1	1	1	1	1	1	1
42	1	1	1	1	1	1	1	1	1	1
43	1	1	1	1	1	1	1	1	1	1
44	1	1	1	1	1	1	1	1	1	1
45	1	1	1	1	1	1	1	1	1	1
46	1	1	1	1	1	1	1	1	1	1
47	1	1	1	1	1	1	1	1	1	1
48	1	1	1	1	1	1	1	1	1	1
49	1	1	1	1	1	1	1	1	1	1
50	1	1	1	1	1	1	1	1	1	1
51	1	1	1	1	1	1	1	1	1	1
52	1	1	1	1	1	1	1	1	1	1
53	1	1	1	1	1	1	1	1	1	1
54	1	1	1	1	1	1	1	1	1	1
55	1	1	1	1	1	1	1	1	1	1
56	1	1	1	1	1	1	1	1	1	1
57	1	1	1	1	1	1	1	1	1	1
58	1	1	1	1	1	1	1	1	1	1
59	1	1	1	1	1	1	1	1	1	1
60	1	1	1	1	1	1	1	1	1	1
61	1	1	1	1	1	1	1	1	1	1
62	1	1	1	1	1	1	1	1	1	1
63	1	1	1	1	1	1	1	1	1	1
64	1	1	1	1	1	1	1	1	1	1
65	1	1	1	1	1	1	1	1	1	1
66	1	1	1	1	1	1	1	1	1	1
67	1	1	1	1	1	1	1	1	1	1
68	1	1	1	1	1	1	1	1	1	1
69	1	1	1	1	1	1	1	1	1	1
70	1	1	1	1	1	1	1	1	1	1
71	1	1	1	1	1	1	1	1	1	1
72	1	1	1	1	1	1	1	1	1	1
73	1	1	1	1	1	1	1	1	1	1
74	1	1	1	1	1	1	1	1	1	1
75	1	1	1	1	1	1	1	1	1	1
76	1	1	1	1	1	1	1	1	1	1
77	1	1	1	1	1	1	1	1	1	1
78	1	1	1	1	1	1	1	1	1	1
79	1	1	1	1	1	1	1	1	1	1
80	1	1	1	1	1	1	1	1	1	1
81	1	1	1	1	1	1	1	1	1	1
82	1	1	1	1	1	1	1	1	1	1
83	1	1	1	1	1	1	1	1	1	1
84	1	1	1	1	1	1	1	1	1	1
85	1	1	1	1	1	1	1	1	1	1
86	1	1	1	1	1	1	1	1	1	1
87	1	1	1	1	1	1	1	1	1	1
88	1	1	1	1	1	1	1	1	1	1
89	1	1	1	1	1	1	1	1	1	1
90	1	1	1	1	1	1	1	1	1	1
