	注释	1-主线普通	2-主线困难	3-活动简单	4-活动中等	5-活动困难	6-BOSS挑战	7-	8-	9-联机普通模板	10-联机困难模板（动态等级）	11-联机困难模板固定等级	12-DLC2巴别塔定制	13-大肉鸽-简单	14-大肉鸽-普通	15-大肉鸽-困难	16-大肉鸽-极难	17-新星开拓敌人	18-联机RAID	19-新星开拓抓捕区	20-绝地动态等级	21-绝地固定等级	22-背包肉鸽	23-异星守护	24-永续连战困难	25-爆爆菜园	26-激浪联航普通	27-激浪联航困难	28-激浪联航挑战	29-进击行动普通（动态难度）	30-进击行动挑战
ID	Comment	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7	Intensity8	Intensity9	Intensity10	Intensity11	Intensity12	Intensity13	Intensity14	Intensity15	Intensity16	Intensity17	Intensity18	Intensity19	Intensity20	Intensity21	Intensity22	Intensity23	Intensity24	Intensity25	Intensity26	Intensity27	Intensity28	Intensity29	Intensity30
101	脆皮怪	11080	12100	11080	12100	12120	11100	11100	12100	12100	12100	12120	12120	19101	19102	19103	19104	18040	12120	18020	12200	12250	19201	19301	12200	19401	11080	12100	12120	12100	12200
102	普通怪	11080	12100	11080	12100	12120	12100	11100	12100	12100	12100	12120	13120	19101	19102	19103	19104	18040	13120	18020	12200	12250	19201	19301	12200	19401	11080	12100	13120	12100	13200
103	精英怪	12080	13100	12080	13100	13120	13100	12100	13100	12100	12100	12120	14120	19101	19102	19103	19104	18040	15120	18020	12200	12250	19201	19301	12200	19402	12080	13100	15120	13100	15200
104	BOSS	13080	14100	14080	14100	14120	14100	14100	14100	15100	15100	15120	14120	19121	19122	19123	19124	18040	14120	18020	15200	15250	19221	19301	15200	19401	14100	14120	14150	14500	14750
105	飞行怪	11080	11100	11080	11100	11120	11100	11100	12100	12100	12100	12120	12120	19101	19102	19103	19104	18040	12120	18020	12200	12250	19201	19399	12200	19401	11080	11100	12120	11100	11200
																															
																															
201		20100	20200	20100	20100	20120	20100	20100	20200	20100	20100	20120	20100	29101	29102	29103	29104	28100	20150	28100	20100	20120	29103	29201	20120	29301	20100	20100	20150	20100	20100
																															
301		31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100	31100
302		32100	32100	32100	32100	32100	32100	32100	32100	32100	32100	32100	32100	32100	32100	32100	32100	32100	32100	32100	32100	32100	32100	29202	32100	32100	32100	32100	32100	32100	32100
303		33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100	33100
																															
400	固定1	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000
401	固定100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40100	40125	40150	40100	40100
																															
999	靶子怪	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
