	生命值(百分比)	攻击力(百分比)	防御力(百分比)	护盾值(百分比)	实弹抗性	火抗	冰抗	雷抗	异能抗性	群体伤害承受百分比
ID	Health	Attack	Defence	Shield	EntityBulletResistance	FireResistance	IceResistance	ThunderResistance	SuperpowersResistance	RangeDamageReduction
1000	100	100	100	100	0	0	0	0	0	0
1001	150	100	100	150	0	0	0	0	0	0
1002	200	100	100	200	0	0	0	0	0	0
1003	300	100	100	300	0	0	0	0	0	0
1004	400	100	100	400	0	0	0	0	0	0
1005	500	100	100	500	0	0	0	0	0	0
1006	600	100	100	600	0	0	0	0	0	0
1007	700	100	100	700	0	0	0	0	0	0
1008	800	100	100	800	0	0	0	0	0	0
1009	900	100	100	900	0	0	0	0	0	0
1010	1000	100	100	1000	0	0	0	0	0	0
1011	1100	100	100	1100	0	0	0	0	0	0
1012	1200	100	100	1200	0	0	0	0	0	0
1013	1300	100	100	1300	0	0	0	0	0	0
1014	1400	100	100	1400	0	0	0	0	0	0
1015	1500	100	100	1500	0	0	0	0	0	0
1016	1600	100	100	1600	0	0	0	0	0	0
1017	1700	100	100	1700	0	0	0	0	0	0
1018	1800	100	100	1800	0	0	0	0	0	0
1019	1900	100	100	1900	0	0	0	0	0	0
1020	2000	100	100	2000	0	0	0	0	0	0
1021	2100	100	100	2100	0	0	0	0	0	0
1022	2200	100	100	2200	0	0	0	0	0	0
1023	2300	100	100	2300	0	0	0	0	0	0
1024	2400	100	100	2400	0	0	0	0	0	0
1025	2500	100	100	2500	0	0	0	0	0	0
1026	2600	100	100	2600	0	0	0	0	0	0
1027	2700	100	100	2700	0	0	0	0	0	0
1028	2800	100	100	2800	0	0	0	0	0	0
1029	2900	100	100	2900	0	0	0	0	0	0
1030	3000	100	100	3000	0	0	0	0	0	0
2001	300	120	100	200	0	0	0	0	0	0
2010	100	100	100	100	0	0	0	0	0	0
2012	120	100	100	120	0	0	0	0	0	0
2014	140	100	100	140	0	0	0	0	0	0
2016	160	100	100	160	0	0	0	0	0	0
2018	180	100	100	180	0	0	0	0	0	0
2020	200	100	100	200	0	0	0	0	0	0
2022	220	100	100	220	0	0	0	0	0	0
2024	240	100	100	240	0	0	0	0	0	0
2026	260	100	100	260	0	0	0	0	0	0
2028	280	100	100	280	0	0	0	0	0	0
2030	300	100	100	300	0	0	0	0	0	0
2032	320	100	100	320	0	0	0	0	0	0
2034	340	100	100	340	0	0	0	0	0	0
2036	360	100	100	360	0	0	0	0	0	0
2038	380	100	100	380	0	0	0	0	0	0
2040	400	100	100	400	0	0	0	0	0	0
2042	420	100	100	420	0	0	0	0	0	0
2044	440	100	100	440	0	0	0	0	0	0
2046	460	100	100	460	0	0	0	0	0	0
2048	480	100	100	480	0	0	0	0	0	0
2050	500	100	100	500	0	0	0	0	0	0
2052	520	100	100	520	0	0	0	0	0	0
2054	540	100	100	540	0	0	0	0	0	0
2056	560	100	100	560	0	0	0	0	0	0
2058	580	100	100	580	0	0	0	0	0	0
2060	600	100	100	600	0	0	0	0	0	0
