id	备注	怪物GDPL	权重
Id	Common	GDPL	Weight
1	螺钉	{18,1,1,1}	100
2	钢珠	{18,1,2,1}	100
3	喷壶	{18,1,3,1}	100
4	通条	{18,1,4,1}	100
5	灯泡	{18,1,5,1}	100
6	炽热投手	{18,1,6,1}	100
7	链斧	{18,1,7,1}	100
8	炉子	{18,1,8,1}	100
9	铁锤	{18,1,9,1}	100
10	喇叭	{18,1,10,1}	100
11	爆破会员	{18,1,11,1}	100
12	会员	{18,1,12,1}	100
13	连弩会员	{18,1,13,1}	100
14	散射会员	{18,1,14,1}	100
15	弓箭会员	{18,1,15,1}	100
16	长刀会员	{18,1,16,1}	100
17	武装会员-飞刀	{18,1,17,1}	100
18	净化官-火	{18,1,18,1}	100
19	审判官-双刀	{18,1,19,1}	100
20	幻射会员	{18,1,20,1}	100
21	埃罗	{18,1,21,1}	100
22	格里芬	{18,1,22,1}	100
23	莱拉普斯	{18,1,23,1}	100
24	阿耳戈斯	{18,1,24,1}	100
25	空壳遗迹守卫	{18,1,25,1}	100
26	侵蚀泰坦	{18,1,26,1}	100
27	乙异化人	{18,1,27,1}	100
28	祸斗	{18,1,28,1}	100
29	丙异化人	{18,1,29,1}	100
30	精英异化人	{18,1,30,1}	100
31	自走炮	{18,1,33,1}	100
32	重壁	{18,1,34,1}	100
33	赐福者	{18,1,36,1}	100
34	贡露	{18,1,37,1}	100
35	盖弥尔	{18,1,38,1}	100
36	刻耳伯洛斯召唤物	{18,1,39,1}	100
37	塞壬	{18,1,40,1}	100
38	护卫机器人	{18,1,42,1}	100
39	断刃	{18,1,43,1}	100
40	哑炮	{18,1,44,1}	100
