id	注释	第一次突破所需道具									第二次突破所需道具									第三次突破所需道具									第四次突破所需道具									第五次突破所需道具								
ID	Comment	1Items1	1Items2	1Items3	1Items4	1Items5	1Items6	1Items7	1Items8	1Items9	2Items1	2Items2	2Items3	2Items4	2Items5	2Items6	2Items7	2Items8	2Items9	3Items1	3Items2	3Items3	3Items4	3Items5	3Items6	3Items7	3Items8	3Items9	4Items1	4Items2	4Items3	4Items4	4Items5	4Items6	4Items7	4Items8	4Items9	5Items1	5Items2	5Items3	5Items4	5Items5	5Items6	5Items7	5Items8	5Items9
1001	安卡希雅	{{5,4,1,1,6}}	{{5,4,1,1,6}}	{{5,4,1,1,6}}	{{5,4,1,1,6}}	{{5,4,1,1,6}}	{{5,4,1,1,6}}	{{5,4,1,1,6}}	{{5,4,1,1,6}}	{{5,4,1,1,12}}	{{5,4,1,1,6}}	{{5,4,1,1,6}}	{{5,4,1,1,6}}	{{5,4,1,1,6}}	{{5,4,1,1,6}}	{{5,4,1,1,6}}	{{5,4,1,1,6}}	{{5,4,1,1,6}}	{{5,4,1,1,12}}	{{5,4,1,1,9}}	{{5,4,1,1,9}}	{{5,4,1,1,9}}	{{5,4,1,1,9}}	{{5,4,1,1,9}}	{{5,4,1,1,9}}	{{5,4,1,1,9}}	{{5,4,1,1,9}}	{{5,4,1,1,18}}	{{5,4,1,1,12}}	{{5,4,1,1,12}}	{{5,4,1,1,12}}	{{5,4,1,1,12}}	{{5,4,1,1,12}}	{{5,4,1,1,12}}	{{5,4,1,1,12}}	{{5,4,1,1,12}}	{{5,4,1,1,24}}	{{5,4,1,1,15}}	{{5,4,1,1,15}}	{{5,4,1,1,15}}	{{5,4,1,1,15}}	{{5,4,1,1,15}}	{{5,4,1,1,15}}	{{5,4,1,1,15}}	{{5,4,1,1,15}}	{{5,4,1,1,30}}
1002	安卡希雅-辉夜	{{5,4,1,2,6}}	{{5,4,1,2,6}}	{{5,4,1,2,6}}	{{5,4,1,2,6}}	{{5,4,1,2,6}}	{{5,4,1,2,6}}	{{5,4,1,2,6}}	{{5,4,1,2,6}}	{{5,4,1,2,12}}	{{5,4,1,2,6}}	{{5,4,1,2,6}}	{{5,4,1,2,6}}	{{5,4,1,2,6}}	{{5,4,1,2,6}}	{{5,4,1,2,6}}	{{5,4,1,2,6}}	{{5,4,1,2,6}}	{{5,4,1,2,12}}	{{5,4,1,2,9}}	{{5,4,1,2,9}}	{{5,4,1,2,9}}	{{5,4,1,2,9}}	{{5,4,1,2,9}}	{{5,4,1,2,9}}	{{5,4,1,2,9}}	{{5,4,1,2,9}}	{{5,4,1,2,18}}	{{5,4,1,2,12}}	{{5,4,1,2,12}}	{{5,4,1,2,12}}	{{5,4,1,2,12}}	{{5,4,1,2,12}}	{{5,4,1,2,12}}	{{5,4,1,2,12}}	{{5,4,1,2,12}}	{{5,4,1,2,24}}	{{5,4,1,2,15}}	{{5,4,1,2,15}}	{{5,4,1,2,15}}	{{5,4,1,2,15}}	{{5,4,1,2,15}}	{{5,4,1,2,15}}	{{5,4,1,2,15}}	{{5,4,1,2,15}}	{{5,4,1,2,30}}
1003	里芙	{{5,4,2,1,6}}	{{5,4,2,1,6}}	{{5,4,2,1,6}}	{{5,4,2,1,6}}	{{5,4,2,1,6}}	{{5,4,2,1,6}}	{{5,4,2,1,6}}	{{5,4,2,1,6}}	{{5,4,2,1,12}}	{{5,4,2,1,6}}	{{5,4,2,1,6}}	{{5,4,2,1,6}}	{{5,4,2,1,6}}	{{5,4,2,1,6}}	{{5,4,2,1,6}}	{{5,4,2,1,6}}	{{5,4,2,1,6}}	{{5,4,2,1,12}}	{{5,4,2,1,9}}	{{5,4,2,1,9}}	{{5,4,2,1,9}}	{{5,4,2,1,9}}	{{5,4,2,1,9}}	{{5,4,2,1,9}}	{{5,4,2,1,9}}	{{5,4,2,1,9}}	{{5,4,2,1,18}}	{{5,4,2,1,12}}	{{5,4,2,1,12}}	{{5,4,2,1,12}}	{{5,4,2,1,12}}	{{5,4,2,1,12}}	{{5,4,2,1,12}}	{{5,4,2,1,12}}	{{5,4,2,1,12}}	{{5,4,2,1,24}}	{{5,4,2,1,15}}	{{5,4,2,1,15}}	{{5,4,2,1,15}}	{{5,4,2,1,15}}	{{5,4,2,1,15}}	{{5,4,2,1,15}}	{{5,4,2,1,15}}	{{5,4,2,1,15}}	{{5,4,2,1,30}}
1004	里芙-狂猎	{{5,4,2,2,6}}	{{5,4,2,2,6}}	{{5,4,2,2,6}}	{{5,4,2,2,6}}	{{5,4,2,2,6}}	{{5,4,2,2,6}}	{{5,4,2,2,6}}	{{5,4,2,2,6}}	{{5,4,2,2,12}}	{{5,4,2,2,6}}	{{5,4,2,2,6}}	{{5,4,2,2,6}}	{{5,4,2,2,6}}	{{5,4,2,2,6}}	{{5,4,2,2,6}}	{{5,4,2,2,6}}	{{5,4,2,2,6}}	{{5,4,2,2,12}}	{{5,4,2,2,9}}	{{5,4,2,2,9}}	{{5,4,2,2,9}}	{{5,4,2,2,9}}	{{5,4,2,2,9}}	{{5,4,2,2,9}}	{{5,4,2,2,9}}	{{5,4,2,2,9}}	{{5,4,2,2,18}}	{{5,4,2,2,12}}	{{5,4,2,2,12}}	{{5,4,2,2,12}}	{{5,4,2,2,12}}	{{5,4,2,2,12}}	{{5,4,2,2,12}}	{{5,4,2,2,12}}	{{5,4,2,2,12}}	{{5,4,2,2,24}}	{{5,4,2,2,15}}	{{5,4,2,2,15}}	{{5,4,2,2,15}}	{{5,4,2,2,15}}	{{5,4,2,2,15}}	{{5,4,2,2,15}}	{{5,4,2,2,15}}	{{5,4,2,2,15}}	{{5,4,2,2,30}}
1005	妮塔	{{5,4,3,1,6}}	{{5,4,3,1,6}}	{{5,4,3,1,6}}	{{5,4,3,1,6}}	{{5,4,3,1,6}}	{{5,4,3,1,6}}	{{5,4,3,1,6}}	{{5,4,3,1,6}}	{{5,4,3,1,12}}	{{5,4,3,1,6}}	{{5,4,3,1,6}}	{{5,4,3,1,6}}	{{5,4,3,1,6}}	{{5,4,3,1,6}}	{{5,4,3,1,6}}	{{5,4,3,1,6}}	{{5,4,3,1,6}}	{{5,4,3,1,12}}	{{5,4,3,1,9}}	{{5,4,3,1,9}}	{{5,4,3,1,9}}	{{5,4,3,1,9}}	{{5,4,3,1,9}}	{{5,4,3,1,9}}	{{5,4,3,1,9}}	{{5,4,3,1,9}}	{{5,4,3,1,18}}	{{5,4,3,1,12}}	{{5,4,3,1,12}}	{{5,4,3,1,12}}	{{5,4,3,1,12}}	{{5,4,3,1,12}}	{{5,4,3,1,12}}	{{5,4,3,1,12}}	{{5,4,3,1,12}}	{{5,4,3,1,24}}	{{5,4,3,1,15}}	{{5,4,3,1,15}}	{{5,4,3,1,15}}	{{5,4,3,1,15}}	{{5,4,3,1,15}}	{{5,4,3,1,15}}	{{5,4,3,1,15}}	{{5,4,3,1,15}}	{{5,4,3,1,30}}
1006	芙提雅	{{5,4,4,1,6}}	{{5,4,4,1,6}}	{{5,4,4,1,6}}	{{5,4,4,1,6}}	{{5,4,4,1,6}}	{{5,4,4,1,6}}	{{5,4,4,1,6}}	{{5,4,4,1,6}}	{{5,4,4,1,12}}	{{5,4,4,1,6}}	{{5,4,4,1,6}}	{{5,4,4,1,6}}	{{5,4,4,1,6}}	{{5,4,4,1,6}}	{{5,4,4,1,6}}	{{5,4,4,1,6}}	{{5,4,4,1,6}}	{{5,4,4,1,12}}	{{5,4,4,1,9}}	{{5,4,4,1,9}}	{{5,4,4,1,9}}	{{5,4,4,1,9}}	{{5,4,4,1,9}}	{{5,4,4,1,9}}	{{5,4,4,1,9}}	{{5,4,4,1,9}}	{{5,4,4,1,18}}	{{5,4,4,1,12}}	{{5,4,4,1,12}}	{{5,4,4,1,12}}	{{5,4,4,1,12}}	{{5,4,4,1,12}}	{{5,4,4,1,12}}	{{5,4,4,1,12}}	{{5,4,4,1,12}}	{{5,4,4,1,24}}	{{5,4,4,1,15}}	{{5,4,4,1,15}}	{{5,4,4,1,15}}	{{5,4,4,1,15}}	{{5,4,4,1,15}}	{{5,4,4,1,15}}	{{5,4,4,1,15}}	{{5,4,4,1,15}}	{{5,4,4,1,30}}
1007	芙提雅-缄默	{{5,4,4,2,6}}	{{5,4,4,2,6}}	{{5,4,4,2,6}}	{{5,4,4,2,6}}	{{5,4,4,2,6}}	{{5,4,4,2,6}}	{{5,4,4,2,6}}	{{5,4,4,2,6}}	{{5,4,4,2,12}}	{{5,4,4,2,6}}	{{5,4,4,2,6}}	{{5,4,4,2,6}}	{{5,4,4,2,6}}	{{5,4,4,2,6}}	{{5,4,4,2,6}}	{{5,4,4,2,6}}	{{5,4,4,2,6}}	{{5,4,4,2,12}}	{{5,4,4,2,9}}	{{5,4,4,2,9}}	{{5,4,4,2,9}}	{{5,4,4,2,9}}	{{5,4,4,2,9}}	{{5,4,4,2,9}}	{{5,4,4,2,9}}	{{5,4,4,2,9}}	{{5,4,4,2,18}}	{{5,4,4,2,12}}	{{5,4,4,2,12}}	{{5,4,4,2,12}}	{{5,4,4,2,12}}	{{5,4,4,2,12}}	{{5,4,4,2,12}}	{{5,4,4,2,12}}	{{5,4,4,2,12}}	{{5,4,4,2,24}}	{{5,4,4,2,15}}	{{5,4,4,2,15}}	{{5,4,4,2,15}}	{{5,4,4,2,15}}	{{5,4,4,2,15}}	{{5,4,4,2,15}}	{{5,4,4,2,15}}	{{5,4,4,2,15}}	{{5,4,4,2,30}}
1008	茉莉安	{{5,4,5,1,6}}	{{5,4,5,1,6}}	{{5,4,5,1,6}}	{{5,4,5,1,6}}	{{5,4,5,1,6}}	{{5,4,5,1,6}}	{{5,4,5,1,6}}	{{5,4,5,1,6}}	{{5,4,5,1,12}}	{{5,4,5,1,6}}	{{5,4,5,1,6}}	{{5,4,5,1,6}}	{{5,4,5,1,6}}	{{5,4,5,1,6}}	{{5,4,5,1,6}}	{{5,4,5,1,6}}	{{5,4,5,1,6}}	{{5,4,5,1,12}}	{{5,4,5,1,9}}	{{5,4,5,1,9}}	{{5,4,5,1,9}}	{{5,4,5,1,9}}	{{5,4,5,1,9}}	{{5,4,5,1,9}}	{{5,4,5,1,9}}	{{5,4,5,1,9}}	{{5,4,5,1,18}}	{{5,4,5,1,12}}	{{5,4,5,1,12}}	{{5,4,5,1,12}}	{{5,4,5,1,12}}	{{5,4,5,1,12}}	{{5,4,5,1,12}}	{{5,4,5,1,12}}	{{5,4,5,1,12}}	{{5,4,5,1,24}}	{{5,4,5,1,15}}	{{5,4,5,1,15}}	{{5,4,5,1,15}}	{{5,4,5,1,15}}	{{5,4,5,1,15}}	{{5,4,5,1,15}}	{{5,4,5,1,15}}	{{5,4,5,1,15}}	{{5,4,5,1,30}}
1009	茉莉安-雨燕	{{5,4,5,2,6}}	{{5,4,5,2,6}}	{{5,4,5,2,6}}	{{5,4,5,2,6}}	{{5,4,5,2,6}}	{{5,4,5,2,6}}	{{5,4,5,2,6}}	{{5,4,5,2,6}}	{{5,4,5,2,12}}	{{5,4,5,2,6}}	{{5,4,5,2,6}}	{{5,4,5,2,6}}	{{5,4,5,2,6}}	{{5,4,5,2,6}}	{{5,4,5,2,6}}	{{5,4,5,2,6}}	{{5,4,5,2,6}}	{{5,4,5,2,12}}	{{5,4,5,2,9}}	{{5,4,5,2,9}}	{{5,4,5,2,9}}	{{5,4,5,2,9}}	{{5,4,5,2,9}}	{{5,4,5,2,9}}	{{5,4,5,2,9}}	{{5,4,5,2,9}}	{{5,4,5,2,18}}	{{5,4,5,2,12}}	{{5,4,5,2,12}}	{{5,4,5,2,12}}	{{5,4,5,2,12}}	{{5,4,5,2,12}}	{{5,4,5,2,12}}	{{5,4,5,2,12}}	{{5,4,5,2,12}}	{{5,4,5,2,24}}	{{5,4,5,2,15}}	{{5,4,5,2,15}}	{{5,4,5,2,15}}	{{5,4,5,2,15}}	{{5,4,5,2,15}}	{{5,4,5,2,15}}	{{5,4,5,2,15}}	{{5,4,5,2,15}}	{{5,4,5,2,30}}
1010	鸣濑晴	{{5,4,6,1,6}}	{{5,4,6,1,6}}	{{5,4,6,1,6}}	{{5,4,6,1,6}}	{{5,4,6,1,6}}	{{5,4,6,1,6}}	{{5,4,6,1,6}}	{{5,4,6,1,6}}	{{5,4,6,1,12}}	{{5,4,6,1,6}}	{{5,4,6,1,6}}	{{5,4,6,1,6}}	{{5,4,6,1,6}}	{{5,4,6,1,6}}	{{5,4,6,1,6}}	{{5,4,6,1,6}}	{{5,4,6,1,6}}	{{5,4,6,1,12}}	{{5,4,6,1,9}}	{{5,4,6,1,9}}	{{5,4,6,1,9}}	{{5,4,6,1,9}}	{{5,4,6,1,9}}	{{5,4,6,1,9}}	{{5,4,6,1,9}}	{{5,4,6,1,9}}	{{5,4,6,1,18}}	{{5,4,6,1,12}}	{{5,4,6,1,12}}	{{5,4,6,1,12}}	{{5,4,6,1,12}}	{{5,4,6,1,12}}	{{5,4,6,1,12}}	{{5,4,6,1,12}}	{{5,4,6,1,12}}	{{5,4,6,1,24}}	{{5,4,6,1,15}}	{{5,4,6,1,15}}	{{5,4,6,1,15}}	{{5,4,6,1,15}}	{{5,4,6,1,15}}	{{5,4,6,1,15}}	{{5,4,6,1,15}}	{{5,4,6,1,15}}	{{5,4,6,1,30}}
1011	琴诺	{{5,4,7,1,6}}	{{5,4,7,1,6}}	{{5,4,7,1,6}}	{{5,4,7,1,6}}	{{5,4,7,1,6}}	{{5,4,7,1,6}}	{{5,4,7,1,6}}	{{5,4,7,1,6}}	{{5,4,7,1,12}}	{{5,4,7,1,6}}	{{5,4,7,1,6}}	{{5,4,7,1,6}}	{{5,4,7,1,6}}	{{5,4,7,1,6}}	{{5,4,7,1,6}}	{{5,4,7,1,6}}	{{5,4,7,1,6}}	{{5,4,7,1,12}}	{{5,4,7,1,9}}	{{5,4,7,1,9}}	{{5,4,7,1,9}}	{{5,4,7,1,9}}	{{5,4,7,1,9}}	{{5,4,7,1,9}}	{{5,4,7,1,9}}	{{5,4,7,1,9}}	{{5,4,7,1,18}}	{{5,4,7,1,12}}	{{5,4,7,1,12}}	{{5,4,7,1,12}}	{{5,4,7,1,12}}	{{5,4,7,1,12}}	{{5,4,7,1,12}}	{{5,4,7,1,12}}	{{5,4,7,1,12}}	{{5,4,7,1,24}}	{{5,4,7,1,15}}	{{5,4,7,1,15}}	{{5,4,7,1,15}}	{{5,4,7,1,15}}	{{5,4,7,1,15}}	{{5,4,7,1,15}}	{{5,4,7,1,15}}	{{5,4,7,1,15}}	{{5,4,7,1,30}}
