ID	注释	天启1点1	天启1点2	天启1点3	天启1点4	天启1点5	天启1点6	天启1点7	天启1点8	天启2点1	天启2点2	天启2点3	天启2点4	天启2点5	天启2点6	天启2点7	天启2点8	天启3点1	天启3点2	天启3点3	天启3点4	天启3点5	天启3点6	天启3点7	天启3点8	天启4点1	天启4点2	天启4点3	天启4点4	天启4点5	天启4点6	天启4点7	天启4点8	天启5点1	天启5点2	天启5点3	天启5点4	天启5点5	天启5点6	天启5点7	天启5点8
ID	Comment	1break1	1break2	1break3	1break4	1break5	1break6	1break7	1break8	2break1	2break2	2break3	2break4	2break5	2break6	2break7	2break8	3break1	3break2	3break3	3break4	3break5	3break6	3break7	3break8	4break1	4break2	4break3	4break4	4break5	4break6	4break7	4break8	5break1	5break2	5break3	5break4	5break5	5break6	5break7	5break8
1001	SR	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}
1002	SSR	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}	{{"Attack",0.5}}	{{"Health",0.5}}
1003	最大生命	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}	{{"Health",1}}
1004	攻击力	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}	{{"Attack",1}}
1005	防御力	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}	{{"Defence",1}}
1006	射击暴击率%	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}	{{"CriticalValue",1}}
1007	暴击伤害增幅%	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtionAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtionAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}	{{"CriticalDamageAddtion",1}}
1008	技能伤害增幅%	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}	{{"SkillIntensity",1}}
1009	最大耐力	{{"FightPower",1}}	{{"FightPowerAddtion",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPowerAddtion",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}	{{"FightPower",1}}
