字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
hi01.1	O研究员		如果这样，是不是就能彻底清除这些雾霭……不，果然还是太困难了。	0	
choice.01			有解决的方法吗？	0	
choice.02			答案也许仍在墙内	0	
page01.1	O研究员		恐怕没有，至少短期内没有。	0	
page02.1	O研究员		那就得靠你了，分析员。	0	
					
hi02.1	O研究员		信息态幽灵在消失之后，感受到的时间流速会不会变得缓慢？嗯，有趣的假设。	0	
choice.03			我觉得会	0	
choice.04			我并不确定	0	
page03.1	H主角		能感觉到威尔身上积压的愤怒远不止三年。	0	
page03.2	H主角		久到足以让他忘记愤怒之外的一切。		
page04.1	H主角		或许对于纯粹的意识体来说，一瞬与永恒也没有区别。	0	
					
hi03.1	O研究员		我听说，这里还遗留着许多民众的录音记录。	0	
choice.05			是吗，我没注意过	0	
choice.06			我已经捡到一些了	0	
page05.1	O研究员		啊，真可惜，里面应该有不少有用的信息。	0	
page06.1	O研究员		真不错，里面应该有不少有用的信息，回头我也想看看。	0	
