NpcId	随机id	随机的key	权重	触发条件：开始时间	触发条件：结束时间	触发条件：获得某个道具	触发条件:交互动作	触发条件:好感度等级	触发条件：入队进度
NpcId	Index	RandomKey	Weight	BeginTime	EndTime	NeedItem	TargetAction	NeedLevel	TargetStage
1	1	house.girl01_RandomTalk01	1						
1	2	house.girl01_RandomTalk02	1						
1	3	house.girl01_RandomTalk03	1						
1	4	house.girl01_RandomTalk04	1						
1	5	house.girl01_RandomTalk05	1						
1	6	house.girl01_RandomTalk06	5					30	
1	7	house.girl01_RandomTalk07	1000				{'house_bed1'}		
									
2	1	house.girl02_RandomTalk01	1						
2	2	house.girl02_RandomTalk02	1						
2	3	house.girl02_RandomTalk03	1						
2	4	house.girl02_RandomTalk04	1						
2	5	house.girl02_RandomTalk05	1						
2	6	house.girl02_RandomTalk06	5					30	
2	7	house.girl02_RandomTalk07	1000				{'house_bed1'}		
									
3	1	house.girl03_RandomTalk01	1						
3	2	house.girl03_RandomTalk02	1						
3	3	house.girl03_RandomTalk03	1						
3	4	house.girl03_RandomTalk04	1						
3	5	house.girl03_RandomTalk05	1						
3	6	house.girl03_RandomTalk06	5					30	
3	7	house.girl03_RandomTalk07	1000				{'house_bed1'}		
									
4	1	house.girl04_RandomTalk01	1						
4	2	house.girl04_RandomTalk02	1						
4	3	house.girl04_RandomTalk03	1						
4	4	house.girl04_RandomTalk04	1						
4	5	house.girl04_RandomTalk05	1						
4	6	house.girl04_RandomTalk06	5					30	
4	7	house.girl04_RandomTalk07	1000				{'house_bed1'}		
									
5	1	house.girl05_RandomTalk01	1						
5	2	house.girl05_RandomTalk02	1						
5	3	house.girl05_RandomTalk03	1						
5	4	house.girl05_RandomTalk04	1						
5	5	house.girl05_RandomTalk05	1						
5	6	house.girl05_RandomTalk06	5					30	
5	7	house.girl05_RandomTalk07	1000				{'house_bed1'}		
									
6	1	house.girl06_RandomTalk01	1						
6	2	house.girl06_RandomTalk02	1						
6	3	house.girl06_RandomTalk03	1						
6	4	house.girl06_RandomTalk04	1						
6	5	house.girl06_RandomTalk05	1						
6	6	house.girl06_RandomTalk06	5					30	
6	7	house.girl06_RandomTalk07	1000				{'house_bed1'}		
									
7	1	house.girl07_RandomTalk01	1						
7	2	house.girl07_RandomTalk02	1						
7	3	house.girl07_RandomTalk03	1						
7	4	house.girl07_RandomTalk04	1						
7	5	house.girl07_RandomTalk05	1						
7	6	house.girl07_RandomTalk06	5					30	
7	7	house.girl07_RandomTalk07	1000				{'house_bed1'}		
									
8	1	house.girl08_RandomTalk01	1						
8	2	house.girl08_RandomTalk02	1						
8	3	house.girl08_RandomTalk03	1						
