少女Id	好感度等级	生命	攻击	武装	护盾	提供buff等级
GirlId	Level	Health	Attack	Defence	Shield	BuffLevel
1	0	1	1	1	1	0
1	10	1	1	1	1	1
1	20	1	1	1	1	2
1	30	1	1	1	1	3
1	40	1	1	1	1	4
1	50	1	1	1	1	5
2	0	1	1	1	1	0
2	10	1	1	1	1	1
2	20	1	1	1	1	2
2	30	1	1	1	1	3
2	40	1	1	1	1	4
2	50	1	1	1	1	5
3	0	1	1	1	1	0
3	10	1	1	1	1	1
3	20	1	1	1	1	2
3	30	1	1	1	1	3
3	40	1	1	1	1	4
3	50	1	1	1	1	5
4	0	1	1	1	1	0
4	10	1	1	1	1	1
4	20	1	1	1	1	2
4	30	1	1	1	1	3
4	40	1	1	1	1	4
4	50	1	1	1	1	5
5	0	1	1	1	1	0
5	10	1	1	1	1	1
5	20	1	1	1	1	2
5	30	1	1	1	1	3
5	40	1	1	1	1	4
5	50	1	1	1	1	5
6	0	1	1	1	1	0
6	10	1	1	1	1	1
6	20	1	1	1	1	2
6	30	1	1	1	1	3
6	40	1	1	1	1	4
6	50	1	1	1	1	5
7	0	1	1	1	1	0
7	10	1	1	1	1	1
7	20	1	1	1	1	2
7	30	1	1	1	1	3
7	40	1	1	1	1	4
7	50	1	1	1	1	5
8	0	1	1	1	1	0
8	10	1	1	1	1	1
8	20	1	1	1	1	2
8	30	1	1	1	1	3
8	40	1	1	1	1	4
8	50	1	1	1	1	5
10	0	1	1	1	1	0
10	10	1	1	1	1	1
10	20	1	1	1	1	2
10	30	1	1	1	1	3
10	40	1	1	1	1	4
10	50	1	1	1	1	5
11	0	1	1	1	1	0
11	10	1	1	1	1	1
11	20	1	1	1	1	2
11	30	1	1	1	1	3
11	40	1	1	1	1	4
11	50	1	1	1	1	5
12	0	1	1	1	1	0
12	10	1	1	1	1	1
12	20	1	1	1	1	2
12	30	1	1	1	1	3
12	40	1	1	1	1	4
12	50	1	1	1	1	5
13	0	1	1	1	1	0
13	10	1	1	1	1	1
13	20	1	1	1	1	2
13	30	1	1	1	1	3
13	40	1	1	1	1	4
13	50	1	1	1	1	5
14	0	1	1	1	1	0
14	10	1	1	1	1	1
14	20	1	1	1	1	2
14	30	1	1	1	1	3
14	40	1	1	1	1	4
14	50	1	1	1	1	5
17	0	1	1	1	1	0
17	10	1	1	1	1	1
17	20	1	1	1	1	2
17	30	1	1	1	1	3
17	40	1	1	1	1	4
17	50	1	1	1	1	5
15	0	1	1	1	1	0
15	10	1	1	1	1	1
15	20	1	1	1	1	2
15	30	1	1	1	1	3
15	40	1	1	1	1	4
15	50	1	1	1	1	5
16	0	1	1	1	1	0
16	10	1	1	1	1	1
16	20	1	1	1	1	2
16	30	1	1	1	1	3
16	40	1	1	1	1	4
16	50	1	1	1	1	5
18	0	1	1	1	1	0
18	10	1	1	1	1	1
18	20	1	1	1	1	2
18	30	1	1	1	1	3
18	40	1	1	1	1	4
18	50	1	1	1	1	5
20	0	1	1	1	1	0
20	10	1	1	1	1	1
20	20	1	1	1	1	2
20	30	1	1	1	1	3
20	40	1	1	1	1	4
20	50	1	1	1	1	5
21	0	1	1	1	1	0
21	10	1	1	1	1	1
21	20	1	1	1	1	2
21	30	1	1	1	1	3
21	40	1	1	1	1	4
21	50	1	1	1	1	5
22	0	1	1	1	1	0
22	10	1	1	1	1	1
22	20	1	1	1	1	2
22	30	1	1	1	1	3
22	40	1	1	1	1	4
22	50	1	1	1	1	5
23	0	1	1	1	1	0
23	10	1	1	1	1	1
23	20	1	1	1	1	2
23	30	1	1	1	1	3
23	40	1	1	1	1	4
23	50	1	1	1	1	5
24	0	1	1	1	1	0
24	10	1	1	1	1	1
24	20	1	1	1	1	2
24	30	1	1	1	1	3
24	40	1	1	1	1	4
24	50	1	1	1	1	5
