角色id	语音id	CD	打断时的语音	打断时的文本	打断文本显示时间
NpcId	VoiceId	CD	BreakVoiceId	BreakVoiceDes	BreakVoiceTime
1	40199	38	40198	house.BreakVoice01	7
2	40299	30	40298	house.BreakVoice02	10
3	40399	28	40398	house.BreakVoice03	10
4	40499	34	40498	house.BreakVoice04	10
5	40599	24	40598	house.BreakVoice05	8
6	40699	27	40698	house.BreakVoice06	10
7	40799	28	40798	house.BreakVoice07	8
8	40899	26	40898	house.BreakVoice08	14
10	41099	25	41098	house.BreakVoice10	15
11	41199	26	41198	house.BreakVoice11	8
12	41299	24	41298	house.BreakVoice12	10
13	41399	27	41398	house.BreakVoice13	10
14	41499	18	41498	house.BreakVoice14	9
15	41599	37	41598	house.BreakVoice15	7
16	41699	25	41698	house.BreakVoice16	11
17	41799	16	41798	house.BreakVoice17	13
18	41899	36	41898	house.BreakVoice18	31
20	42099	26	42098	house.BreakVoice20	10
21	42199	25	42198	house.BreakVoice21	6
22	42299	30	42298	house.BreakVoice22	17
23	42399	30	42398	house.BreakVoice23	7
