礼物Id	对应家具模板Id	获取途径	增加好感度	可赠送对象	送礼反馈语句	是否可互动（0 不能交互 1 可以交互）	是否可双人交互	增加氛围值	家具获取途径	展示图标	展示少女	拥有才显示	默认拥有
GiftId	FurnitureTmpId	GiftResorce	AddLoveNum	SupportTargets	SendMessage	CanInteract	CanCPInteract	AddHouseLoveNum	GiftResource	ShowIcon	ShowGirl	ShowOnlyOwned	DefaultHad
101	101	1	6000	{1}	house.SendMessage101	1			1				
102	102	1	9000	{1}	house.SendMessage102	1			1				
103	103	3	6000	{1}	house.SendMessage103	1			3				
104	104	1	6000	{1}	house.SendMessage104	0			1				
105	105	1	9000	{1}	house.SendMessage105	1			1				
106	106	1	6000	{1}	house.SendMessage106	0			1				
107	107	1	9000	{1}	house.SendMessage107	1			1				
108	108	1	3000	{1}	house.SendMessage108	0			1				
109	109	1	3000	{1}	house.SendMessage109	0			1				
110	110	1	3000	{1}	house.SendMessage110	0			1				
111	111	2	0	{1}	house.SendMessage111	1	1	4000	2				
121	121	2	0	{1}	house.SendMessage121	0	0	4000	2				1
122	122	2	0	{1}	house.SendMessage122	0	0	4000	2				1
120	120	2	0	{1}	house.SendMessage120	1	1	4000	2				
													
201	201	1	9000	{2}	house.SendMessage201	1			1				
202	202	1	6000	{2}	house.SendMessage202	1			4				
203	203	1	9000	{2}	house.SendMessage203	1			1				
204	204	3	6000	{2}	house.SendMessage204	1			3				
205	205	1	9000	{2}	house.SendMessage205	1			1				
206	206	1	6000	{2}	house.SendMessage206	0			1				
207	207	3	3000	{2}	house.SendMessage207	0			3				
208	208	1	6000	{2}	house.SendMessage208	0			1				
209	209	1	3000	{2}	house.SendMessage209	0			1				
210	210	1	3000	{2}	house.SendMessage210	0			1				
213	213	2	0	{2}	house.SendMessage213	1	1	4000	2				
220	220	2	0	{2}	house.SendMessage220	1	1	4000	2				
221	221	2	0	{2}	house.SendMessage221	0	0	4000	2				1
													
401	401	1	9000	{4}	house.SendMessage401	1			1				
402	402	1	9000	{4}	house.SendMessage402	1			1				
403	403	1	9000	{4}	house.SendMessage403	1			1				
404	404	3	6000	{4}	house.SendMessage404	1			3				
405	405	1	6000	{4}	house.SendMessage405	0			1				
406	406	1	3000	{4}	house.SendMessage406	0			1				
407	407	1	6000	{4}	house.SendMessage407	0			1				
408	408	1	3000	{4}	house.SendMessage408	0			1				
409	409	1	3000	{4}	house.SendMessage409	0			1				
410	410	1	6000	{4}	house.SendMessage410	1			1				
414	414	2	0	{4}	house.SendMessage414	1	1	4000	2				
420	420	2	0	{4}	house.SendMessage420	1	1	4000	2				
													
701	701	1	9000	{7}	house.SendMessage701	1			1				
702	702	1	9000	{7}	house.SendMessage702	1			1				
703	703	1	6000	{7}	house.SendMessage703	0			1				
704	704	3	6000	{7}	house.SendMessage704	1			3				
705	705	1	6000	{7}	house.SendMessage705	1			1				
706	706	1	3000	{7}	house.SendMessage706	0			1				
707	707	1	9000	{7}	house.SendMessage707	1			1				
708	708	1	3000	{7}	house.SendMessage708	0			1				
709	709	1	6000	{7}	house.SendMessage709	0			1				
710	710	1	3000	{7}	house.SendMessage710	0			1				
711	711	2	0	{7}	house.SendMessage711	1	1	4000	2				
													
801	801	1	9000	{8}	house.SendMessage801	1			1				
802	802	3	6000	{8}	house.SendMessage802	1			3				
803	803	1	6000	{8}	house.SendMessage803	0			1				
804	804	1	9000	{8}	house.SendMessage804	1			1				
805	805	1	6000	{8}	house.SendMessage805	0			1				
806	806	1	6000	{8}	house.SendMessage806	1			1				
807	807	1	9000	{8}	house.SendMessage807	1			1				
808	808	1	3000	{8}	house.SendMessage808	0			1				
809	809	1	3000	{8}	house.SendMessage809	0			1				
810	810	1	3000	{8}	house.SendMessage810	0			1				
811	811	2	0	{8}	house.SendMessage811	1	1	4000	2				
820	820	2	0	{8}	house.SendMessage820	1	1	4000	2				
821	821	2	0	{8}	house.SendMessage821	0	0	4000	2				1
													
1301	1301	1	9000	{13}	house.SendMessage1301	1			1				
1302	1302	1	9000	{13}	house.SendMessage1302	1			1				
1303	1303	1	9000	{13}	house.SendMessage1303	1			1				
1304	1304	1	6000	{13}	house.SendMessage1304	1			1				
1305	1305	1	6000	{13}	house.SendMessage1305	1			1				
1306	1306	1	6000	{13}	house.SendMessage1306	0			1				
1307	1307	1	3000	{13}	house.SendMessage1307	0			1				
1308	1308	1	3000	{13}	house.SendMessage1308	0			1				
1309	1309	1	3000	{13}	house.SendMessage1309	0			1				
1310	1310	1	6000	{13}	house.SendMessage1310	0			1				
1314	1314	2	0	{13}	house.SendMessage1314	1	1	4000	2				
													
1401	1401	1	9000	{14}	house.SendMessage1401	1			1				
1402	1402	1	9000	{14}	house.SendMessage1402	1			1				
1403	1403	1	6000	{14}	house.SendMessage1403	1			1				
1404	1404	1	9000	{14}	house.SendMessage1404	1			1				
1405	1405	1	6000	{14}	house.SendMessage1405	1			1				
1406	1406	1	6000	{14}	house.SendMessage1406	0			1				
1407	1407	1	6000	{14}	house.SendMessage1407	0			1				
1408	1408	1	3000	{14}	house.SendMessage1408	0			1				
1409	1409	1	3000	{14}	house.SendMessage1409	0			1				
1410	1410	1	3000	{14}	house.SendMessage1410	0			1				
1412	1412	2	0	{14}	house.SendMessage1412	1	1	4000	2				
1420	1420	2	0	{14}	house.SendMessage1420	1	1	4000	2				
1421	1421	2	0	{14}	house.SendMessage1421	0	0	4000	2				1
													
501	501	1	6000	{5}	house.SendMessage501	1			1				
502	502	1	9000	{5}	house.SendMessage502	1			1				
503	503	1	9000	{5}	house.SendMessage503	1			1				
504	504	1	6000	{5}	house.SendMessage504	1			1				
