戒指槽位id	套装Id	绑定的骨骼名称	相对偏移量	分析员套装缩放
SlotId	SuitId	BoneName	Offset	Scale
1	1	Bip001-L-Finger01	{3.2,0.3,0}	1.15
2	1	Bip001-L-Finger1	{3.1,-0.13,-0.1}	1.08
3	1	Bip001-L-Finger2	{3,-0.33,0}	1.17
4	1	Bip001-L-Finger3	{2.8,-0.27,0}	1.06
5	1	Bip001-L-Finger4	{2.4,-0.05,0}	0.85
6	1	Bip001-R-Finger01	{3.2,0.3,0}	1.15
7	1	Bip001-R-Finger1	{3.1,-0.19,0.2}	1.05
8	1	Bip001-R-Finger2	{3.15,-0.4,0}	1.17
9	1	Bip001-R-Finger3	{2.8,-0.20,0}	1.13
10	1	Bip001-R-Finger4	{2.4,0,0.1}	0.91
1	2	Bip001-L-Finger01	{3.2,0.3,0}	1.15
2	2	Bip001-L-Finger1	{3.1,-0.13,-0.1}	1.08
3	2	Bip001-L-Finger2	{3,-0.33,0}	1.17
4	2	Bip001-L-Finger3	{2.8,-0.27,0}	1.06
5	2	Bip001-L-Finger4	{2.4,-0.05,0}	0.85
6	2	Bip001-R-Finger01	{3.2,0.3,0}	1.15
7	2	Bip001-R-Finger1	{3.1,-0.19,0.2}	1.05
8	2	Bip001-R-Finger2	{3.15,-0.4,0}	1.17
9	2	Bip001-R-Finger3	{2.8,-0.20,0}	1.08
10	2	Bip001-R-Finger4	{2.4,0,0.1}	0.89
1	3	Bip001-L-Finger01	{3.2,0.3,-0.2}	1.1
2	3	Bip001-L-Finger1	{3.3,-0.05,-0.1}	1
3	3	Bip001-L-Finger2	{3.45,-0.37,0}	1.05
4	3	Bip001-L-Finger3	{3.1,-0.2,0}	1.03
5	3	Bip001-L-Finger4	{2.6,-0.1,0}	0.85
6	3	Bip001-R-Finger01	{3.2,0.3,0.2}	1.1
7	3	Bip001-R-Finger1	{3.3,-0.05,0.2}	1
8	3	Bip001-R-Finger2	{3.45,-0.37,0}	1.05
9	3	Bip001-R-Finger3	{3.1,-0.2,0}	1.1
10	3	Bip001-R-Finger4	{2.6,-0.1,0}	0.85
1	4	Bip001-L-Finger01	{3.2,0.3,-0.2}	1.1
2	4	Bip001-L-Finger1	{3.3,-0.05,-0.1}	1
3	4	Bip001-L-Finger2	{3.45,-0.23,0}	1.05
4	4	Bip001-L-Finger3	{3.1,-0.2,0}	1.03
5	4	Bip001-L-Finger4	{2.6,-0.1,0}	0.85
6	4	Bip001-R-Finger01	{3.2,0.3,0.2}	1.12
7	4	Bip001-R-Finger1	{3.3,-0.05,0.2}	1
8	4	Bip001-R-Finger2	{3.5,-0.2,-0.1}	1.05
9	4	Bip001-R-Finger3	{3.1,-0.2,0}	1.1
10	4	Bip001-R-Finger4	{2.6,-0.1,0}	0.87
1	51	Bip001-L-Finger01	{3.2,0.3,0}	1.15
2	51	Bip001-L-Finger1	{3.1,-0.13,-0.1}	1.08
3	51	Bip001-L-Finger2	{3,-0.33,0}	1.17
4	51	Bip001-L-Finger3	{2.8,-0.27,0}	1.06
5	51	Bip001-L-Finger4	{2.4,-0.05,0}	0.85
6	51	Bip001-R-Finger01	{3.2,0.3,0}	1.15
7	51	Bip001-R-Finger1	{3.1,-0.19,0.2}	1.05
8	51	Bip001-R-Finger2	{3.15,-0.4,0}	1.17
9	51	Bip001-R-Finger3	{2.8,-0.20,0}	1.08
10	51	Bip001-R-Finger4	{2.4,0,0.1}	0.89
1	52	Bip001-L-Finger01	{3.2,0.3,0}	1.15
2	52	Bip001-L-Finger1	{3.1,-0.13,-0.1}	1.08
3	52	Bip001-L-Finger2	{3,-0.33,0}	1.17
4	52	Bip001-L-Finger3	{2.8,-0.27,0}	1.06
5	52	Bip001-L-Finger4	{2.4,-0.05,0}	0.85
6	52	Bip001-R-Finger01	{3.2,0.3,0}	1.15
7	52	Bip001-R-Finger1	{3.1,-0.19,0.2}	1.05
8	52	Bip001-R-Finger2	{3.15,-0.4,0}	1.17
9	52	Bip001-R-Finger3	{2.8,-0.20,0}	1.08
10	52	Bip001-R-Finger4	{2.4,0,0.1}	0.89
1	53	Bip001-L-Finger01	{3.2,0.3,-0.2}	1.1
2	53	Bip001-L-Finger1	{3.3,-0.05,-0.1}	1
3	53	Bip001-L-Finger2	{3.45,-0.37,0}	1.05
4	53	Bip001-L-Finger3	{3.1,-0.2,0}	1.03
5	53	Bip001-L-Finger4	{2.6,-0.1,0}	0.85
6	53	Bip001-R-Finger01	{3.2,0.3,0.2}	1.1
7	53	Bip001-R-Finger1	{3.3,-0.05,0.2}	1
8	53	Bip001-R-Finger2	{3.45,-0.37,0}	1.05
9	53	Bip001-R-Finger3	{3.1,-0.2,0}	1.1
10	53	Bip001-R-Finger4	{2.6,-0.1,0}	0.85
1	54	Bip001-L-Finger01	{3.2,0.3,-0.2}	1.1
2	54	Bip001-L-Finger1	{3.3,-0.05,-0.1}	1
3	54	Bip001-L-Finger2	{3.45,-0.23,0}	1.05
4	54	Bip001-L-Finger3	{3.1,-0.2,0}	1.03
5	54	Bip001-L-Finger4	{2.6,-0.1,0}	0.85
6	54	Bip001-R-Finger01	{3.2,0.3,0.2}	1.12
7	54	Bip001-R-Finger1	{3.3,-0.05,0.2}	1
8	54	Bip001-R-Finger2	{3.5,-0.2,-0.1}	1.05
9	54	Bip001-R-Finger3	{3.1,-0.2,0}	1.1
10	54	Bip001-R-Finger4	{2.6,-0.1,0}	0.87
1	60	Bip001-L-Finger01	{3.2,0.3,-0.2}	1.1
2	60	Bip001-L-Finger1	{3.1,-0.1,-0.1}	1.05
3	60	Bip001-L-Finger2	{3.1,-0.4,0}	1.13
4	60	Bip001-L-Finger3	{2.8,-0.3,0}	1.02
5	60	Bip001-L-Finger4	{2.4,-0.05,0}	0.85
6	60	Bip001-R-Finger01	{3.2,0.3,0.2}	1.1
7	60	Bip001-R-Finger1	{3.2,0,0.2}	1.05
8	60	Bip001-R-Finger2	{3.2,-0.4,0}	1.13
9	60	Bip001-R-Finger3	{2.9,-0.3,0}	1.02
10	60	Bip001-R-Finger4	{2.4,-0.1,0}	0.85
1	5	Bip001-L-Finger01	{3.2,0.3,-0.2}	1.1
2	5	Bip001-L-Finger1	{3.3,-0.05,-0.1}	1
3	5	Bip001-L-Finger2	{3.45,-0.23,0}	1.05
4	5	Bip001-L-Finger3	{3.1,-0.2,0}	1.03
5	5	Bip001-L-Finger4	{2.6,-0.1,0}	0.85
6	5	Bip001-R-Finger01	{3.2,0.3,0.2}	1.12
7	5	Bip001-R-Finger1	{3.3,-0.05,0.2}	1
8	5	Bip001-R-Finger2	{3.5,-0.2,-0.1}	1.05
9	5	Bip001-R-Finger3	{3.1,-0.2,0}	1.03
10	5	Bip001-R-Finger4	{2.4,0,0.1}	0.89
1	55	Bip001-L-Finger01	{3.2,0.3,-0.2}	1.1
2	55	Bip001-L-Finger1	{3.3,-0.05,-0.1}	1
3	55	Bip001-L-Finger2	{3.45,-0.23,0}	1.05
4	55	Bip001-L-Finger3	{3.1,-0.2,0}	1.03
5	55	Bip001-L-Finger4	{2.6,-0.1,0}	0.85
6	55	Bip001-R-Finger01	{3.2,0.3,0.2}	1.12
7	55	Bip001-R-Finger1	{3.3,-0.05,0.2}	1
8	55	Bip001-R-Finger2	{3.5,-0.2,-0.1}	1.05
9	55	Bip001-R-Finger3	{3.1,-0.2,0}	1.03
10	55	Bip001-R-Finger4	{2.4,0,0.1}	0.89
