少女Id	剧情Id	剧情Key	剧情名字	剧情触发区域	是否需要入住后才触发（0不是 1是）	是否需要拥有某个角色后才触发（本体除外）	需要拥有某个家具后才触发	需要通过某个关卡才触发	需要阅读完某个随机事件才触发	需要好感度等级达到多少才触发	需要道具,{1,1,1,1}	开始时间,[202406011000]	结束时间，[202406011000]	优先级
GirlId	StoryId	StoryKey	StoryName	StoryArea	CheckIn	Girls	Furnitures	PreLevel	PreStory	CheckLoveLevel	NeedItem	BeginTime	EndTime	HigherOrder
1	1	3DRoom/Girl001RM1	house.DailyTalkName0101	0										
1	2	3DRoom/Girl001RM2	house.DailyTalkName0102	0										
1	4	3DRoom_DLC2/Girl001RM4	house.DailyTalkName0104	0										
1	5	3DRoom_DLC2/Girl001RM5	house.DailyTalkName0105	0										
1	6	3DRoom_DLC3/Girl001RM6	house.DailyTalkName0106	0										
1	7	3DRoom_DLC3/Girl001RM7	house.DailyTalkName0107	0										
1	8	3DRoom_DLC3/Girl001RM8	house.DailyTalkName0108	0										
1	9	3DRoom_DLC4/Girl001RM9	house.DailyTalkName0110	0										
1	10	3DRoom_DLC4/Girl001RM10	house.DailyTalkName0109	0										
1	11	3DRoom_DLC5/Girl001RM11	house.DailyTalkName0111	0										
1	12	3DRoom_DLC6/Girl001RM12	house.DailyTalkName0112	0										
1	13	3DRoom_DLC7/Girl001RM13	house.DailyTalkName0113	1	1				{4,13}					
1	14	3DRoom_DLC8/Girl001RM14	house.DailyTalkName0114	0										
1	15	3DRoom_DLC9/Girl001RM15	house.DailyTalkName0115	0										2
1	16	3DRoom_DLC10/Girl001RM16	house.DailyTalkName0116	51					{1,15}					
1	17	3DRoom_DLC11/Girl001RM17	house.DailyTalkName0117	51										1
1	18	3DRoom_DLC12/Girl001RM18	house.DailyTalkName0118	51					{1,17}					
1	19	3DRoom_DLC25/Girl001RM19	house.DailyTalkName0119	1	1									1
1	20	3DRoom_DLC27/Girl001RM20	house.DailyTalkName0120	1	1									1
1	21	3DRoom_DLC30/Girl001RM21	house.DailyTalkName0121	1	1									1
1	22	3DRoom_DLC32/Girl001RM22	house.DailyTalkName0122	0										1
1	23	3DRoom_DLC35/Girl001RM23	house.DailyTalkName0123	1	1									1
1	24	3DRoom_DLC35/Girl001RM24	house.DailyTalkName0124	1	1						{7,1,3,2}			1
														
														
2	6	3DRoom_DLC3/Girl002RM6	house.DailyTalkName0206	0										
2	7	3DRoom_DLC3/Girl002RM7	house.DailyTalkName0207	2	1		{208}							
2	8	3DRoom_DLC3/Girl002RM8	house.DailyTalkName0208	0										
2	9	3DRoom_DLC4/Girl002RM9	house.DailyTalkName0210	0										
2	10	3DRoom_DLC4/Girl002RM10	house.DailyTalkName0209	0										
2	11	3DRoom_DLC5/Girl002RM11	house.DailyTalkName0211	0	1		{201}							
2	12	3DRoom_DLC6/Girl002RM12	house.DailyTalkName0212	0	1		{201}	51274						
2	13	3DRoom_DLC7/Girl002RM13	house.DailyTalkName0213	0										
2	14	3DRoom_DLC8/Girl002RM14	house.DailyTalkName0214	0	1		{213}							
2	15	3DRoom_DLC9/Girl002RM15	house.DailyTalkName0215	2	1						{7,2,3,2}			
2	16	3DRoom_DLC10/Girl002RM16	house.DailyTalkName0216	0							{7,2,3,2}			2
2	17	3DRoom_DLC11/Girl002RM17	house.DailyTalkName0217	0							{16,3,1,1}			1
2	18	3DRoom_DLC12/Girl002RM18	house.DailyTalkName0218	51										
2	19	3DRoom_DLC25/Girl002RM19	house.DailyTalkName0219	0	1		{220}							1
2	20	3DRoom_DLC27/Girl002RM20	house.DailyTalkName0220	2	1									1
2	21	3DRoom_DLC30/Girl002RM21	house.DailyTalkName0221	2	1									1
2	22	3DRoom_DLC32/Girl002RM22	house.DailyTalkName0222	2	1									1
2	23	3DRoom_DLC35/Girl002RM23	house.DailyTalkName0223	2	1									1
														
														
3	2	3DRoom/Girl003RM2	house.DailyTalkName0302	0										
3	3	3DRoom/Girl003RM3	house.DailyTalkName0303	0										
