角色ID	唯一ID(对应皮肤ID）	//备注	对应Gdpl	对应头像ID
CharacterId	SkinId	Desc	Gdpl	UiId
1	70100	安卡希雅-病号服		4300001
2	70200	里芙-病号服		4300002
3	70300	妮塔-病号服		4300003
4	70400	芙提雅-病号服		4300004
5	70500	茉莉安-病号服		4300005
6	70600	晴-病号服		4300006
7	70700	琴诺-病号服		4300007
8	70800	芬妮-病号服		4300008
10	71000	肴-病号服		4300009
11	71100	恩雅-病号服		4300010
12	71200	猫汐儿-病号服		4300011
13	71300	瑟瑞斯-病号服		4300012
14	71400	辰星-病号服		4300013
15	71500	凯茜娅-病号服		4300014
16	71600	伊切尔-病号服		4300015
17	71700	苔丝-病号服		4300016
18	71800	薇蒂雅-病号服		4300017
20	72000	卜卜-病号服		4300019
21	72100	奈莉德-病号服		4300020
22	72200	克罗瑞娜-病号服		4300021
23	72300	米娅-病号服		4300022
				
99	79900	分析员换装1	{16,1,1,1}	2600012
99	79901	分析员换装2		2600012
99	79902	分析员换装3	{16,3,1,1}	2600012
99	79910	分析员换装10	{16,4,1,1}	2600012
99	79913	分析员换装13	{16,5,1,1}	2600012
