字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				在过去阅读幻想故事的时候，我考虑过这样一个问题：\n如果拥有时间回溯的能力，我会用来做什么？	0	2.4版本主线故事
2		0				而对于现在的我来说，只能给出一个相当无趣的答案——\n我会用来找路。	0	2.4版本主线故事
3		0				阻止了卜卜去碰到那些古老的机关之后，我和卜卜顺利走出了遗迹。	0	2.4版本主线故事
4		9	卜卜			等等，前面那是……	0	2.4版本主线故事
5		0				令我们没想到的是，出现在我们眼前的竟然是另一片人造区域。而且，与看起来就年代久远的遗迹不同——这显然是一个近现代才开凿的矿洞。	0	2.4版本主线故事
6		0				说是近现代，是因为这里四散着的铁轨和矿车许多都已经锈蚀，但不知为何，前面的通道上还悬挂着仍在发光的照明灯。	0	2.4版本主线故事
7		9	卜卜			果然有矿洞啊……	0	2.4版本主线故事
8		0				我和卜卜异口同声地发出了感叹，又立刻疑惑地看向对方。	0	2.4版本主线故事
9		0	分析员			我听说这地方曾经有一个矿场，只不过很多年前就废弃了……	0	2.4版本主线故事
10		9	卜卜			……而我听附近的村民说，最近又有人带着施工队来到这里开工。	0	2.4版本主线故事
11		0	分析员			对上了。	0	2.4版本主线故事
12		9	卜卜			嗯，对上了！	0	2.4版本主线故事
13		6	卜卜			不过，前面的岔路也太多了吧！	0	2.4版本主线故事
14		0				如卜卜所说，眼前的矿洞比之前的自然溶洞还要复杂。考虑到这里曾经废弃过一次，许多通道很可能都是死路。	0	2.4版本主线故事
15		0	分析员			……就先凭着直觉来选吧。	0	2.4版本主线故事
e-1	e-1	0					0	2.4版本主线故事
16	e-1-1	0				走左边的通道	0	2.4版本主线故事
17	e-1-1-0	0				深入矿洞之后，周围逐渐黯淡下来。	0	2.4版本主线故事
18	e-1-1-1	0	分析员			对了卜卜，一直说矿洞矿洞的，你在收集情报的时候有听当地居民说这是什么矿吗？	0	2.4版本主线故事
19	e-1-1-2	6	卜卜			没有，不过说到北庭卫的特产矿石，那应该是……彩绯岩？	0	2.4版本主线故事
20	e-1-1-3	0				卜卜一边说着，一边用手指在附近的岩壁上摩擦了几下。很快，她的手指便附着上了彩色的结晶颗粒。	0	2.4版本主线故事
21	e-1-1-4	6	卜卜			这种矿石里的稀土在工业上用途很广，价值也很高，我记得还写进教科书里了。	0	2.4版本主线故事
22	e-1-1-5	6	卜卜			奇怪，从这个矿洞里的矿石数量来看，这里的彩绯岩大概只被开采了一半不到。几十年前最先发现这个矿脉的那些人为什么没有将这里全部开采呢？	0	2.4版本主线故事
23	e-1-1-6	6	卜卜			难不成，这个矿脉其实镇压着什么不干净的东西？！	0	2.4版本主线故事
24	e-1-1-7	0	分析员			……如果是这样的话，近期就不会有人再来重新开采了吧。	0	2.4版本主线故事
25	e-1-1-8	0	分析员			我倒是觉得，应该不是矿的问题，而是人的问题。	0	2.4版本主线故事
26	e-1-1-9	6	卜卜			嗯嗯？这是什么意思？	0	2.4版本主线故事
27	e-1-1-10	0				我停下脚步，伸手拦住了扭头回来询问我的卜卜。	0	2.4版本主线故事
28	e-1-1-11	0				只见在我们面前，一堆乱石将前进的路挡了个密不透风——这根本是一条死路。	0	2.4版本主线故事
29	e-1-1-12	9	卜卜			哈？	0	2.4版本主线故事
30	e-1-1-13	0				卜卜像是不敢相信眼前的石头真实存在，她略带迟疑地走上前去，又小心翼翼地伸出手戳了戳面前的石头，随即如同被烫到了一样将手抽了回来。	0	2.4版本主线故事
31	e-1-1-14	9	卜卜			哇！	0	2.4版本主线故事
32	e-1-1-15	0	分析员			别哇了，回头吧。	0	2.4版本主线故事
33	e-1-1-16	9	卜卜			唉，现在回头的话，可保不准会不会和那邪祟正面撞上。	0	2.4版本主线故事
34	e-1-1-17	0	分析员			放心吧，不会的。	0	2.4版本主线故事
35	e-1-1-18	0				我朝她露出一个宽慰的微笑。	0	2.4版本主线故事
36	e-1-1-19	0				五分钟后，我捂着脑袋从医疗舱中爬起，随即拿起笔，在白板上写下两行字。	0	2.4版本主线故事
37	e-1-1-20	0				北庭卫地下的确存在大型矿洞，彩绯岩？	0	2.4版本主线故事
38	e-1-1-21	0				不要走矿洞前左边的通道。	0	2.4版本主线故事
39	e-1-2	0				走右边的通道	0	2.4版本主线故事
40	e-1-2-0	0				这条通道相对宽敞，照明条件也好上一些。	0	2.4版本主线故事
41	e-1-2-1	0				没走多远，我和卜卜便看到前方散落着一地杂物，似乎都是先前的矿工遗留下来的。	0	2.4版本主线故事
42	e-1-2-2	0				我走到一片空地前，屈膝蹲下，用手擦去了地面上一个凸起处的尘土。	0	2.4版本主线故事
43	e-1-2-3	0				这是一个半埋在地下的铁皮箱子。	0	2.4版本主线故事
44	e-1-2-4	0	分析员			卜卜，搭把手。	0	2.4版本主线故事
45	e-1-2-5	6	卜卜			怎么，你要把这玩意弄出来？	0	2.4版本主线故事
46	e-1-2-6	0	分析员			嗯，我要看看，这地方到底藏了什么。	0	2.4版本主线故事
47	e-1-2-7	0				由于是随意抛下的箱子，理所当然的没有上锁。	0	2.4版本主线故事
48	e-1-2-8	0				基于同样的理由，箱子里面也没什么有价值的东西。	0	2.4版本主线故事
49	e-1-2-9	6	卜卜			过期罐头，断掉的铁镐，还有半块破布……都是些没用的东西嘛。	0	2.4版本主线故事
50	e-1-2-10	0	分析员			不，你看这箱子的里面。	0	2.4版本主线故事
51	e-1-2-11	0				卜卜好奇地把头凑了过来，一字一顿地读出了箱子底部刻着的文字。	0	2.4版本主线故事
52	e-1-2-12	6	卜卜			“姬——氏——矿——业”……姬氏？这有什么问题吗？	0	2.4版本主线故事
53	e-1-2-13	0				我没有回答卜卜的问题，只是从地上捡起了那罐刚才被她丢到一旁的罐头。	0	2.4版本主线故事
54	e-1-2-14	0				上面的包装文字已经模糊不清，只能勉强看出是上个世纪生产出来的。	0	2.4版本主线故事
55	e-1-2-15	0				果然，最初来到北庭卫修建矿场的就是姬家。	0	2.4版本主线故事
56	e-1-2-16	0				后来姬家从这里撤走，这矿场也荒废了数十年，按理说不应该有人再重新盯上这里。	0	2.4版本主线故事
57	e-1-2-17	0				除非……这人自己就是姬家的成员。	0	2.4版本主线故事
58	e-1-2-18	0	分析员			好。那你知道北庭卫附近有类似于矿场或者其他工程存在吗？	0	2.4版本主线故事
59	e-1-2-19	6	辰星			我不确定，但我知道姬家在北庭卫深处曾经有过一份祖产，只是很多年没人打理了……	0	2.4版本主线故事
60	e-1-2-20	9	肴冬至			明明有生意还放着不做？出过什么事吗？	0	2.4版本主线故事
61	e-1-2-21	6	辰星			那份祖产……跟舍塔有一定的关系。	0	2.4版本主线故事
62	e-1-2-22	6	芙提雅驰掣			舍……塔？！	0	2.4版本主线故事
63	e-1-2-23	6	辰星			嗯。陈年旧账了。当年她和姬家关系紧密的时候，曾经还亲自去打理过那一份产业。	0	2.4版本主线故事
64	e-1-2-24	6	辰星			后来姬家家道中落，舍塔也与姬家撇清了关系，家族里余下的长辈们似乎都有着什么顾虑，那边的产业就没有人再接手过了。	0	2.4版本主线故事
65	e-1-2-25	0				这样一来，她选择这里作为藏身之处，也就有原因了。	0	2.4版本主线故事
66	e-1-2-26	0				不过，时隔多年，舍塔在现在急急忙忙重新开始矿洞的挖掘，究竟是为了什么？	0	2.4版本主线故事
67	e-1-2-27	0				我把玩着手中的罐头，也顺便无视了由远及近的沉重脚步声。	0	2.4版本主线故事
68	e-1-2-28	0	分析员			这次还是因为没跑过怪物……	0	2.4版本主线故事
