玩法类型ID	//备注	第1名	第2名	第3名	第4名	第5名	第6名	第7名	第8名	第9名	第10名	第11名	第12名	第13名	第14名	第15名	中途退出	额外加分
ID	Comment	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	Rank8	Rank9	Rank10	Rank11	Rank12	Rank13	Rank14	Rank15	MidwayExit	ExtraPoints
1	竞速模式	500	450	400	380	360	340	320	300	280	200	200	200	200	200	200	0	
2	生存模式	500	450	400	380	360	340	320	300	280	200	200	200	200	200	200	0	
3	积分模式	500	450	400	380	360	340	320	300	280	200	200	200	200	200	200	0	
4	捉迷藏追捕方（追捕人数有额外加分）	500	400	300													0	50
5	捉迷藏躲避方	750	500	400	380	360	340	320	300	280	200	200	200				0	
6	单人竞速模式	350	315	280	266	252	238	224	210	196	140	140	140	140	140	140	0	
7	单人生存模式	350	315	280	266	252	238	224	210	196	140	140	140	140	140	140	0	
8	单人积分模式	350	315	280	266	252	238	224	210	196	140	140	140	140	140	140	0	
9	优化模式	1000	900	800	760	720	680	640	600	560	400	400	400	400	400	400	0	
10	决战哈姆	300	600	900	1200	1500	1800	2100	2400	2700	3000						0	
11	单人决战哈姆	300	600	900	1200	1500	1800	2100	2400	2700	3000						0	
