语音ID	语音Key	语音备注	语音优先级	语音触发CD
ID	AudioKey	Comment	AudioPriority	AudioCD
1	Play_Vo_dlc35_girl001_hamu_01	挑战模式开局语音	99	1
2	Play_Vo_dlc35_girl001_hamu_02	挑战模式常规波次开始语音	99	1
3	Play_Vo_dlc35_girl001_hamu_03	挑战模式奖励波次开始语音	99	1
4	Play_Vo_dlc35_girl001_hamu_04	挑战模式波次结束语音	80	1
5	Play_Vo_dlc35_girl001_hamu_05	玩家倒地语音	98	1
6	Play_Vo_dlc35_girl001_hamu_06	刷武器箱语音	98	1
7	Play_Vo_dlc35_girl001_hamu_07	获得霰弹枪语音	100	1
8	Play_Vo_dlc35_girl001_hamu_08	获得榴弹炮语音	100	1
9	Play_Vo_dlc35_girl001_hamu_09	boss波次开始语音	99	1
10	Play_Vo_dlc35_girl001_hamu_10	boss大招语音	101	1
11	Play_Vo_dlc35_girl001_hamu_11	挑战模式成功语音	99	1
12	Play_Vo_dlc35_girl001_hamu_12	挑战模式失败语音	99	1
13	Play_Vo_dlc35_girl001_hamu_13	PVP单杀	80	0.1
14	Play_Vo_dlc35_girl001_hamu_14	PVP二连杀	81	0.1
15	Play_Vo_dlc35_girl001_hamu_15	PVP三连杀	82	0.1
16	Play_Vo_dlc35_girl001_hamu_15	PVP四连杀	83	0.1
17	Play_Vo_dlc35_girl001_hamu_15	PVP五连杀	84	0.1
18	Play_Vo_dlc35_girl001_hamu_15	PVP六连杀	85	0.1
19	Play_Vo_dlc35_girl001_hamu_15	挑战模式击杀	80	5
20	Play_Vo_dlc35_girl001_hamu_16	PVP伤害徽章	70	5
21	Play_Vo_dlc35_girl001_hamu_16	PVE伤害徽章	80	5
22	Play_Vo_hg_girl001_07	刷道具语音	98	1
