漏洞ID	漏洞名称	漏洞名称备注	哈姆类型（1.母体，2.小哈姆}	漏洞头像	漏洞立绘	底板类型	漏洞模板ID	是否玩家可选	是否母体	技能升级的局内等级	持有技能ID	复活时长	背包内显示的技能ID	模型Path	动画蓝图路径	模型材质路径
ID	Name	NameComment	Type	Icon	Tachie	Color	TemplateID	canSelect	isOrigin	SkillUpLevel	SkillID	RebornCD	SkillIDInBag	MeshPath	ABPPath	MatPath
1	ui.TxtPartyZbug_1	潜行哈穆恩	2	1001713	1603141	1700259	1002	1	0	{1,2,4,6}	{{4,14},{4,14},{4,14},{4,14,15}}	3	{4}	/Game/Characters/Girl_Q/mon810_x_q/mon810_x_q_lod0_skm.mon810_x_q_lod0_skm	/Game/Blueprints/QQCharacter/mon809_q/ABP_Mon809_q.ABP_Mon809_q	{"/Game/Characters/Girl_Q/mon810_x_q/mon810_x_q_body01_inst.mon810_x_q_body01_inst", "/Game/Characters/Girl_Q/mon810_x_q/mon810_x_q_part01_inst.mon810_x_q_part01_inst"}
2	ui.TxtPartyZbug_2	重卫哈穆恩	2	1001714	1603140	1700258	1003	1	0	{1,2,4,6}	{{6},{6},{6},{6}}	3	{6}	/Game/Characters/Girl_Q/mon810_x_q/mon810_x_q_lod0_skm.mon810_x_q_lod0_skm	/Game/Blueprints/QQCharacter/mon809_q/ABP_Mon809_q.ABP_Mon809_q	{"/Game/Characters/Girl_Q/mon810_x_q/mon810_x_q_body02_inst.mon810_x_q_body02_inst", "/Game/Characters/Girl_Q/mon810_x_q/mon810_x_q_part02_inst.mon810_x_q_part02_inst"}
3	ui.TxtPartyZbug_3	噬斗哈穆恩	2	1001716	1603139	1700261	1004	1	0	{1,2,4,6}	{{5},{5},{5},{5}}	3	{5}	/Game/Characters/Girl_Q/mon810_x_q/mon810_x_q_lod0_skm.mon810_x_q_lod0_skm	/Game/Blueprints/QQCharacter/mon809_q/ABP_Mon809_q.ABP_Mon809_q	{"/Game/Characters/Girl_Q/mon810_x_q/mon810_x_q_body03_inst.mon810_x_q_body03_inst", "/Game/Characters/Girl_Q/mon810_x_q/mon810_x_q_part03_inst.mon810_x_q_part03_inst"}
4	ui.TxtPartyZbug_4	赐疗哈穆恩	2	1001715	1603142	1700257	1005	1	0	{1,2,4,6}	{{7},{7},{7},{7}}	3	{7}	/Game/Characters/Girl_Q/mon810_x_q/mon810_x_q_lod0_skm.mon810_x_q_lod0_skm	/Game/Blueprints/QQCharacter/mon809_q/ABP_Mon809_q.ABP_Mon809_q	{"/Game/Characters/Girl_Q/mon810_x_q/mon810_x_q_body04_inst.mon810_x_q_body04_inst", "/Game/Characters/Girl_Q/mon810_x_q/mon810_x_q_part04_inst.mon810_x_q_part04_inst"}
5	ui.PartyGoZbugName03	优化源-范围加攻速	1	5230014	1603138	1700258	1006	1	1	{1}	{{2,3}}	3	{2,3}	/Game/Characters/Girl_Q/mon809_q/mon809_q_skm.mon809_q_skm	/Game/Blueprints/QQCharacter/mon809_q/ABP_Mon809_q.ABP_Mon809_q	{"/Game/Characters/Girl_Q/mon809_q/mon809_q_body01_inst.mon809_q_body01_inst", "/Game/Characters/Girl_Q/mon809_q/mon809_q_part01_inst.mon809_q_part01_inst"}
6	ui.PartyGoZbugName01	优化源-刀波治疗	1	5230012	1603138	1700257	1006	1	1	{1}	{{2,10}}	3	{2,10}	/Game/Characters/Girl_Q/mon809_q/mon809_q_skm.mon809_q_skm	/Game/Blueprints/QQCharacter/mon809_q/ABP_Mon809_q.ABP_Mon809_q	{"/Game/Characters/Girl_Q/mon809_q/mon809_q_body01_inst.mon809_q_body01_inst", "/Game/Characters/Girl_Q/mon809_q/mon809_q_part01_inst.mon809_q_part01_inst"}
7	ui.PartyGoZbugName02	优化源-跑得快	1	5230011	1603138	1700261	1006	1	1	{1}	{{2,9}}	3	{2,9}	/Game/Characters/Girl_Q/mon809_q/mon809_q_skm.mon809_q_skm	/Game/Blueprints/QQCharacter/mon809_q/ABP_Mon809_q.ABP_Mon809_q	{"/Game/Characters/Girl_Q/mon809_q/mon809_q_body01_inst.mon809_q_body01_inst", "/Game/Characters/Girl_Q/mon809_q/mon809_q_part01_inst.mon809_q_part01_inst"}
8	[debug]伪装漏洞	[debug]伪装漏洞	1	5230011	1603138	1700261	1007	1	1	{1}	{{2,18}}	3	{2,18}	/Game/Characters/Girl_Q/mon809_q/mon809_q_skm.mon809_q_skm	/Game/Blueprints/QQCharacter/mon809_q/ABP_Mon809_q.ABP_Mon809_q	{"/Game/Characters/Girl_Q/mon809b_q/Materials/mon809b_q_body01_inst.mon809b_q_body01_inst","/Game/Characters/Girl_Q/mon809b_q/Materials/mon809b_q_part01_inst.mon809b_q_part01_inst"}
9	[debug]自爆漏洞	[debug]自爆漏洞	2	1001716	1603139	1700261	1008	1	0	{1,2,4,6}	{{17},{17},{17},{17}}	3	{17}	/Game/Characters/Girl_Q/mon810b_x_q/mon810b_x_q_body01_skm.mon810b_x_q_body01_skm	/Game/Blueprints/QQCharacter/mon809_q/ABP_Mon809_q.ABP_Mon809_q	{"/Game/Characters/Girl_Q/mon810b_x_q/Materials/mon810b_x_q_body01_inst.mon810b_x_q_body01_inst", "/Game/Characters/Girl_Q/mon810b_x_q/Materials/mon810b_x_q_part01_inst.mon810b_x_q_part01_inst"}
