ID	模板ID（0代表人类通用）	模板备注	等级	基础生命值	基础攻击力	基础防御力	基础暴击率	基础暴击伤害	射击最大扩散倍率	射击增加扩散倍率	停止射击扩散恢复倍率	升级所需经验
ID	TemplateID	Comment	Level	Health	Attack	Defence	CRTValue	CRTDamage	MaxScatterRatio	ShootAddScatterRatio	RecoverScatterSpeedRatio	NextLevelExp
1	0	人类通用1级	1	200	100	0	5	50	1	1	1	250
2	0	人类通用2级	2	200	110	0	5	50	1	1	1	300
3	0	人类通用3级	3	200	120	0	5	50	1	1	1	350
4	0	人类通用4级	4	200	130	0	5	50	1	1	1	400
5	0	人类通用5级	5	200	140	0	5	50	1	1	1	450
6	0	人类通用6级	6	200	150	0	5	50	1	1	1	500
7	0	人类通用7级	7	200	160	0	5	50	1	1	1	500
8	0	人类通用8级	8	200	170	0	5	50	1	1	1	500
9	0	人类通用9级	9	200	180	0	5	50	1	1	1	500
10	0	人类通用10级	10	200	190	0	5	50	1	1	1	500
11	0	人类通用11级	11	200	200	0	5	50	1	1	1	500
12	0	人类通用12级	12	200	210	0	5	50	1	1	1	500
13	0	人类通用13级	13	200	220	0	5	50	1	1	1	500
14	0	人类通用14级	14	200	230	0	5	50	1	1	1	500
15	0	人类通用15级	15	200	240	0	5	50	1	1	1	-1
16	1	人类英雄通用1级	1	800	160	0	5	50	1	1	1	250
17	1	人类英雄通用2级	2	800	176	0	5	50	1	1	1	300
18	1	人类英雄通用3级	3	800	192	0	5	50	1	1	1	350
19	1	人类英雄通用4级	4	800	208	0	5	50	1	1	1	400
20	1	人类英雄通用5级	5	800	224	0	5	50	1	1	1	450
21	1	人类英雄通用6级	6	800	240	0	5	50	1	1	1	500
22	1	人类英雄通用7级	7	800	256	0	5	50	1	1	1	500
23	1	人类英雄通用8级	8	800	272	0	5	50	1	1	1	500
24	1	人类英雄通用9级	9	800	288	0	5	50	1	1	1	500
25	1	人类英雄通用10级	10	800	304	0	5	50	1	1	1	500
26	1	人类英雄通用11级	11	800	320	0	5	50	1	1	1	500
27	1	人类英雄通用12级	12	800	336	0	5	50	1	1	1	500
28	1	人类英雄通用13级	13	800	352	0	5	50	1	1	1	500
29	1	人类英雄通用14级	14	800	368	0	5	50	1	1	1	500
30	1	人类英雄通用15级	15	800	384	0	5	50	1	1	1	-1
31	2	挑战模式人类1级	1	2000	100	0	5	50	1	1	1	-1
101	1006	母体1级	1	3960	200	0	5	50	0	0	0	250
102	1006	母体2级	2	4510	200	0	5	50	0	0	0	300
103	1006	母体3级	3	4950	200	0	5	50	0	0	0	350
104	1006	母体4级	4	5280	200	0	5	50	0	0	0	400
105	1006	母体5级	5	5500	200	0	5	50	0	0	0	450
106	1006	母体6级	6	5610	200	0	5	50	0	0	0	500
107	1006	母体7级	7	5720	200	0	5	50	0	0	0	500
108	1006	母体8级	8	5830	200	0	5	50	0	0	0	500
