ID 目前上限18	关卡ID	//备注	图素	关卡类型（不填为普通关卡，1为躲猫猫，2为优化逃脱，3为决战哈姆）	排序	是否开放（1开放，0/不填不开放）	单人练习地图
ID	MapID	Comment	Img	MapType	Sort	Switch	PracticeLevel
1	9602	竞速3	1501140		1	0	
2	9605	竞速6	1501143		2	1	
3	9606	生存7	1501144		3	1	
4	9609	生存10	1501147		4	1	
5	9610	积分11	1501148		5	0	
6	9613	2.7海姆向前冲竞速4	1501220		6	1	
7	9616	2.5海姆向前冲生存5	1501223		7	0	
8	9617	2.5海姆向前冲生存6	1501224		8	0	
9	9618	2.7海姆向前冲生存3	1501225		9	1	
10	9619	2.5海姆向前冲特殊竞速1	1501220		10	1	
11	9620	2.7海姆向前冲特殊生存2	1501226		11	0	
12	9622	2.5海姆向前冲技巧-积分4	1501227		12	1	
13	9627	3.2海姆向前冲冲关赛	1501288		13	0	
14	9628	3.2海姆向前冲冲关赛	1501289		14	1	
15	9629	3.2海姆向前冲冲关赛	1501290		15	0	
16	9630	3.2海姆向前冲冲关赛	1501139		16	1	
17	9626	优化逃脱1	1501287	2	1	1	9635
18	9634	优化逃脱2	1501351	2	2	1	9636
19	9633	决战哈姆1	1501350	3	1	1	
20	9623	躲猫猫1	1501246	1	1	1	
21	9624	躲猫猫2	1501247	1	2	0	
22	9625	躲猫猫3	1501248	1	3	1	
23	9637	躲猫猫4	1501370	1	4	0	
24	9638	躲猫猫5	1501371	1	5	1	
25	9639	躲猫猫6	1501372	1	6	1	
26	9601	竞速2	1501138		17	1	
27	9604	竞速5	1501142		18	1	
28	9611	积分12	1501149		19	1	
