D	//备注	类型 1直接释放 2附着形	玩法类型	所属队伍(0为非队伍专属道具)	是否可设置(0:不可设置, 1:可设置)	躲猫猫绑定的技能按钮索引	是否是一个摇杆释放的道具	摇杆模式下最小发射距离	摇杆模式下道具最大水平释放速度	名字key	图标	描述key	描述中的数值	最大使用次数(-1无限使用)	冷却时间	内置使用CD（仅存储次数道具生效）	道具蓝图	数值参数	数值参数备注	是否自动使用（0:否, 1:是）	最大储存次数	拾取后的初始使用次数	实际使用道具ID
Id	Common	Type	GameType	TeamID	CanEquip	HASModeSlot	IsDragRelease	MaxVerticalSpeed	MaxHorizonSpeed	I18n	Icon	Desc	DescValue	MaxUseCount	CDTime	CDTimeForStoreItem	BP_Path	Param	ParamCommon	isAutoUse	MaxStoreCount	InitUseCount	RealItemID
1	冲刺	1	1	0	0					ui.TxtPartyZbugItem05	5209006	ui.TxtPartyZbugItem05_des		-1	{12}	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_02/Actor/Item/BP_WP_Item_Dash.BP_WP_Item_Dash_C	{600, 10}	{加速数值，持续时间}	0	0	1	
2	炸弹	2	1	0	0					ui.TxtPartyZbugItem03	5209002	ui.TxtPartyZbugItem03_des		1	{0.5}	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_02/Actor/Item/BP_WP_Item_Bomb.BP_WP_Item_Bomb_C			0	0	0	
3	保护罩	1	1	0	0					online.Forbidzone_WeaponName3	5209003	online.Forbidzone_WeaponDesc3		1	{6}	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_02/Actor/Item/BP_WP_Item_Shield.BP_WP_Item_Shield_C	{5}	{持续时间}	1	0	1	
4	飞扑	1	1	0	0					ui.TxtPartyZbugItem04	5209004	ui.TxtPartyZbugItem04_des		-1	{6}	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_02/Actor/Item/BP_WP_Item_Pounce.BP_WP_Item_Pounce_C			0	0	1	
5	躲猫猫冲刺	1	4	0	0	4				ui.TxtPartyZbugItem05	1001370	ui.TxtPartyZbugItem05_des		1	{12}	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_03/Actor/Item/BP_WP_Item_HASDash.BP_WP_Item_HASDash_C	{300, 8}	{加速数值，持续时间}	0	0	1	
6	躲猫猫炸弹	1	4	1	0	2	1	800	1450	ui.TxtPartyZbugItem03	1001367	ui.TxtPartyZbugItem03_des		-1	{5,3}	0.5	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_03/Actor/Item/BP_WP_Item_CatchBomb.BP_WP_Item_CatchBomb_C			0	4	1	
7	躲猫猫变身	1	4	2	0	2				online.Forbidzone_WeaponName2	1001476	online.Forbidzone_WeaponDesc2		-1	{1.5}	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_03/Actor/Item/BP_WP_Item_Transfiguration.BP_WP_Item_Transfiguration_C			0	0	1	
8	躲猫猫诱饵	1	4	2	1	1				partygo_level.HideAndSeek_Skill01_name	1001480	partygo_level.HideAndSeek_Skill01_des	{3}	-1	{5}	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_03/Actor/Item/BP_WP_Item_Bait.BP_WP_Item_Bait_C	{3}	{场上最大存在数量}	0	2	1	
9	躲猫猫感应	1	4	1	1	1				partygo_level.HideAndSeek_Skill04_name	1001478	partygo_level.HideAndSeek_Skill04_des		-1	{8,6}	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_03/Actor/Item/BP_WP_Item_InDuction.BP_WP_Item_InDuction_C	{2,500}	{持续时间}	0	0	0	
