属性名	属性组	属性描述	所属类型(0角色，1武器)	数值类型(0数值型，1百分比)	是否同步	属性最大值	属性最小值
Name	AttrGroup	Desc	AttachType	ValueType	bReplicated	LimitMaxValue	LimitMinValue
HealthAdditionRate	Health	生命值附加百分比	0	1	0	-1	0
HealthAdditionVal	Health	生命值附加固定值	0	0	0	-1	0
Health	Health	生命值	0	0	1	-1	0
CurHealth	Health	当前生命值	0	0	1	-1	0
AttackAdditionRate	Attack	攻击力附加百分比	0	1	0	-1	0
Attack	Attack	攻击力	0	0	0	-1	0
DefenceAdditionRate	Defence	防御力附加百分比	0	1	0	-1	0
Defence	Defence	防御力	0	0	0	-1	0
DamageAdditionRate	DmgAdd	伤害加成	0	1	1	-1	0
FinalDamageBonus	FDB	最终伤害加成	0	1	0	-1	0
DamageTakeMultiplier	DTM	受到伤害倍率	0	1	0	-1	0
DamageReduceRate	DRR	免伤率	0	1	0	80	0
DamageCoefficient	DMGCoefficient	伤害系数	0	1	0	-1	0
FixedDamage	FixDMG	伤害固定值	0	0	0	-1	0
ReduceSkillCD	Skill	冷却缩减	0	1	0	-1	0
SkillStoreCount	Skill	技能额外堆叠次数	0	0	0	-1	0
MaxScatterRatio	ScatterRatio	射击最大扩散倍率	0	0	0	-1	0
ShootAddScatterRatio	ScatterRatio	射击增加扩散倍率	0	0	0	-1	0
RecoverScatterSpeedRatio	ScatterRatio	停止射击扩散恢复倍率	0	0	0	-1	0
MeleeAtkRange	MeleeWeapon	近战武器长度	0	0	1	-1	0
MeleeAtkRangeAddRate	MeleeWeapon	近战武器长度附加百分比	0	1	1	-1	0
MeleeAtkSpeed	MeleeWeapon	近战武器攻速	0	0	1	-1	0
MeleeAtkSpeedBonus	MeleeWeapon	近战武器攻速百分比	0	1	1	-1	0
OutFightAddHpBonus	OutFight	脱战额外回血比例	0	1	0	-1	0
SkillPower	Power	当前技能能量	0	0	1	-1	0
SkillPowerMax	Power	技能能量最大值	0	0	1	-1	0
SkillPowerShootAdditionRate	Power	技能能量射击获取提升倍率	0	1	0	-1	0
SkillPowerNormalAdditionRate	Power	技能能量自然获取提升倍率	0	1	0	-1	0
MoveSpeedBonus	Speed	移速加成	0	1	1	-1	0
MaxSpeedSlowDownPercent	Speed	最大减速效果百分比	0	1	1	100	0
PenetrationCount	Penetration	子弹穿透数	0	0	1	-1	0
PenetrationMultiplier	Penetration	子弹穿透伤害倍率	0	1	1	-1	0
ExpBonus	Exp	经验值额外加成	0	1	0	-1	0
JumpBonus	Jump	跳跃高度加成	0	1	0	-1	0
WeaponAttack	WAttack	武器攻击力	1	0	0	-1	0
ShootSpeed	ShootSpeed	射击速度	1	0	1	-1	0
ShootSpeedBonus	ShootSpeed	射击速度附加百分比	1	1	0	-1	0
ShootSpeedBonusByChar	ShootSpeed	射速提升百分比（角色身上）	0	1	1	-1	0
MagazineCapacity	MagCapacity	弹匣容量	1	0	1	-1	0
MagazineCapacityBonus	MagCapacity	弹匣容量加成百分比	1	1	0	-1	0
ReloadSpeed	ReloadSpeed	换弹速度	1	0	1	-1	0
ReloadSpeedBonus	ReloadSpeed	换弹速度加成百分比	1	1	0	-1	0
ReloadSpeedBonusByChar	ReloadSpeed	换弹速度加成百分比（角色身上）	0	1	0	-1	0
WeaponFitRate	WeaponFitRate	武器适配率	1	1	0	-1	0
StandardShootRange	ShootRange	标准射程	1	0	1	-1	0
ReduceShootRange	ShootRange	衰减射程	1	0	1	-1	0
ExtremeShootRange	ShootRange	极限射程	1	0	1	-1	0
CRTValue	CRTValue	暴击率	1	1	1	-1	0
CRTValueFormChar	CRTValue	角色暴击率	0	1	0	-1	0
CRTDamage	CRTDmg	暴击伤害	1	1	1	-1	0
CRTDamageFromChar	CRTDmg	角色爆伤	0	1	0	-1	0
ShootAddSkillPower	Power	射击回能	1	0	0	-1	0
WeaponPenetrationCount	Penetration	武器默认穿透数	1	0	1	-1	0
WeaponDmgAdditionRate	DmgAdd	武器伤害加成	1	1	1	-1	0
