ID	节点1	节点2	节点3	节点4	节点5	节点6	节点7	节点8	节点9	节点10	节点11	节点12	节点13	节点14	节点15	节点16	节点17	节点18	节点19	节点20	节点21	节点22	节点23	节点24	节点25	节点26	节点27	节点28	节点29	节点30	节点31	节点32	节点33	节点34	节点35	节点36	节点37	节点38	节点39	节点40	节点41	节点42	节点43	节点44	节点45	节点46	节点47	节点48	节点49	节点50	节点51	节点52	节点53	节点54	节点55	节点56	节点57	节点58	节点59	节点60
ID	Node1	Node2	Node3	Node4	Node5	Node6	Node7	Node8	Node9	Node10	Node11	Node12	Node13	Node14	Node15	Node16	Node17	Node18	Node19	Node20	Node21	Node22	Node23	Node24	Node25	Node26	Node27	Node28	Node29	Node30	Node31	Node32	Node33	Node34	Node35	Node36	Node37	Node38	Node39	Node40	Node41	Node42	Node43	Node44	Node45	Node46	Node47	Node48	Node49	Node50	Node51	Node52	Node53	Node54	Node55	Node56	Node57	Node58	Node59	Node60
1	1	1	0	1	0	1	-1	0	2	0	-1	0	1	0	2	0	0	-2	0	1	1	0	-1	1	0	-1	1	1	0	1	0	1	0	0	-2	0	1	0	1	0	-1	0	1	0	1	0	0	1	-1	0	1	0	0	1	0	0	1	2	0	1
2	1	1	2	1	0	1	-1	0	1	1	0	0	2	-1	-1	2	0	0	0	1	1	0	0	2	0	0	0	1	1	-1	0	2	-1	1	2	0	-1	0	-1	0	-1	0	1	0	0	0	0	-1	-1	1	2	-1	0	0	1	1	0	0	1	1
3	0	0	1	0	2	0	-1	-1	-1	1	0	-1	1	0	1	-1	1	0	-1	0	-1	0	2	1	-1	1	0	0	2	-1	0	2	1	0	-1	2	1	-1	0	1	1	0	0	1	0	1	0	0	1	0	-1	0	-1	0	0	0	2	1	1	1
4	0	1	2	0	0	1	-1	0	1	1	-1	0	0	1	1	0	1	0	1	-1	0	-1	-1	-1	1	1	1	-1	0	2	-1	0	1	1	1	0	-1	1	1	0	-1	2	0	1	-1	-1	0	0	-1	1	0	1	-1	0	0	0	0	2	1	1
5	0	1	2	0	-1	0	1	1	0	1	1	0	1	-1	0	0	1	0	-1	1	1	-1	0	0	0	1	0	-1	-1	0	-1	-1	0	2	0	2	1	0	0	1	0	1	-1	0	-1	2	-1	1	0	0	2	1	0	-1	1	0	0	1	0	1
6	1	1	0	2	-1	1	1	0	-1	2	0	1	1	-1	1	1	0	0	-1	0	-1	2	0	1	-1	0	1	-1	0	1	1	-1	0	1	2	-1	2	-1	0	1	-1	1	0	0	1	-1	-1	1	1	1	-1	1	1	0	1	0	0	0	1	1
7	1	1	1	1	1	0	1	1	0	1	1	-1	0	-1	1	0	-1	0	1	-1	2	1	-1	2	1	-1	2	0	0	1	2	-1	0	-1	2	-1	1	1	0	-1	1	0	-1	0	1	0	1	0	1	-1	0	0	-1	1	1	0	0	0	1	1
8	0	2	2	1	1	1	-1	2	0	1	0	0	-1	0	0	2	1	0	-1	0	1	0	0	1	-1	0	1	2	0	1	-1	0	-1	1	1	-1	-1	0	-1	-1	1	2	1	-1	1	1	0	-1	1	2	1	1	0	-1	0	1	1	-1	1	1
9	2	1	1	0	0	0	1	0	1	0	0	-1	2	1	1	1	0	0	1	0	1	-1	2	-1	-1	2	-1	-1	1	1	0	1	0	1	-1	2	-1	1	0	1	2	0	-1	-1	0	0	-1	-1	0	1	0	1	1	0	1	-1	0	0	1	1
