字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	H猫汐尔	Play_Mo_girl012_thinking01_059	无法摆脱的轮回……	0	
page0.2	H主角		猫汐尔又在感叹什么呢?	0	
page0.3	H猫汐尔		海姆达尔部队就像是公司的扫地机器人一样，不停地在零区执行着清理工作喵。	0	
page0.4	H主角		虽然事实确实如此，不过用扫地机器人来比喻，多少有些不太恰当吧……	0	
page0.5	H猫汐尔		那电热水壶呢？	0	
page0.6	H主角		不…这次的比喻与其说是不恰当，不如说是不礼貌了……	0	
page0.7	H主角		不过话说回来，最近一段时间大家的压力确实有些大……	0	
page0.8	H猫汐尔		那要去放松一下吗？	0	
page0.9	H主角		哦，可以啊。	0	
page0.10	H主角		正好下午有场新电影上映，听说还挺有趣的，可以去看看。	0	
page0.11	H猫汐尔		唔……比起看电影，我觉得还是去零区收集污染物标本更有趣喵。	0	
page0.12	H猫汐尔		分析员要一起去吗？	0	
page0.13	H主角		去零区收集标本啊……等等，怎么感觉又绕回去了……	0	
