ID	未解锁时对话	解锁所需道具	备注	解锁后对话
ID	LockTalkID	UnlockItemID	Comment	UnlockTalkID
1	{1101,1102,1103,1104}	{7,1}		{1201,1202,1203}
2	{2101,2102,2103,2104,2105}	{8,1}		{2201,2202,2203,2204,2205}
3	{3101,3102,3103,3104}	{9,1}		{3201,3202,3203,3204}
4	{1101,1102,1103,1104}			
5	{2101,2102,2103,2104,2105}			
6	{3101,3102,3103,3104}			
7	{1101,1102,1103,1104}			
8	{2101,2102,2103,2104,2105}			
9	{3101,3102,3103,3104}			
11	{4101,4102,4103,4104,4105,4106,4107,4108,4109}			
12	{5101,5102,5103,5104,5105,5106,5107,5108,5109,5110}			
13	{6101,6102,6103,6104,6105,6106,6107,6108,6109}			
14	{7101,7102,7103,7104,7105,7106,7107,7108,7109,7110,7111}			
15	{8101,8102,8103,8104,8105,8106,8107,8108,8109}			
16	{9101,9102,9103,9104,9105,9106}			
