赛季ID	地图ID	连线ID	位置	解锁条件(cash)	初始状态（0隐藏 1可见）	显示所需道具（藏宝图）	主线支线（1主线 2支线）
JourneyID	PeriodsID	ID	Position	UnlockCondition	DisplayStatus	ShowCondition	LineType
2	1	1	1	{{31,1}}	1		1
2	1	2	2	{{32,1},{36,1}}	1		1
2	1	3	3	{{31,1},{35,1},{37,1}}	1		1
2	1	4	4	{{31,1},{32,1},{33,1}}	1		1
2	1	5	5	{{35,1},{36,1},{37,1}}	1		1
2	1	6	6	{{31,1},{35,1},{37,1}}	1		1
2	1	7	7	{{33,1},{35,1},{36,1}}	1		1
2	1	8	8	{{33,1},{34,1},{36,1}}	1		1
2	1	9	9	{{31,1},{32,1},{33,1}}	1		1
2	1	10	10	{{32,1},{34,1},{37,1}}	1		1
2	1	11	11	{{33,1},{35,1},{37,1}}	1		1
2	1	12	12	{{32,1},{34,1},{35,1}}	1		1
2	1	13	13	{{32,1},{33,1},{36,1}}	1		1
2	1	14	14	{{32,1},{33,1},{34,1}}	1		1
2	1	15	15	{{31,1},{32,1},{36,1}}	1		1
2	1	16	16	{{31,1},{34,1},{36,1}}	1		1
2	1	17	17	{{33,1},{35,1},{36,1}}	1		1
2	1	18	18	{{31,1},{34,1},{35,1}}	1		1
2	1	19	19	{{35,1},{36,1},{37,1}}	1		1
2	1	20	20	{{33,1},{34,1},{35,1}}	1		1
2	1	21	21	{{31,1},{33,1},{37,1}}	1		1
2	1	22	22	{{33,1},{34,1},{37,1}}	1		1
2	1	23	23	{{31,1},{36,1},{37,1}}	1		1
2	1	24	24	{{32,1},{34,1},{35,1}}	1		1
2	1	25	25	{{33,1},{36,1},{37,1}}	1		1
2	1	26	26	{{32,1},{34,1},{37,1}}	1		1
2	1	27	27	{{32,1},{36,1},{37,1}}	1		1
2	1	28	28	{{33,1},{34,1},{35,1}}	1		1
2	1	29	29	{{31,1},{32,1},{33,1}}	1		1
2	1	30	30	{{34,1},{35,1},{36,1}}	1		2
2	1	31	31	{{31,1},{33,1},{37,1}}	1		2
2	1	32	32	{{31,1},{33,1},{35,1}}	1		2
2	1	33	33	{{32,1},{33,1},{37,1}}	1		2
2	1	34	34	{{32,1},{36,1},{37,1}}	1		2
2	1	35	35	{{31,1},{36,1},{37,1}}	1		2
2	1	36	36	{{32,1},{35,1},{36,1}}	1		2
2	1	37	37	{{31,1},{32,1},{35,1}}	1		2
2	1	38	38	{{31,1},{36,1},{37,1}}	1		2
2	1	39	39	{{33,1},{34,1},{36,1}}	1		2
2	1	40	40	{{31,1},{32,1},{36,1}}	1		2
2	1	41	41	{{32,1},{34,1},{37,1}}	0	{1,2,3}	2
2	1	42	42	{{32,1},{33,1},{34,1}}	1		2
2	1	43	43	{{32,1},{34,1},{35,1}}	1		2
2	1	44	44	{{34,1},{36,1},{37,1}}	1		2
2	1	45	45	{{31,1},{34,1},{37,1}}	1		2
2	1	46	46	{{31,1},{35,1},{36,1}}	1		2
2	1	47	47	{{33,1},{34,1},{36,1}}	1		2
2	1	48	48	{{31,1},{32,1},{35,1}}	1		2
2	1	49	49	{{33,1},{34,1},{35,1}}	1		2
2	1	50	50	{{31,1},{32,1},{35,1}}	0	{4,5,6}	2
2	1	51	51	{{34,1},{35,1},{37,1}}	1		2
3	2	1	1	{{31,1}}	1		1
3	2	2	2	{{32,1}}	1		1
3	2	3	3	{{37,1}}	1		1
3	2	4	4	{{37,1}}	1		1
3	2	5	5	{{35,1},{37,1}}	1		1
3	2	6	6	{{34,1},{35,1}}	1		1
3	2	7	7	{{32,1},{36,1}}	1		1
3	2	8	8	{{33,1},{34,1}}	1		1
3	2	9	9	{{31,1},{32,1}}	1		1
3	2	10	10	{{31,1},{36,1}}	1		1
3	2	11	11	{{33,1},{35,1}}	1		1
3	2	12	12	{{34,1},{35,1}}	1		1
3	2	13	13	{{36,1},{37,1}}	1		1
3	2	14	14	{{33,1},{35,1}}	1		1
3	2	15	15	{{31,1},{37,1}}	1		1
3	2	16	16	{{33,1},{34,1}}	1		1
3	2	17	17	{{31,1},{36,1}}	1		1
3	2	18	18	{{32,1},{35,1}}	1		1
3	2	19	19	{{35,1}}	1		2
3	2	20	20	{{36,1},{37,1}}	1		2
3	2	21	21	{{32,1}}	1		2
3	2	22	22	{{32,1},{34,1}}	1		2
3	2	23	23	{{36,1},{37,1}}	1		2
3	2	24	24	{{33,1},{34,1}}	1		2
3	2	25	25	{{31,1},{33,1}}	1		2
3	2	26	26	{{34,1},{35,1}}	1		2
3	2	27	27	{{33,1},{37,1}}	1		2
3	2	28	28	{{31,1},{35,1}}	1		2
3	2	29	29	{{32,1},{33,1}}	1		2
3	2	30	30	{{32,1},{37,1}}	1		2
3	2	31	31	{{31,1},{36,1}}	1		2
3	2	32	32	{{35,1},{36,1}}	0	{1,2,3}	2
3	2	33	33	{{31,1},{32,1}}	1		2
3	2	34	34	{{31,1},{37,1}}	1		2
3	2	35	35	{{33,1},{34,1}}	1		2
3	2	36	36	{{32,1},{36,1}}	1		2
3	2	37	37	{{34,1},{37,1}}	1		2
3	2	38	38	{{32,1},{33,1}}	1		2
3	2	39	39	{{32,1},{35,1}}	1		2
3	2	40	40	{{34,1},{36,1}}	1		2
3	2	41	41	{{31,1},{37,1}}	1		2
3	2	42	42	{{31,1},{35,1}}	1		2
3	2	43	43	{{33,1},{36,1}}	1		2
3	2	44	44	{{32,1},{35,1}}	1		2
3	2	45	45	{{33,1},{34,1}}	1		2
3	3	201	1	{{36,1}}	1		1
3	3	202	2	{{33,1}}	1		1
3	3	203	3	{{31,1}}	1		1
3	3	204	4	{{33,1}}	1		1
3	3	205	5	{{32,1},{35,1}}	1		1
3	3	206	6	{{35,1},{37,1}}	1		1
3	3	207	7	{{31,1},{37,1}}	1		1
3	3	208	8	{{33,1},{34,1}}	1		1
3	3	209	9	{{32,1},{36,1}}	1		1
3	3	210	10	{{35,1},{37,1}}	1		1
3	3	211	11	{{32,1},{36,1}}	1		1
3	3	212	12	{{31,1},{33,1}}	1		1
3	3	213	13	{{35,1},{37,1}}	1		1
3	3	214	14	{{31,1},{36,1}}	1		1
