id	备注	奖池id	显示位置	奖品	可抽取次数	概率	高级物品（抽到后解锁下个奖池）
ID	Comment	PoolId	Position	Item	Counts	Weight	IsRare
1	武器up券*1	1	1	{5,21,2,5,1}	5	300	1
2	体力药水*1	1	2	{4,2,1,4,1}	2	300	
3	碳原子板*1	1	3	{5,5,1,4,1}	1	200	
4	无限代币*2	1	4	{5,29,3,1,2}	20	1600	
5	强化套件4*1	1	5	{5,2,1,4,1}	3	300	
6	单极纤维*1	1	6	{5,5,1,3,1}	2	300	
7	芳烃塑料*1	1	7	{5,5,1,2,1}	10	900	
8	合成颗粒*1	1	8	{5,5,1,1,1}	15	1200	
9	强化套件3*1	1	9	{5,2,1,3,1}	10	900	
10	通用银*500	1	10	{4,3,1,1,500}	60	4000	
11	名片-空白梦魇*1	2	1	{13,1,12,1,1}	1	300	1
12	体力药水*1	2	2	{4,2,1,4,1}	2	300	
13	碳原子板*1	2	3	{5,5,1,4,1}	1	200	
14	无限代币*2	2	4	{5,29,3,1,2}	20	1600	
15	强化套件4*1	2	5	{5,2,1,4,1}	3	300	
16	单极纤维*1	2	6	{5,5,1,3,1}	2	300	
17	芳烃塑料*1	2	7	{5,5,1,2,1}	10	900	
18	合成颗粒*1	2	8	{5,5,1,1,1}	15	1200	
19	强化套件3*1	2	9	{5,2,1,3,1}	10	900	
20	通用银*500	2	10	{4,3,1,1,500}	60	4000	
21	数据金*50	3	1	{4,3,2,1,50}	4	300	1
22	体力药水*1	3	2	{4,2,1,4,1}	2	300	
23	重修申请*1	3	3	{5,6,1,2,1}	5	200	
24	无限代币*2	3	4	{5,29,3,1,2}	20	1600	
25	强化套件4*1	3	5	{5,2,1,4,1}	3	300	
26	单极纤维*1	3	6	{5,5,1,3,1}	2	300	
27	芳烃塑料*1	3	7	{5,5,1,2,1}	10	900	
28	合成颗粒*1	3	8	{5,5,1,1,1}	15	1200	
29	强化套件3*1	3	9	{5,2,1,3,1}	10	900	
30	通用银*500	3	10	{4,3,1,1,500}	60	4000	
31	家具币*1	4	4	{4,1,6,5,1}	-1	2800	
32	无限代币*1	4	5	{5,29,3,1,1}	-1	2800	
33	芳烃塑料*1	4	6	{5,5,1,2,1}	-1	200	
34	强化套件4*1	4	7	{5,2,1,4,1}	-1	200	
35	合成颗粒*1	4	8	{5,5,1,1,1}	-1	500	
36	强化套件3*1	4	9	{5,2,1,3,1}	-1	700	
37	通用银*350	4	10	{4,3,1,1,350}	-1	2800	
							
38	武器up券*1	5	1	{5,21,2,5,1}	5	300	1
39	体力药水*1	5	2	{4,2,1,4,1}	2	300	
40	碳原子板*1	5	3	{5,5,1,4,1}	1	200	
41	无限代币*2	5	4	{5,29,3,1,2}	20	1600	
42	强化套件4*1	5	5	{5,2,1,4,1}	3	300	
43	单极纤维*1	5	6	{5,5,1,3,1}	2	300	
44	芳烃塑料*1	5	7	{5,5,1,2,1}	10	900	
45	合成颗粒*1	5	8	{5,5,1,1,1}	15	1200	
46	强化套件3*1	5	9	{5,2,1,3,1}	10	900	
47	通用银*500	5	10	{4,3,1,1,500}	60	4000	
48	名片-空白梦魇*1	6	1	{13,1,12,1,1}	1	300	1
49	体力药水*1	6	2	{4,2,1,4,1}	2	300	
50	碳原子板*1	6	3	{5,5,1,4,1}	1	200	
51	无限代币*2	6	4	{5,29,3,1,2}	20	1600	
52	强化套件4*1	6	5	{5,2,1,4,1}	3	300	
53	单极纤维*1	6	6	{5,5,1,3,1}	2	300	
54	芳烃塑料*1	6	7	{5,5,1,2,1}	10	900	
55	合成颗粒*1	6	8	{5,5,1,1,1}	15	1200	
56	强化套件3*1	6	9	{5,2,1,3,1}	10	900	
57	通用银*500	6	10	{4,3,1,1,500}	60	4000	
58	数据金*50	7	1	{4,3,2,1,50}	4	300	1
59	体力药水*1	7	2	{4,2,1,4,1}	2	300	
60	重修申请*1	7	3	{5,6,1,2,1}	5	200	
61	无限代币*2	7	4	{5,29,3,1,2}	20	1600	
62	强化套件4*1	7	5	{5,2,1,4,1}	3	300	
63	单极纤维*1	7	6	{5,5,1,3,1}	2	300	
64	芳烃塑料*1	7	7	{5,5,1,2,1}	10	900	
65	合成颗粒*1	7	8	{5,5,1,1,1}	15	1200	
66	强化套件3*1	7	9	{5,2,1,3,1}	10	900	
67	通用银*500	7	10	{4,3,1,1,500}	60	4000	
68	家具币*1	8	4	{4,1,6,5,1}	-1	2800	
69	无限代币*1	8	5	{5,29,3,1,1}	-1	2800	
70	芳烃塑料*1	8	6	{5,5,1,2,1}	-1	200	
71	强化套件4*1	8	7	{5,2,1,4,1}	-1	200	
72	合成颗粒*1	8	8	{5,5,1,1,1}	-1	500	
73	强化套件3*1	8	9	{5,2,1,3,1}	-1	700	
74	通用银*350	8	10	{4,3,1,1,350}	-1	2800	
