ID	类型（1.伤害量 2.治疗量 3.常规技释放次数 4.奥义技释放次数 5.承受伤害量 6.最大伤害）	档位	数值条件	比较方式（1大于 2小于等于）	图标	数据描述	随机权重
ID	Type	Hierarchy	Num	condition	icon	Des	weight
1	1	4	10000000	1	1004080	online.DesignationDes1	1000
2	1	3	1000000	1	1004080	online.DesignationDes1	500
3	1	2	100000	1	1004080	online.DesignationDes1	100
4	1	1	1	1	1004080	online.DesignationDes1	10
5	2	3	100000	1	1004082	online.DesignationDes2	500
6	2	2	10000	1	1004082	online.DesignationDes2	100
7	2	1	1	1	1004082	online.DesignationDes2	10
8	3	3	100	1	1004081	online.DesignationDes3	500
9	3	2	20	1	1004081	online.DesignationDes3	100
10	3	1	1	1	1004081	online.DesignationDes3	10
11	4	3	30	1	1004081	online.DesignationDes4	500
12	4	2	6	1	1004081	online.DesignationDes4	100
13	4	1	1	1	1004081	online.DesignationDes4	10
14	5	3	100000	1	1004082	online.DesignationDes5	500
15	5	2	20000	1	1004082	online.DesignationDes5	100
16	5	1	1	1	1004082	online.DesignationDes5	10
17	6	3	100000	1	1004080	online.DesignationDes6	500
18	6	2	50000	1	1004080	online.DesignationDes6	100
19	6	1	10000	1	1004080	online.DesignationDes6	10
