序列ID	模式类型（1常规无尽 2赛季模式）	关卡ID（赛季对应关卡）	//关卡备注	波次id	数值模板	等级	buff
SubID	TypeID	LevelID	Comment	ID	Strength	Level	Skill
1	1			1	16		{7013012,1}
2	1			2	16		{7013012,2}
3	1			3	16		{7013012,3}
4	1			4	16		{7013012,4}
5	1			5	16		{7013012,5}
6	1			6	16		{7013012,6}
7	1			7	16		{7013012,7}
8	1			8	16		{7013012,8}
9	1			9	16		{7013012,9}
10	1			10	16		{7013012,10}
11	1			11	16		{7013012,11}
12	1			12	16		{7013012,12}
13	1			13	16		{7013012,13}
14	1			14	16		{7013012,14}
15	1			15	16		{7013012,15}
16	1			16	16		{7013012,16}
17	1			17	16		{7013012,17}
18	1			18	16		{7013012,18}
19	1			19	16		{7013012,19}
20	1			20	16		{7013012,20}
21	1			21	16		{7013012,21}
22	1			22	16		{7013012,22}
23	1			23	16		{7013012,23}
24	1			24	16		{7013012,24}
25	1			25	16		{7013012,25}
26	1			26	16		{7013012,26}
27	1			27	16		{7013012,27}
28	1			28	16		{7013012,28}
29	1			29	16		{7013012,29}
30	1			30	16		{7013012,30}
31	1			31	16		{7013012,31}
32	1			32	16		{7013012,32}
33	1			33	16		{7013012,33}
34	1			34	16		{7013012,34}
35	1			35	16		{7013012,35}
36	1			36	16		{7013012,36}
37	1			37	16		{7013012,37}
38	1			38	16		{7013012,38}
39	1			39	16		{7013012,39}
40	1			40	16		{7013012,40}
41	1			41	16		{7013012,41}
42	1			42	16		{7013012,42}
43	1			43	16		{7013012,43}
44	1			44	16		{7013012,44}
45	1			45	16		{7013012,45}
46	1			46	16		{7013012,46}
47	1			47	16		{7013012,47}
48	1			48	16		{7013012,48}
49	1			49	16		{7013012,49}
50	1			50	16		{7013012,50}
51	1			-1	16		{7013013,1}
52	2	1	小怪浪潮-特异优势关	1	16	140	{7013012,12}
53	2	1	小怪浪潮-特异优势关	2	16	140	{7013012,14}
54	2	1	小怪浪潮-特异优势关	3	16	140	{7013012,16}
55	2	1	小怪浪潮-特异优势关	4	16	140	{7013012,18}
56	2	1	小怪浪潮-特异优势关	5	16	140	{7013012,20}
57	2	1	小怪浪潮-特异优势关	6	16	140	{7013012,22}
58	2	1	小怪浪潮-特异优势关	7	16	140	{7013012,24}
59	2	1	小怪浪潮-特异优势关	8	16	140	{7013012,26}
60	2	1	小怪浪潮-特异优势关	9	16	140	{7013012,28}
61	2	1	小怪浪潮-特异优势关	10	16	140	{7013012,28}
62	2	1	小怪浪潮-特异优势关	11	16	140	{7013012,29}
63	2	1	小怪浪潮-特异优势关	12	16	140	{7013012,31}
64	2	1	小怪浪潮-特异优势关	13	16	140	{7013012,31}
65	2	1	小怪浪潮-特异优势关	14	16	140	{7013012,32}
66	2	1	小怪浪潮-特异优势关	15	16	140	{7013012,34}
67	2	1	小怪浪潮-特异优势关	16	16	140	{7013012,33}
68	2	1	小怪浪潮-特异优势关	17	16	140	{7013012,34}
69	2	1	小怪浪潮-特异优势关	18	16	140	{7013012,35}
70	2	1	小怪浪潮-特异优势关	19	16	140	{7013012,34}
71	2	1	小怪浪潮-特异优势关	20	16	140	{7013012,35}
72	2	1	小怪浪潮-特异优势关	21	16	140	{7013012,36}
73	2	1	小怪浪潮-特异优势关	22	16	140	{7013012,35}
74	2	1	小怪浪潮-特异优势关	23	16	140	{7013012,36}
75	2	1	小怪浪潮-特异优势关	24	16	140	{7013012,37}
76	2	1	小怪浪潮-特异优势关	25	16	140	{7013012,36}
77	2	1	小怪浪潮-特异优势关	26	16	140	{7013012,37}
78	2	1	小怪浪潮-特异优势关	27	16	140	{7013012,38}
79	2	1	小怪浪潮-特异优势关	28	16	140	{7013012,37}
80	2	1	小怪浪潮-特异优势关	29	16	140	{7013012,38}
81	2	1	小怪浪潮-特异优势关	30	16	140	{7013012,40}
82	2	1	小怪浪潮-特异优势关	31	16	140	{7013012,40}
83	2	1	小怪浪潮-特异优势关	32	16	140	{7013012,40}
84	2	1	小怪浪潮-特异优势关	33	16	140	{7013012,42}
85	2	1	小怪浪潮-特异优势关	34	16	140	{7013012,41}
86	2	1	小怪浪潮-特异优势关	35	16	140	{7013012,41}
87	2	1	小怪浪潮-特异优势关	36	16	140	{7013012,43}
88	2	1	小怪浪潮-特异优势关	37	16	140	{7013012,42}
89	2	1	小怪浪潮-特异优势关	38	16	140	{7013012,42}
90	2	1	小怪浪潮-特异优势关	39	16	140	{7013012,44}
91	2	1	小怪浪潮-特异优势关	40	16	140	{7013012,43}
92	2	1	小怪浪潮-特异优势关	41	16	140	{7013012,43}
93	2	1	小怪浪潮-特异优势关	42	16	140	{7013012,45}
94	2	1	小怪浪潮-特异优势关	43	16	140	{7013012,44}
95	2	1	小怪浪潮-特异优势关	44	16	140	{7013012,45}
96	2	1	小怪浪潮-特异优势关	45	16	140	{7013012,46}
97	2	1	小怪浪潮-特异优势关	46	16	140	{7013012,47}
98	2	1	小怪浪潮-特异优势关	47	16	140	{7013012,48}
99	2	1	小怪浪潮-特异优势关	48	16	140	{7013012,49}
100	2	1	小怪浪潮-特异优势关	49	16	140	{7013012,51}
101	2	1	小怪浪潮-特异优势关	50	16	140	{7013012,53}
102	2	1	小怪浪潮-特异优势关	-1	16	140	{7013012,55}
103	2	2	小怪浪潮-电击优势关	1	16	140	{7013012,12}
104	2	2	小怪浪潮-电击优势关	2	16	140	{7013012,14}
105	2	2	小怪浪潮-电击优势关	3	16	140	{7013012,16}
106	2	2	小怪浪潮-电击优势关	4	16	140	{7013012,18}
107	2	2	小怪浪潮-电击优势关	5	16	140	{7013012,20}
108	2	2	小怪浪潮-电击优势关	6	16	140	{7013012,22}
109	2	2	小怪浪潮-电击优势关	7	16	140	{7013012,24}
110	2	2	小怪浪潮-电击优势关	8	16	140	{7013012,26}
111	2	2	小怪浪潮-电击优势关	9	16	140	{7013012,28}
112	2	2	小怪浪潮-电击优势关	10	16	140	{7013012,28}
113	2	2	小怪浪潮-电击优势关	11	16	140	{7013012,29}
114	2	2	小怪浪潮-电击优势关	12	16	140	{7013012,31}
115	2	2	小怪浪潮-电击优势关	13	16	140	{7013012,31}
116	2	2	小怪浪潮-电击优势关	14	16	140	{7013012,32}
117	2	2	小怪浪潮-电击优势关	15	16	140	{7013012,34}
118	2	2	小怪浪潮-电击优势关	16	16	140	{7013012,33}
119	2	2	小怪浪潮-电击优势关	17	16	140	{7013012,34}
120	2	2	小怪浪潮-电击优势关	18	16	140	{7013012,35}
121	2	2	小怪浪潮-电击优势关	19	16	140	{7013012,34}
122	2	2	小怪浪潮-电击优势关	20	16	140	{7013012,35}
123	2	2	小怪浪潮-电击优势关	21	16	140	{7013012,36}
124	2	2	小怪浪潮-电击优势关	22	16	140	{7013012,35}
125	2	2	小怪浪潮-电击优势关	23	16	140	{7013012,36}
126	2	2	小怪浪潮-电击优势关	24	16	140	{7013012,37}
127	2	2	小怪浪潮-电击优势关	25	16	140	{7013012,36}
128	2	2	小怪浪潮-电击优势关	26	16	140	{7013012,37}
129	2	2	小怪浪潮-电击优势关	27	16	140	{7013012,38}
130	2	2	小怪浪潮-电击优势关	28	16	140	{7013012,37}
131	2	2	小怪浪潮-电击优势关	29	16	140	{7013012,38}
132	2	2	小怪浪潮-电击优势关	30	16	140	{7013012,40}
133	2	2	小怪浪潮-电击优势关	31	16	140	{7013012,40}
134	2	2	小怪浪潮-电击优势关	32	16	140	{7013012,40}
135	2	2	小怪浪潮-电击优势关	33	16	140	{7013012,42}
136	2	2	小怪浪潮-电击优势关	34	16	140	{7013012,41}
137	2	2	小怪浪潮-电击优势关	35	16	140	{7013012,41}
138	2	2	小怪浪潮-电击优势关	36	16	140	{7013012,43}
139	2	2	小怪浪潮-电击优势关	37	16	140	{7013012,42}
140	2	2	小怪浪潮-电击优势关	38	16	140	{7013012,42}
141	2	2	小怪浪潮-电击优势关	39	16	140	{7013012,44}
142	2	2	小怪浪潮-电击优势关	40	16	140	{7013012,43}
143	2	2	小怪浪潮-电击优势关	41	16	140	{7013012,43}
144	2	2	小怪浪潮-电击优势关	42	16	140	{7013012,45}
145	2	2	小怪浪潮-电击优势关	43	16	140	{7013012,44}
146	2	2	小怪浪潮-电击优势关	44	16	140	{7013012,45}
147	2	2	小怪浪潮-电击优势关	45	16	140	{7013012,46}
148	2	2	小怪浪潮-电击优势关	46	16	140	{7013012,47}
149	2	2	小怪浪潮-电击优势关	47	16	140	{7013012,48}
