活动ID(期数)	等级	需要经验	奖励	高级奖励标识
ID	Level	NeedExp	AwardList	IsRare
1	1	1000		
1	2	1000	{4,3,1,1,6000}	
1	3	1000	{5,5,1,1,5}	
1	4	1000	{5,21,2,5,1}	
1	5	1000	{4,3,2,1,30}	
1	6	1000	{4,3,1,1,6000}	
1	7	1000	{5,5,1,1,5}	
1	8	1000	{5,5,1,2,3}	
1	9	1000	{4,3,2,1,30}	
1	10	1100	{9,2,31,1,1}	1
1	11	1100	{4,3,1,1,6000}	
1	12	1100	{5,5,1,1,6}	
1	13	1100	{4,3,2,1,30}	
1	14	1100	{5,5,1,3,3}	
1	15	1100	{5,21,2,5,1}	
1	16	1100	{4,3,1,1,6000}	
1	17	1100	{4,3,2,1,30}	
1	18	1100	{5,5,1,1,6}	
1	19	1100	{5,5,1,2,3}	
1	20	1200	{13,1,10,1,1}	1
1	21	1200	{4,3,2,1,30}	
1	22	1200	{4,3,1,1,8000}	
1	23	1200	{5,5,1,1,6}	
1	24	1200	{5,5,1,2,3}	
1	25	1200	{4,3,2,1,30}	
1	26	1200	{4,3,1,1,8000}	
1	27	1200	{5,5,1,1,6}	
1	28	1200	{5,5,1,3,3}	
1	29	1200	{4,3,2,1,30}	
1	30	1300	{2,2,18,1,1}	1
1	31	1300	{5,5,1,2,3}	
1	32	1300	{5,21,2,5,1}	
1	33	1300	{4,3,2,1,30}	
1	34	1300	{4,3,1,1,10000}	
1	35	1300	{5,5,1,1,8}	
1	36	1300	{5,5,1,3,3}	
1	37	1300	{4,3,2,1,30}	
1	38	1300	{5,5,1,2,4}	
1	39	1300	{4,3,1,1,10000}	
1	40	1400	{15,1,2,1,1}	1
1	41	1400	{4,3,2,1,30}	
1	42	1400	{5,21,2,5,1}	
1	43	1400	{4,3,1,1,15000}	
1	44	1400	{5,5,1,1,8}	
1	45	1400	{4,3,2,1,30}	
1	46	1400	{5,5,1,3,3}	
1	47	1400	{4,3,1,1,15000}	
1	48	1400	{5,5,1,2,4}	
1	49	1400	{4,3,2,1,30}	
1	50	1500	{10,1,22,1,1}	1
1	51	1500	{4,3,1,1,20000}	
1	52	1500	{5,5,1,3,4}	
1	53	1500	{4,3,2,1,30}	
1	54	1500	{5,5,1,2,5}	
1	55	1500	{5,5,1,3,4}	
1	56	1500	{4,3,1,1,20000}	
1	57	1500	{4,3,2,1,30}	
1	58	1500	{5,21,2,5,1}	
1	59	1500	{4,3,1,1,20000}	
1	60	1500	{2,2,18,1,1}	1
1	61	1600	{4,3,2,1,30}	
1	62	1600	{5,5,1,2,5}	
1	63	1600	{4,3,1,1,20000}	
1	64	1600	{4,1,6,5,20}	
1	65	1600	{4,3,2,1,30}	
1	66	1600	{5,5,1,3,4}	
1	67	1600	{5,21,2,5,1}	
1	68	1600	{4,3,1,1,20000}	
1	69	1600	{4,3,2,1,30}	
1	70	1700	{5,13,2,1,10}	1
1	71	1700	{4,1,6,5,20}	
1	72	1700	{5,5,1,2,5}	
1	73	1700	{4,3,2,1,30}	
1	74	1700	{4,3,1,1,20000}	
1	75	1700	{4,1,6,5,20}	
1	76	1700	{5,21,2,5,1}	
1	77	1700	{4,3,2,1,30}	
1	78	1700	{5,5,1,3,4}	
1	79	1700	{4,1,6,5,20}	
1	80	1700	{8,99,5,3,1}	1
1	81	1700	{4,3,2,1,30}	
1	82	1700	{4,3,1,1,20000}	
1	83	1700	{4,1,6,5,20}	
1	84	1700	{5,5,1,3,10}	
1	85	1700	{4,3,2,1,30}	
1	86	1700	{5,5,1,2,5}	
1	87	1700	{5,21,2,5,1}	
1	88	1700	{4,3,1,1,20000}	
1	89	1700	{4,3,2,1,30}	
1	90	1700	{12,1,47,1,1}	1
1	91	1700	{4,1,6,5,20}	
1	92	1700	{5,5,1,2,5}	
1	93	1700	{4,3,2,1,30}	
1	94	1700	{4,1,6,5,20}	
1	95	1700	{5,21,2,5,1}	
1	96	1700	{4,3,1,1,20000}	
1	97	1700	{4,3,2,1,30}	
1	98	1700	{5,5,1,3,10}	
1	99	1700	{4,1,6,5,20}	
1	100	1700	{8,99,6,3,1}	1
1	101	1700	{4,3,2,1,30}	
1	102	1700	{4,1,6,5,20}	
1	103	1700	{5,5,1,2,5}	
1	104	1700	{5,5,1,3,10}	
1	105	1700	{4,3,2,1,30}	
1	106	1700	{4,3,1,1,20000}	
1	107	1700	{5,21,2,5,1}	
1	108	1700	{4,1,6,5,20}	
1	109	1700	{4,3,2,1,30}	
1	110	1700	{9,2,83,1,1}	1
1	111	1700	{5,5,1,3,10}	
1	112	1700	{4,3,1,1,20000}	
1	113	1700	{4,3,2,1,30}	
1	114	1700	{4,1,6,5,20}	
1	115	1700	{5,21,2,5,1}	
1	116	1700	{5,5,1,2,5}	
1	117	1700	{4,3,2,1,30}	
1	118	1700	{4,3,1,1,20000}	
1	119	1700	{4,1,6,5,20}	
1	120	1700	{8,99,28,3,1}	1
