Id	皮肤名	备注	AI导演Id	数值模板	房间Tag	逻辑地图	Task路径	房间BGM
Id	SkinName	Null	AIDirector	Strength	Tag	Logic	Task	BGM
								
1	test				start	/Game/Blueprints/LevelTask/Level/RogueReal/Transfer/RogueRealStart_Logic.RogueRealStart_Logic		
2	test				easy	/Game/Blueprints/LevelTask/Level/RogueReal/PreDev/RogueReal_PreDev_001.RogueReal_PreDev_001	/Game/Blueprints/LevelTask/Tasks/RogueReal/PreDev/Task_RogueReal_PreDev_001.Task_RogueReal_PreDev_001	
3	test				normal	/Game/Blueprints/LevelTask/Level/RogueReal/PreDev/RogueReal_PreDev_005.RogueReal_PreDev_005	/Game/Blueprints/LevelTask/Tasks/RogueReal/PreDev/Task_RogueReal_PreDev_005.Task_RogueReal_PreDev_005	
4	test				hard	/Game/Blueprints/LevelTask/Level/RogueReal/PreDev/RogueReal_PreDev_003.RogueReal_PreDev_003	/Game/Blueprints/LevelTask/Tasks/RogueReal/PreDev/Task_RogueReal_PreDev_003.Task_RogueReal_PreDev_003	
5	test				boss	/Game/Blueprints/LevelTask/Level/RogueReal/PreDev/RogueReal_PreDev_004.RogueReal_PreDev_004	/Game/Blueprints/LevelTask/Tasks/RogueReal/PreDev/Task_RogueReal_PreDev_004.Task_RogueReal_PreDev_004	
6	test				lounge	/Game/Blueprints/LevelTask/Level/RogueReal/PreDev/RogueReal_PreDev_002.RogueReal_PreDev_002	/Game/Blueprints/LevelTask/Tasks/RogueReal/PreDev/Task_RogueReal_PreDev_002.Task_RogueReal_PreDev_002	
								
10	transfer	传送场景,程序使用，不能动			start	/Game/Blueprints/LevelTask/Level/RogueReal/Transfer/RogueRealTransfer_Logic.RogueRealTransfer_Logic		
								
100	origin	初始房间			start	/Game/Blueprints/LevelTask/Level/RogueSeason/RogueSeasonStartRoom.RogueSeasonStartRoom		
								
1001	area08	天楼	7200		easy	/Game/Blueprints/LevelTask/Level/RogueSeason/EasyLevel/RogueSeason_Easy_001.RogueSeason_Easy_001	/Game/Blueprints/LevelTask/Tasks/RogueSeason/EasyLevel/Task_RogueSeason_Easy_001.Task_RogueSeason_Easy_001	
1002	area10	海岛	7200		easy	/Game/Blueprints/LevelTask/Level/RogueSeason/EasyLevel/RogueSeason_Easy_002.RogueSeason_Easy_002	/Game/Blueprints/LevelTask/Tasks/RogueSeason/EasyLevel/Task_RogueSeason_Easy_002.Task_RogueSeason_Easy_002	
1003	area02	郊狼	7200		easy	/Game/Blueprints/LevelTask/Level/RogueSeason/EasyLevel/RogueSeason_Easy_003.RogueSeason_Easy_003	/Game/Blueprints/LevelTask/Tasks/RogueSeason/EasyLevel/Task_RogueSeason_Easy_003.Task_RogueSeason_Easy_003	
1004	area11	雪原	7200		easy	/Game/Blueprints/LevelTask/Level/RogueSeason/EasyLevel/RogueSeason_Easy_004.RogueSeason_Easy_004	/Game/Blueprints/LevelTask/Tasks/RogueSeason/EasyLevel/Task_RogueSeason_Easy_004.Task_RogueSeason_Easy_004	
1005	area25	新海岛	7200		easy	/Game/Blueprints/LevelTask/Level/RogueSeason/EasyLevel/RogueSeason_Easy_005.RogueSeason_Easy_005	/Game/Blueprints/LevelTask/Tasks/RogueSeason/EasyLevel/Task_RogueSeason_Easy_005.Task_RogueSeason_Easy_005	
1006	area27	新海岛	7200		easy	/Game/Blueprints/LevelTask/Level/RogueSeason/EasyLevel/RogueSeason_Easy_006.RogueSeason_Easy_006	/Game/Blueprints/LevelTask/Tasks/RogueSeason/EasyLevel/Task_RogueSeason_Easy_006.Task_RogueSeason_Easy_006	
								
2001	area08	天楼	7200		normal	/Game/Blueprints/LevelTask/Level/RogueSeason/NormalLevel/RogueSeason_Normal_001.RogueSeason_Normal_001	/Game/Blueprints/LevelTask/Tasks/RogueSeason/NormalLevel/Task_RogueSeason_Normal_001.Task_RogueSeason_Normal_001	
2002	area10	海岛	7200		normal	/Game/Blueprints/LevelTask/Level/RogueSeason/NormalLevel/RogueSeason_Normal_002.RogueSeason_Normal_002	/Game/Blueprints/LevelTask/Tasks/RogueSeason/NormalLevel/Task_RogueSeason_Normal_002.Task_RogueSeason_Normal_002	
2003	area02	郊狼	7200		normal	/Game/Blueprints/LevelTask/Level/RogueSeason/NormalLevel/RogueSeason_Normal_003.RogueSeason_Normal_003	/Game/Blueprints/LevelTask/Tasks/RogueSeason/NormalLevel/Task_RogueSeason_Normal_003.Task_RogueSeason_Normal_003	
2004	area11	雪原	7200		normal	/Game/Blueprints/LevelTask/Level/RogueSeason/NormalLevel/RogueSeason_Normal_004.RogueSeason_Normal_004	/Game/Blueprints/LevelTask/Tasks/RogueSeason/NormalLevel/Task_RogueSeason_Normal_004.Task_RogueSeason_Normal_004	
2005	area08	天楼	7200		normal	/Game/Blueprints/LevelTask/Level/RogueSeason/NormalLevel/RogueSeason_Normal_005.RogueSeason_Normal_005	/Game/Blueprints/LevelTask/Tasks/RogueSeason/NormalLevel/Task_RogueSeason_Normal_005.Task_RogueSeason_Normal_005	
2006	area10	海岛	7200		normal	/Game/Blueprints/LevelTask/Level/RogueSeason/NormalLevel/RogueSeason_Normal_006.RogueSeason_Normal_006	/Game/Blueprints/LevelTask/Tasks/RogueSeason/NormalLevel/Task_RogueSeason_Normal_006.Task_RogueSeason_Normal_006	
2007	area02	郊狼	7200		normal	/Game/Blueprints/LevelTask/Level/RogueSeason/NormalLevel/RogueSeason_Normal_007.RogueSeason_Normal_007	/Game/Blueprints/LevelTask/Tasks/RogueSeason/NormalLevel/Task_RogueSeason_Normal_007.Task_RogueSeason_Normal_007	
2008	area11	雪原	7200		normal	/Game/Blueprints/LevelTask/Level/RogueSeason/NormalLevel/RogueSeason_Normal_008.RogueSeason_Normal_008	/Game/Blueprints/LevelTask/Tasks/RogueSeason/NormalLevel/Task_RogueSeason_Normal_008.Task_RogueSeason_Normal_008	
2009	area18	水上乐园	7200		normal	/Game/Blueprints/LevelTask/Level/RogueSeason/NormalLevel/RogueSeason_Normal_009.RogueSeason_Normal_009	/Game/Blueprints/LevelTask/Tasks/RogueSeason/NormalLevel/Task_RogueSeason_Normal_009.Task_RogueSeason_Normal_009	
2010	area25	新海岛	7200		normal	/Game/Blueprints/LevelTask/Level/RogueSeason/NormalLevel/RogueSeason_Normal_010.RogueSeason_Normal_010	/Game/Blueprints/LevelTask/Tasks/RogueSeason/NormalLevel/Task_RogueSeason_Normal_010.Task_RogueSeason_Normal_010	
2011	area27	新海岛	7200		normal	/Game/Blueprints/LevelTask/Level/RogueSeason/NormalLevel/RogueSeason_Normal_011.RogueSeason_Normal_011	/Game/Blueprints/LevelTask/Tasks/RogueSeason/NormalLevel/Task_RogueSeason_Normal_011.Task_RogueSeason_Normal_011	
								
3001	area08	天楼	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_001.RogueSeason_Hard_001	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_001.Task_RogueSeason_Hard_001	
3002	area10	海岛	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_002.RogueSeason_Hard_002	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_002.Task_RogueSeason_Hard_002	
3003	area02	郊狼	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_003.RogueSeason_Hard_003	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_003.Task_RogueSeason_Hard_003	
3004	area11	雪原	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_004.RogueSeason_Hard_004	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_004.Task_RogueSeason_Hard_004	
3005	area08	天楼	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_005.RogueSeason_Hard_005	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_005.Task_RogueSeason_Hard_005	
3006	area10	海岛	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_006.RogueSeason_Hard_006	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_006.Task_RogueSeason_Hard_006	
3007	area02	郊狼	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_007.RogueSeason_Hard_007	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_007.Task_RogueSeason_Hard_007	
3008	area11	雪原	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_008.RogueSeason_Hard_008	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_008.Task_RogueSeason_Hard_008	
