皮肤名	说明	声音名
Id	Nul	Audio
start	初始房间	BGM|Fight|Activity|DLC07,DLC|Rogue|Chushi,Battle|Off
transfer	过渡房间	BGM|Fight|Activity|DLC07,DLC|Rogue|Guodu,Battle|Off
area08	天楼	BGM|Fight|Activity|DLC07,DLC|Rogue|Tianlou,Battle|Off
area10	海岛	BGM|Fight|Activity|DLC07,DLC|Rogue|Haidao,Battle|Off
area02	郊狼	BGM|Fight|Activity|DLC07,DLC|Rogue|Jiaolang,Battle|Off
area11	雪原	BGM|Fight|Activity|DLC07,DLC|Rogue|Xueyuan,Battle|Off
area18	水上乐园	BGM|Fight|Activity|DLC07,DLC|Rogue|Shuishang,Battle|Off
area23	海底	BGM|Fight|Activity|DLC30,DLC|Fight01,Stage|Stage01
area26	腐败花园	BGM|Fight|Activity|DLC31,DLC|Fight01,Stage|Stage01
area25	新海岛	BGM|Fight|Activity|DLC31,DLC|BOSS01,Stage|Stage01
area27	新海岛	BGM|Fight|Activity|DLC32,DLC|Fight01,Stage|Stage01
