ID	条目名称	条目描述	累计图鉴星数	奖励
ID	Name	Des	RikiCount	Rewards
1	rogue3.other_MonsterManualRewardName	rogue3.other_MonsterManualRewardDes	10	{{4,3,2,1,30},{5,2,1,3,2}}
2	rogue3.other_MonsterManualRewardName	rogue3.other_MonsterManualRewardDes	20	{{4,3,2,1,30},{4,3,1,1,5000}}
3	rogue3.other_MonsterManualRewardName	rogue3.other_MonsterManualRewardDes	30	{{4,3,2,1,30},{5,5,1,2,2}}
4	rogue3.other_MonsterManualRewardName	rogue3.other_MonsterManualRewardDes	40	{{4,3,2,1,30},{4,3,1,1,5000}}
5	rogue3.other_MonsterManualRewardName	rogue3.other_MonsterManualRewardDes	50	{{4,3,2,1,30},{5,2,1,3,2}}
6	rogue3.other_MonsterManualRewardName	rogue3.other_MonsterManualRewardDes	60	{{4,3,2,1,30},{4,3,1,1,5000}}
7	rogue3.other_MonsterManualRewardName	rogue3.other_MonsterManualRewardDes	70	{{4,3,2,1,30},{5,5,1,2,2}}
8	rogue3.other_MonsterManualRewardName	rogue3.other_MonsterManualRewardDes	80	{{4,3,2,1,30},{4,3,1,1,5000}}
9	rogue3.other_MonsterManualRewardName	rogue3.other_MonsterManualRewardDes	90	{{4,3,2,1,30},{5,2,1,3,2}}
10	rogue3.other_MonsterManualRewardName	rogue3.other_MonsterManualRewardDes	100	{{4,3,2,1,30},{4,3,1,1,5000}}
11	rogue3.other_MonsterManualRewardName	rogue3.other_MonsterManualRewardDes	110	{{4,3,2,1,30},{5,5,1,2,2}}
12	rogue3.other_MonsterManualRewardName	rogue3.other_MonsterManualRewardDes	120	{{4,3,2,1,30},{4,3,1,1,5000}}
13	rogue3.other_MonsterManualRewardName	rogue3.other_MonsterManualRewardDes	130	{{4,3,2,1,30},{5,2,1,3,2}}
14	rogue3.other_MonsterManualRewardName	rogue3.other_MonsterManualRewardDes	140	{{4,3,2,1,30},{4,3,1,1,5000}}
15	rogue3.other_MonsterManualRewardName	rogue3.other_MonsterManualRewardDes	150	{{4,3,2,1,30},{5,5,1,2,2}}
