房间Id	说明	权重	AI导演Id	数值模板	难度	描述	奖励代币	逻辑地图	Task路径	美术地图路径	标签，只支持一个
Id	Nul	Weight	AIDirector	Strength	DiffId	DescKey	Money	Logic	Task	Path	Tag
100	初始房间							/Game/Blueprints/LevelTask/Level/RogueReal/RogueRealStartRoom.RogueRealStartRoom		/Game/Maps/activity03/activity03_02.activity03_02	start
											
200	过道1							/Game/Blueprints/LevelTask/Level/RogueLevel/OtherLevel/Corridor_1.Corridor_1		/Game/Maps/activity02/activity02_01.activity02_01	hallway 
201	过道1							/Game/Blueprints/LevelTask/Level/RogueLevel/OtherLevel/Corridor_2.Corridor_2		/Game/Maps/activity02/activity02_02.activity02_02	hallway 
											
1001	简单1		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_001.RogueReal_Easy_001	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_001.Task_RogueReal_Easy_001	/Game/Maps/activity01/activity01_67.activity01_67	easy
1002	简单2		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_002.RogueReal_Easy_002	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_002.Task_RogueReal_Easy_002	/Game/Maps/activity01/activity01_11.activity01_11	easy
1003	简单3		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_003.RogueReal_Easy_003	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_003.Task_RogueReal_Easy_003	/Game/Maps/activity01/activity01_16.activity01_16	easy
1004	简单4		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_004.RogueReal_Easy_004	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_004.Task_RogueReal_Easy_004	/Game/Maps/activity01/activity01_21.activity01_21	easy
1005	简单5		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_005.RogueReal_Easy_005	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_005.Task_RogueReal_Easy_005	/Game/Maps/activity01/activity01_22.activity01_22	easy
