ID	备注	格子id	格子品质	商品备注	奖励类型（1.迷宫之钥  2.道具 3.随机buff）	迷宫之钥数量	道具id和数量	随机buff库id（id，等级范围）	概率权重	科技升级权重	科技最终升级权重
ID	Comment	CellId	CellQuality	Comment2	RewardType	CoinNum	ItemId	BuffBox	Weight1	Weight2	Weight3
1	低级老虎机	1	1	回血道具	2		{2,1}		500	500	500
1	低级老虎机	2	2	3级buff	3			{{101},{3,3}}	445	445	500
1	低级老虎机	3	4	5级buff	3			{{101},{5,5}}	5	10	15
1	低级老虎机	4	3	300	1	300			100	150	200
1	低级老虎机	5	2	100	1	100			300	300	300
1	低级老虎机	6	1	2级buff	3			{{101},{2,2}}	500	445	335
1	低级老虎机	7	1	30	1	30			1600	1700	1750
1	低级老虎机	8	3	4级buff	3			{{101},{4,4}}	50	100	150
1	低级老虎机	9	4	500	1	500			25	40	50
1	低级老虎机	10	2	50	1	50			700	700	700
1	低级老虎机	11	1	10	1	10			600	575	550
1	低级老虎机	12	1	复活道具	2		{3,1}		500	500	500
1	低级老虎机	13	2	3级buff	3			{{101},{3,3}}	445	445	500
1	低级老虎机	14	4	5级buff	3			{{101},{5,5}}	5	10	15
1	低级老虎机	15	3	200	1	200			250	270	350
1	低级老虎机	16	2	100	1	100			300	300	300
1	低级老虎机	17	1	2级buff	3			{{101},{2,2}}	500	445	335
1	低级老虎机	18	1	20	1	20			1800	1650	1500
1	低级老虎机	19	3	4级buff	3			{{101},{4,4}}	50	100	150
1	低级老虎机	20	4	500	1	500			25	40	50
1	低级老虎机	21	2	50	1	50			700	700	700
1	低级老虎机	22	1	10	1	10			600	575	550
2	高级老虎机	1	2	3级buff	3			{{101},{3,3}}	700	600	500
2	高级老虎机	2	3	200	1	200			350	350	375
2	高级老虎机	3	4	1000	1	1000			50	50	100
2	高级老虎机	4	3	300	1	300			200	225	250
2	高级老虎机	5	2	50	1	50			1500	1500	1500
2	高级老虎机	6	1	商店刷新道具	2		{5,1}		500	500	500
2	高级老虎机	7	4	5级buff	3			{{101},{5,5}}	25	50	75
2	高级老虎机	8	3	4级buff	3			{{101},{4,4}}	250	275	300
2	高级老虎机	9	3	4级buff	3			{{101},{4,4}}	250	275	300
2	高级老虎机	10	4	5级buff	3			{{101},{5,5}}	25	50	75
2	高级老虎机	11	1	30	1	30			1300	1250	1200
2	高级老虎机	12	2	3级buff	3			{{101},{3,3}}	700	600	500
2	高级老虎机	13	3	200	1	200			350	350	375
2	高级老虎机	14	4	500	1	500			200	250	250
2	高级老虎机	15	3	300	1	300			200	225	250
2	高级老虎机	16	2	100	1	100			1500	1500	1500
2	高级老虎机	17	1	降低威胁度道具	2		{6,1}		500	500	500
2	高级老虎机	18	4	5级buff	3			{{101},{5,5}}	25	50	75
2	高级老虎机	19	3	4级buff	3			{{101},{4,4}}	250	275	300
2	高级老虎机	20	3	4级buff	3			{{101},{4,4}}	250	275	300
2	高级老虎机	21	4	5级buff	3			{{101},{5,5}}	25	50	75
2	高级老虎机	22	1	20	1	20			850	800	700
