模式类型（1常规无尽 2赛季模式）	关卡ID（赛季对应关卡）	ID	怪物id	//备注	积分对应等级
TypeID	LevelID	ID	MonsterId	Comment	Point
1		1	-1	通用小怪	{{{120,180},8}}
1		2	-2	通用精英	{{{120,180},35}}
1		3	-3	通用boss	{{{120,180},150}}
1		4	4001002	普通:灯泡-郊狼	{{{120,180},8}}
1		5	4001005	普通:钢珠-郊狼	{{{120,180},3}}
1		6	4001006	普通:喷壶-郊狼	{{{120,180},6}}
1		7	4001015	普通:简易哨兵-郊狼	{{{120,180},9}}
1		8	4001017	普通:链斧-郊狼	{{{120,180},20}}
1		9	4003003	普通:螺钉-郊狼	{{{120,180},12}}
1		10	4003004	普通:螺帽-郊狼	{{{120,180},3}}
1		11	4003006	普通:喷壶-郊狼	{{{120,180},6}}
1		12	4003007	普通:通条-郊狼	{{{120,180},6}}
1		13	5001001	精英:炉子-郊狼	{{{120,180},16}}
1		14	5001009	精英:自走炮-郊狼	{{{120,180},16}}
1		15	5001010	精英:铁锤-郊狼	{{{120,180},40}}
1		16	5001018	精英:猛火-郊狼	{{{120,180},30}}
1		17	5001019	精英:重壁-郊狼	{{{120,180},36}}
1		18	5002010	精英:喇叭-郊狼	{{{120,180},40}}
1		19	400160202	普通:鼹鼠无人机-郊狼	{{{120,180},1}}
1		20	5001113	精英:净化贤者-降临团	{{{120,180},26}}
1		21	5001118	精英:赐福者-降临团	{{{120,180},40}}
1		22	4001104	普通:武装会员-降临团	{{{120,180},18}}
1		23	4001108	普通:会员-降临团	{{{120,180},3}}
1		24	500110902	精英:审判官-降临团	{{{120,180},40}}
1		25	4003106	普通:爆破会员-降临团	{{{120,180},4}}
1		26	5003110	精英:净化官-降临团	{{{120,180},32}}
1		27	4001114	普通:散射会员-降临团	{{{120,180},6}}
1		28	5001101	精英:波伏娃系统-降临团	{{{120,180},28}}
1		29	4003103	普通:长刀会员-降临团	{{{120,180},14}}
1		30	4001116	普通:降临火花-降临团	{{{120,180},1}}
1		31	500110901	精英:审判官-降临团	{{{120,180},40}}
1		32	4003102	普通:弓箭会员-降临团	{{{120,180},8}}
1		33	4001112	普通:连弩会员-降临团	{{{120,180},4}}
1		34	5001111	精英:幻射会员-降临团	{{{120,180},24}}
1		35	5001117	精英:播种试图-降临团	{{{120,180},24}}
1		36	600120502	boss:祟（火）-泰坦	{{{120,180},180}}
1		37	6001102	boss:加文-降临团	{{{120,180},140}}
1		38	6001004	boss:爱思特-郊狼	{{{120,180},100}}
1		39	6002101	boss:波伏娃13-降临团	{{{120,180},140}}
1		40	6001206	boss:尼亚尔-军方	{{{120,180},200}}
1		41	6001003	boss:约瑟夫-郊狼	{{{120,180},160}}
1		42	6001005	boss:二型验证机甲-郊狼	{{{120,180},160}}
2	1	43	-1	通用小怪	{{{120,180},18}}
2	1	44	-2	通用精英	{{{120,180},70}}
2	1	45	-3	通用boss	{{{120,180},350}}
2	1	46	4001002	普通:灯泡-郊狼	{{{120,180},18}}
2	1	47	4001005	普通:钢珠-郊狼	{{{120,180},7}}
2	1	48	4001006	普通:喷壶-郊狼	{{{120,180},13}}
2	1	49	4001015	普通:简易哨兵-郊狼	{{{120,180},20}}
2	1	50	4001017	普通:链斧-郊狼	{{{120,180},44}}
2	1	51	4003003	普通:螺钉-郊狼	{{{120,180},26}}
2	1	52	4003004	普通:螺帽-郊狼	{{{120,180},7}}
2	1	53	4003006	普通:喷壶-郊狼	{{{120,180},13}}
2	1	54	4003007	普通:通条-郊狼	{{{120,180},13}}
2	1	55	5001001	精英:炉子-郊狼	{{{120,180},29}}
2	1	56	5001009	精英:自走炮-郊狼	{{{120,180},29}}
2	1	57	5001010	精英:铁锤-郊狼	{{{120,180},72}}
2	1	58	5001018	精英:猛火-郊狼	{{{120,180},54}}
2	1	59	5001019	精英:重壁-郊狼	{{{120,180},65}}
2	1	60	5002010	精英:喇叭-郊狼	{{{120,180},72}}
2	1	61	400160202	普通:鼹鼠无人机-郊狼	{{{120,180},2}}
2	1	62	5001113	精英:净化贤者-降临团	{{{120,180},47}}
2	1	63	5001118	精英:赐福者-降临团	{{{120,180},72}}
2	1	64	4001104	普通:武装会员-降临团	{{{120,180},40}}
2	1	65	4001108	普通:会员-降临团	{{{120,180},7}}
2	1	66	500110902	精英:审判官-降临团	{{{120,180},72}}
2	1	67	4003106	普通:爆破会员-降临团	{{{120,180},9}}
2	1	68	5003110	精英:净化官-降临团	{{{120,180},58}}
2	1	69	4001114	普通:散射会员-降临团	{{{120,180},13}}
2	1	70	5001101	精英:波伏娃系统-降临团	{{{120,180},50}}
2	1	71	4003103	普通:长刀会员-降临团	{{{120,180},31}}
2	1	72	4001116	普通:降临火花-降临团	{{{120,180},2}}
2	1	73	500110901	精英:审判官-降临团	{{{120,180},72}}
2	1	74	4003102	普通:弓箭会员-降临团	{{{120,180},18}}
2	1	75	4001112	普通:连弩会员-降临团	{{{120,180},9}}
