玩法组	节点id	备注	路线数量	地图风貌	通道地图	路线1	路线2	路线3{{地图组,权重}}	特殊路线和触发条件	房间等级	怪物数值模板	完成后获得的经验	完成后获得的科技点	完成后获得的奖券（赛季生效）	完成后获得的钥匙（冒险模式生效）	完成后获得的万能钥匙（冒险模式生效）	完成后消耗的精力值（冒险模式生效）	初始地图配置(地图组,地图id)
GroupId	NodeId	Comment	NextDoorNum	RoomsTerrain	CorridorMap	Door1	Door2	Door3	MysticalDoor	Level	Strength	BaseCoin	BaseSciencePoint	BaseTicket	BaseKey	BaseMasterKey	EnergyCost	Init
100	1	简单-起点	3			fight_easy	fight_easy	fight_easy		0	13	0	0	0	0	0	0	start,1
100	2	简单-房间1	3			fight_easy	reward_easy	random_havefight_easy	{"mystery",1}	100	13	7	2	0	0	0	0	
100	3	简单-房间2	3			fight_easy	fight_normal	fight_normal	{"mystery",1}	102	13	7	2	0	1	0	10	
100	4	简单-房间3	3			relx_normal	shop_level1	random_nofight_easy		104	13	11	2	1	0	0	0	
100	5	简单-房间4	1			fight_finboss				106	13	14	3	0	0	0	0	
100	6	简单-房间5	0							108	13	32	7	1	1	0	10	
101	1	简单2-起点	3			fight_easy	fight_easy	fight_easy		0	13	0	0	0	0	0	0	start,1
101	2	简单2-房间1	3			random_havefight_easy	relx_normal	fight_easy	{"mystery",1}	100	13	7	2	0	0	0	0	
101	3	简单2-房间2	3			shop_level1	reward_easy	reward_easy	{"mystery",1}	102	13	7	2	0	1	0	10	
101	4	简单2-房间3	3			fight_normal	fight_normal	fight_normal		104	13	11	2	1	0	0	0	
101	5	简单2-房间4	1			fight_finboss				106	13	14	3	0	0	0	0	
101	6	简单2-房间5	0							108	13	32	7	1	1	0	10	
																		
200	1	普通-起点	3			fight_easy	fight_easy	fight_easy		0	14	0	0	0	0	0	0	start,1
200	2	普通-房间1	3			fight_normal	fight_normal	fight_normal	{"mystery",1}	100	14	8	2	0	0	0	0	
200	3	普通-房间2	3			random_havefight_normal	random_havefight_normal	relx_normal	{"mystery",1}	102	14	8	2	1	1	0	8	
200	4	普通-房间3	3			reward_easy	reward_easy	reward_easy	{"mystery",1}	104	14	8	2	0	0	0	0	
200	5	普通-房间4	3			fight_normal	fight_normal	fight_normal	{"mystery",1}	106	14	9	2	0	0	0	0	
200	6	普通-房间5	3			shop_level1	random_nofight_easy	random_havefight_normal	{"mystery",1}	108	14	9	2	1	1	0	8	
200	7	普通-房间6	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	110	14	12	3	0	0	0	0	
200	8	普通-房间7	3			random_havefight_hard	random_havefight_hard	relx_rare_2	{"mystery",1}	112	14	12	3	0	0	0	0	
200	9	普通-房间8	3			shop_level2	reward_normal	random_havefight_hard	{"mystery",1}	114	14	16	4	1	1	0	7	
200	10	普通-房间9	3			fight_hard	fight_hard	fight_hard		116	14	16	4	0	0	0	0	
200	11	普通-房间10	1			fight_finboss				118	14	19	4	1	0	0	0	
200	12	普通-房间11	0							120	14	39	9	1	1	1	7	
201	1	普通2-起点	3			fight_easy	fight_easy	reward_easy		0	14	0	0	0	0	0	0	start,1
201	2	普通2-房间1	3			fight_easy	fight_easy	fight_easy	{"mystery",1}	100	14	8	2	0	0	0	0	
201	3	普通2-房间2	3			random_havefight_normal	random_havefight_normal	random_havefight_normal	{"mystery",1}	102	14	8	2	1	1	0	8	
201	4	普通2-房间3	3			fight_normal	relx_normal	shop_level1	{"mystery",1}	104	14	8	2	0	0	0	0	
201	5	普通2-房间4	3			fight_normal	fight_normal	fight_normal	{"mystery",1}	106	14	9	2	0	0	0	0	
201	6	普通2-房间5	3			fight_normal	fight_normal	fight_normal	{"mystery",1}	108	14	9	2	1	1	0	8	
201	7	普通2-房间6	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	110	14	12	3	0	0	0	0	
201	8	普通2-房间7	3			reward_normal	random_nofight_normal	random_havefight_hard	{"mystery",1}	112	14	12	3	0	0	0	0	
201	9	普通2-房间8	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	114	14	16	4	1	1	0	7	
201	10	普通2-房间9	3			shop_level2	relx_rare_2	random_havefight_hard		116	14	16	4	0	0	0	0	
201	11	普通2-房间10	1			fight_finboss				118	14	19	4	1	0	0	0	
201	12	普通2-房间11	0							120	14	39	9	1	1	1	7	
202	1	普通3-起点	3			fight_easy	fight_easy	fight_easy		0	14	0	0	0	0	0	0	start,1
202	2	普通3-房间1	3			reward_easy	random_havefight_normal	fight_easy	{"mystery",1}	100	14	8	2	0	0	0	0	
202	3	普通3-房间2	3			random_nofight_easy	random_havefight_normal	fight_normal	{"mystery",1}	102	14	8	2	1	1	0	8	
202	4	普通3-房间3	3			fight_normal	fight_normal	fight_normal	{"mystery",1}	104	14	8	2	0	0	0	0	
202	5	普通3-房间4	3			relx_normal	fight_normal	random_havefight_normal	{"mystery",1}	106	14	9	2	0	0	0	0	
202	6	普通3-房间5	3			fight_normal	fight_normal	fight_normal	{"mystery",1}	108	14	9	2	1	1	0	8	
202	7	普通3-房间6	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	110	14	12	3	0	0	0	0	
202	8	普通3-房间7	3			fight_hard	random_havefight_hard	random_havefight_hard	{"mystery",1}	112	14	12	3	0	0	0	0	
202	9	普通3-房间8	3			shop_level2	reward_normal	relx_rare_2	{"mystery",1}	114	14	16	4	1	1	0	7	
202	10	普通3-房间9	3			fight_hard	fight_hard	fight_hard		116	14	16	4	0	0	0	0	
202	11	普通3-房间10	1			fight_finboss				118	14	19	4	1	0	0	0	
202	12	普通3-房间11	0							120	14	39	9	1	1	1	7	
																		
300	1	困难-起点	3			fight_easy_vip	fight_easy_vip	fight_easy_vip		0	15	0	0	0	0	0	0	start,1
300	2	困难-房间1	3			random_havefight_normal	random_havefight_normal	fight_normal	{"mystery",1}	100	15	10	3	1	1	0	7	
300	3	困难-房间2	3			reward_normal	random_havefight_normal	fight_normal	{"mystery",1}	102	15	12	3	0	0	0	0	
300	4	困难-房间3	3			fight_normal	fight_normal_magic	fight_normal_personal	{"mystery",1}	104	15	14	3	1	0	0	0	
300	5	困难-房间4	3			relx_normal	shop_level1	random_havefight_normal	{"mystery",1}	106	15	14	4	0	1	0	7	
300	6	困难-房间5	3			fight_normal	fight_normal	fight_normal	{"mystery",1}	108	15	16	4	1	0	0	0	
300	7	困难-房间6	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	110	15	18	4	0	0	0	0	
300	8	困难-房间7	3			relx_normal	random_havefight_normal	random_havefight_normal	{"mystery",1}	112	15	18	4	1	1	0	7	
300	9	困难-房间8	3			fight_boss	fight_hard	fight_hard	{"mystery",1}	114	15	20	5	1	0	0	0	
300	10	困难-房间9	3			shop_level2	bingo_level1	random_nofight_normal	{"mystery",1}	116	15	20	5	0	0	1	0	
300	11	困难-房间10	3			fight_hard_vip	fight_hard_vip	fight_hard_vip	{"mystery",1}	118	15	24	5	1	1	0	7	
300	12	困难-房间11	3			random_havefight_hard	relx_rare_3	random_havefight_hard	{"mystery",1}	120	15	24	6	1	0	0	0	
300	13	困难-房间12	3			fight_hard	fight_hard	fight_hard_magic	{"mystery",1}	123	15	28	6	0	0	0	0	
300	14	困难-房间13	3			shop_level3	random_nofight_hard	fight_hard	{"mystery",1}	126	15	28	6	1	1	0	6	
300	15	困难-房间14	3			fight_hard	fight_hard	fight_hard		129	15	32	8	1	0	0	0	
300	16	困难-房间15	1			fight_finboss				132	15	32	8	1	0	0	0	
300	17	困难-房间16	0							135	15	40	10	2	1	1	6	
301	1	困难2-起点	3			reward_normal	fight_easy_vip	fight_easy_vip		0	15	0	0	0	0	0	0	start,1
301	2	困难2-房间1	3			fight_easy	fight_normal_magic	fight_easy	{"mystery",1}	100	15	10	3	1	1	0	7	
301	3	困难2-房间2	3			relx_normal	random_havefight_normal	fight_normal	{"mystery",1}	102	15	12	3	0	0	0	0	
301	4	困难2-房间3	3			fight_normal	fight_normal	fight_normal	{"mystery",1}	104	15	14	3	1	0	0	0	
301	5	困难2-房间4	3			shop_level1	reward_normal	random_nofight_normal	{"mystery",1}	106	15	14	4	0	1	0	7	
301	6	困难2-房间5	3			fight_normal	fight_normal	fight_normal	{"mystery",1}	108	15	16	4	1	0	0	0	
301	7	困难2-房间6	3			random_nofight_normal	random_havefight_normal	relx_normal	{"mystery",1}	110	15	18	4	0	0	0	0	
301	8	困难2-房间7	3			fight_hard	fight_hard_personal	fight_hard	{"mystery",1}	112	15	18	4	1	1	0	7	
301	9	困难2-房间8	3			relx_rare_2	shop_level2	fight_hard	{"mystery",1}	114	15	20	5	1	0	0	0	
301	10	困难2-房间9	3			fight_boss	fight_boss	fight_hard_magic	{"mystery",1}	116	15	20	5	0	0	1	0	
301	11	困难2-房间10	3			bingo_level1	random_havefight_hard	fight_hard	{"mystery",1}	118	15	24	5	1	1	0	7	
301	12	困难2-房间11	3			fight_hard_vip	fight_hard_vip	fight_hard_vip	{"mystery",1}	120	15	24	6	1	0	0	0	
301	13	困难2-房间12	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	123	15	28	6	0	0	0	0	
301	14	困难2-房间13	3			relx_rare_3	shop_level3	reward_hard	{"mystery",1}	126	15	28	6	1	1	0	6	
301	15	困难2-房间14	3			fight_hard	fight_hard	fight_hard		129	15	32	8	1	0	0	0	
301	16	困难2-房间15	1			fight_finboss				132	15	32	8	1	0	0	0	
301	17	困难2-房间16	0							135	15	40	10	2	1	1	6	
302	1	困难3-起点	3			fight_easy_vip	fight_easy_vip	fight_easy_vip		0	15	0	0	0	0	0	0	start,1
302	2	困难3-房间1	3			fight_normal	fight_normal	fight_normal	{"mystery",1}	100	15	10	3	1	1	0	7	
302	3	困难3-房间2	3			reward_normal	reward_normal	random_nofight_normal	{"mystery",1}	102	15	12	3	0	0	0	0	
302	4	困难3-房间3	3			fight_normal_magic	fight_normal_personal	fight_normal	{"mystery",1}	104	15	14	3	1	0	0	0	
302	5	困难3-房间4	3			shop_level1	relx_normal	reward_normal	{"mystery",1}	106	15	14	4	0	1	0	7	
302	6	困难3-房间5	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	108	15	16	4	1	0	0	0	
302	7	困难3-房间6	3			fight_hard	fight_hard_magic	fight_hard	{"mystery",1}	110	15	18	4	0	0	0	0	
302	8	困难3-房间7	3			relx_normal	random_havefight_hard	random_havefight_hard	{"mystery",1}	112	15	18	4	1	1	0	7	
302	9	困难3-房间8	3			random_havefight_hard	random_havefight_hard	reward_hard	{"mystery",1}	114	15	20	5	1	0	0	0	
302	10	困难3-房间9	3			fight_hard_vip	fight_hard_vip	fight_hard_vip	{"mystery",1}	116	15	20	5	0	0	1	0	
302	11	困难3-房间10	3			shop_level2	relx_rare_3	random_havefight_hard	{"mystery",1}	118	15	24	5	1	1	0	7	
302	12	困难3-房间11	3			fight_boss	fight_boss	fight_boss	{"mystery",1}	120	15	24	6	1	0	0	0	
302	13	困难3-房间12	3			random_nofight_hard	bingo_level1	random_havefight_hard	{"mystery",1}	123	15	28	6	0	0	0	0	
302	14	困难3-房间13	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	126	15	28	6	1	1	0	6	
302	15	困难3-房间14	3			shop_level3	random_havefight_hard	random_nofight_hard		129	15	32	8	1	0	0	0	
302	16	困难3-房间15	1			fight_finboss				132	15	32	8	1	0	0	0	
302	17	困难3-房间16	0							135	15	40	10	2	1	1	6	
303	1	困难4-起点	3			fight_easy_vip	fight_easy_vip	fight_easy_vip		0	15	0	0	0	0	0	0	start,1
303	2	困难4-房间1	3			random_havefight_normal	reward_normal	fight_easy	{"mystery",1}	100	15	10	3	1	1	0	7	
303	3	困难4-房间2	3			fight_normal	fight_normal_magic	fight_normal_personal	{"mystery",1}	102	15	12	3	0	0	0	0	
303	4	困难4-房间3	3			fight_normal	fight_normal	fight_normal	{"mystery",1}	104	15	14	3	1	0	0	0	
303	5	困难4-房间4	3			relx_normal	shop_level1	reward_normal	{"mystery",1}	106	15	14	4	0	1	0	7	
303	6	困难4-房间5	3			random_nofight_normal	fight_normal	fight_normal	{"mystery",1}	108	15	16	4	1	0	0	0	
303	7	困难4-房间6	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	110	15	18	4	0	0	0	0	
303	8	困难4-房间7	3			fight_boss	reward_normal	fight_hard_personal	{"mystery",1}	112	15	18	4	1	1	0	7	
303	9	困难4-房间8	3			fight_hard_vip	fight_hard_vip	fight_hard_vip	{"mystery",1}	114	15	20	5	1	0	0	0	
303	10	困难4-房间9	3			relx_rare_2	random_nofight_hard	random_havefight_hard	{"mystery",1}	116	15	20	5	0	0	1	0	
303	11	困难4-房间10	3			fight_hard_magic	fight_boss	fight_hard	{"mystery",1}	118	15	24	5	1	1	0	7	
303	12	困难4-房间11	3			shop_level3	relx_normal	bingo_level1	{"mystery",1}	120	15	24	6	1	0	0	0	
303	13	困难4-房间12	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	123	15	28	6	0	0	0	0	
303	14	困难4-房间13	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	126	15	28	6	1	1	0	6	
303	15	困难4-房间14	3			reward_hard	relx_rare_3	reward_hard		129	15	32	8	1	0	0	0	
303	16	困难4-房间15	1			fight_finboss				132	15	32	8	1	0	0	0	
303	17	困难4-房间16	0							135	15	40	10	2	1	1	6	
304	1	困难5-起点	3			fight_easy_vip	fight_easy_vip	fight_easy_vip		0	15	0	0	0	0	0	0	start,1
304	2	困难5-房间1	3			fight_normal_magic	fight_normal	fight_normal	{"mystery",1}	100	15	10	3	1	1	0	7	
304	3	困难5-房间2	3			reward_normal	shop_level1	fight_normal_personal	{"mystery",1}	102	15	12	3	0	0	0	0	
304	4	困难5-房间3	3			random_havefight_normal	fight_normal	relx_normal	{"mystery",1}	104	15	14	3	1	0	0	0	
304	5	困难5-房间4	3			fight_normal	fight_normal	fight_normal	{"mystery",1}	106	15	14	4	0	1	0	7	
304	6	困难5-房间5	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	108	15	16	4	1	0	0	0	
304	7	困难5-房间6	3			reward_normal	relx_normal	random_havefight_hard	{"mystery",1}	110	15	18	4	0	0	0	0	
304	8	困难5-房间7	3			fight_hard_magic	fight_hard	fight_hard	{"mystery",1}	112	15	18	4	1	1	0	7	
304	9	困难5-房间8	3			shop_level2	bingo_level1	random_havefight_hard	{"mystery",1}	114	15	20	5	1	0	0	0	
304	10	困难5-房间9	3			fight_hard_vip	fight_hard_vip	fight_hard_vip	{"mystery",1}	116	15	20	5	0	0	1	0	
304	11	困难5-房间10	3			fight_hard	random_havefight_hard	relx_rare_2	{"mystery",1}	118	15	24	5	1	1	0	7	
304	12	困难5-房间11	3			fight_boss	fight_hard_personal	fight_hard	{"mystery",1}	120	15	24	6	1	0	0	0	
304	13	困难5-房间12	3			reward_hard	fight_hard	random_nofight_hard	{"mystery",1}	123	15	28	6	0	0	0	0	
304	14	困难5-房间13	3			shop_level3	reward_hard	relx_rare_3	{"mystery",1}	126	15	28	6	1	1	0	6	
304	15	困难5-房间14	3			fight_hard	fight_boss	fight_hard		129	15	32	8	1	0	0	0	
304	16	困难5-房间15	1			fight_finboss				132	15	32	8	1	0	0	0	
304	17	困难5-房间16	0							135	15	40	10	2	1	1	6	
																		
400	1	极难-起点	3			fight_normal_vip	fight_normal_vip	fight_normal_vip		0	16	0	0	0	0	0	0	start,1
400	2	极难-房间1	3			reward_normal	fight_normal	fight_normal	{"mystery",1}	100	16	12	2	1	1	0	7	
400	3	极难-房间2	3			fight_normal_magic	fight_normal	fight_normal	{"mystery",1}	102	16	12	3	0	0	0	0	
400	4	极难-房间3	3			random_havefight_hard	random_havefight_hard	relx_normal	{"mystery",1}	104	16	14	3	1	1	0	7	
400	5	极难-房间4	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	106	16	14	4	1	0	0	0	
400	6	极难-房间5	3			shop_level1	reward_normal	random_nofight_normal	{"mystery",1}	108	16	16	4	0	1	0	6	
