ID	等级	科技效果类型（1.buff）	效果参数	buff效果(id+等级）	升级描述	升级描述备注	描述中的数值	学习花费
ID	Level	EffectType	EffectParameter	Skill	LevelDes	LevelDesComment	DesNum	Cost
1011	1	1		{7011001,1}	rogue3.science_des_101_1	生命值+{1}%	{5}	{25,80}
1012	2	1		{7011001,2}	rogue3.science_des_101_1	生命值+{1}%	{5}	{25,80}
1013	3	1		{7011001,3}	rogue3.science_des_101_1	生命值+{1}%	{5}	{25,80}
1014	4	1		{7011001,4}	rogue3.science_des_101_1	生命值+{1}%	{5}	{25,80}
1015	5	1		{7011001,5}	rogue3.science_des_101_1	生命值+{1}%	{5}	{25,80}
1021	1	1		{7011002,1}	rogue3.science_des_102_1	低温伤害+{1}%	{5}	{25,80}
1022	2	1		{7011003,2}	rogue3.science_des_102_2	低温抗性+{1}%	{6}	{25,60}
1023	3	1		{7011002,2}	rogue3.science_des_102_1	低温伤害+{1}%	{5}	{25,70}
1024	4	1		{7011003,5}	rogue3.science_des_102_2	低温抗性+{1}%	{9}	{25,90}
1025	5	1		{7011002,4}	rogue3.science_des_102_1	低温伤害+{1}%	{10}	{25,120}
1031	1	2	{2,10}		rogue3.science_des_103_1	集中收治事件的治疗量+{1}%	{10}	{25,80}
1032	2	2	{1,20}		rogue3.science_des_103_2	急救包的治疗量+{1}%	{20}	{25,60}
1033	3	2	{2,20}		rogue3.science_des_103_1	集中收治事件的治疗量+{1}%	{20}	{25,70}
1034	4	2	{1,30}		rogue3.science_des_103_2	急救包的治疗量+{1}%	{30}	{25,90}
1035	5	2	{2,20}		rogue3.science_des_103_1	集中收治事件的治疗量+{1}%	{20}	{25,120}
1041	1	1		{7011004,1}	rogue3.science_des_104_1	动能伤害+{1}%	{5}	{25,80}
1042	2	1		{7011005,2}	rogue3.science_des_104_2	动能抗性+{1}%	{6}	{25,60}
1043	3	1		{7011004,2}	rogue3.science_des_104_1	动能伤害+{1}%	{5}	{25,70}
1044	4	1		{7011005,5}	rogue3.science_des_104_2	动能抗性+{1}%	{9}	{25,90}
1045	5	1		{7011004,4}	rogue3.science_des_104_1	动能伤害+{1}%	{10}	{25,120}
1051	1	3	{2,1}		rogue3.science_des_105_1	开局时，额外获得{1}个急救包	{1}	{25,80}
1052	2	3	{1,1}		rogue3.science_des_105_2	开局时，额外获得{1}个侦察接收机	{1}	{25,60}
1053	3	3	{2,1}		rogue3.science_des_105_1	开局时，额外获得{1}个急救包	{1}	{25,70}
1054	4	3	{1,1}		rogue3.science_des_105_2	开局时，额外获得{1}个侦察接收机	{1}	{25,90}
1055	5	3	{3,1}		rogue3.science_des_105_5	开局时，额外获得{1}个重构芯片	{1}	{25,120}
1061	1	1		{7011007,1}	rogue3.science_des_106_5	弩射击造成的伤害+{1}%	{7}	{25,80}
1062	2	1		{7011006,2}	rogue3.science_des_106_2	弩射击速度+{1}%	{6}	{25,60}
1063	3	1		{7011007,2}	rogue3.science_des_106_5	弩射击造成的伤害+{1}%	{7}	{25,70}
1064	4	1		{7011007,4}	rogue3.science_des_106_2	弩射击速度+{1}%	{9}	{25,90}
1065	5	1		{7011006,5}	rogue3.science_des_106_5	弩射击造成的伤害+{1}%	{14}	{25,120}
1071	1	3	{5,1}		rogue3.science_des_107_1	开局时，额外获得{1}个黑市推荐卡	{1}	{25,80}
1072	2	3	{6,1}		rogue3.science_des_107_2	开局时，额外获得{1}个长距夜视仪	{1}	{25,60}
1073	3	3	{5,1}		rogue3.science_des_107_1	开局时，额外获得{1}个黑市推荐卡	{1}	{25,70}
1074	4	3	{6,1}		rogue3.science_des_107_2	开局时，额外获得{1}个长距夜视仪	{1}	{25,90}
1075	5	3	{4,1}		rogue3.science_des_107_5	开局时，额外获得{1}个镇静剂	{1}	{25,120}
1081	1	1		{7011008,1}	rogue3.science_des_108_1	支援技伤害+{1}%	{7}	{25,80}
1082	2	1		{7011008,2}	rogue3.science_des_108_1	支援技伤害+{1}%	{7}	{25,80}
1083	3	1		{7011008,3}	rogue3.science_des_108_1	支援技伤害+{1}%	{7}	{25,80}
1084	4	1		{7011008,4}	rogue3.science_des_108_1	支援技伤害+{1}%	{7}	{25,80}
1085	5	1		{7011008,5}	rogue3.science_des_108_1	支援技伤害+{1}%	{7}	{25,80}
1091	1	4	{10}		rogue3.science_des_109_1	复活需要的功勋点数减少{1}%	{10}	{25,80}
1092	2	4	{5}		rogue3.science_des_109_1	复活需要的功勋点数减少{1}%	{5}	{25,60}
1093	3	4	{5}		rogue3.science_des_109_1	复活需要的功勋点数减少{1}%	{5}	{25,70}
1094	4	4	{10}		rogue3.science_des_109_1	复活需要的功勋点数减少{1}%	{10}	{25,90}
1095	5	4	{20}		rogue3.science_des_109_1	复活需要的功勋点数减少{1}%	{20}	{25,120}
1101	1	1		{7011009,1}	rogue3.science_des_110_1	耐力+{1}%	{10}	{25,80}
1102	2	1		{7011009,2}	rogue3.science_des_110_1	耐力+{1}%	{10}	{25,80}
1103	3	1		{7011009,3}	rogue3.science_des_110_1	耐力+{1}%	{10}	{25,80}
1104	4	1		{7011009,4}	rogue3.science_des_110_1	耐力+{1}%	{10}	{25,80}
1105	5	1		{7011009,5}	rogue3.science_des_110_1	耐力+{1}%	{10}	{25,80}
1111	1	5			rogue3.science_des_111_1	选择路线时可查看突发战况中的敌方的阵容信息		{25,120}
1112	2	5			rogue3.science_des_111_2	选择路线时可查看突发事件的随机范围		{25,120}
1113	3	5			rogue3.science_des_111_3	选择路线时可查看突发战况中的掉落内容		{25,120}
1121	1	6	{10}		rogue3.science_des_112_1	移除战术干扰需要的功勋点数-{1}%	{10}	{25,80}
1122	2	6	{5}		rogue3.science_des_112_1	移除战术干扰需要的功勋点数-{1}%	{5}	{25,60}
1123	3	6	{10}		rogue3.science_des_112_1	移除战术干扰需要的功勋点数-{1}%	{10}	{25,70}
1124	4	6	{10}		rogue3.science_des_112_1	移除战术干扰需要的功勋点数-{1}%	{10}	{25,90}
1125	5	6	{15}		rogue3.science_des_112_1	移除战术干扰需要的功勋点数-{1}%	{15}	{25,120}
1131	1	7	{104}		rogue3.science_des_113_1	解锁新天赋：铁卫		{25,300}
1141	1	1		{7011010,1}	rogue3.science_des_114_1	移动速度+{1}%	{4}	{25,80}
1142	2	1		{7011010,2}	rogue3.science_des_114_1	移动速度+{1}%	{4}	{25,80}
1143	3	1		{7011010,3}	rogue3.science_des_114_1	移动速度+{1}%	{4}	{25,80}
1144	4	1		{7011010,4}	rogue3.science_des_114_1	移动速度+{1}%	{4}	{25,80}
1145	5	1		{7011010,5}	rogue3.science_des_114_1	移动速度+{1}%	{4}	{25,80}
1151	1	1		{7011011,2}	rogue3.science_des_115_1	狙击枪弹夹量+{1}	{2}	{25,80}
1152	2	1		{7011012,1}	rogue3.science_des_115_2	狙击枪射击速度+{1}%	{5}	{25,60}
1153	3	1		{7011011,4}	rogue3.science_des_115_1	狙击枪弹夹量+{1}	{2}	{25,70}
1154	4	1		{7011012,3}	rogue3.science_des_115_2	狙击枪射击速度+{1}%	{10}	{25,90}
1155	5	1		{7011013,3}	rogue3.science_des_115_5	狙击枪射击造成的伤害+{1}%	{15}	{25,120}
1161	1	1		{7011014,1}	rogue3.science_des_116_1	电击伤害+{1}%	{5}	{25,80}
1162	2	1		{7011015,2}	rogue3.science_des_116_2	电击抗性+{1}%	{6}	{25,60}
1163	3	1		{7011014,2}	rogue3.science_des_116_1	电击伤害+{1}%	{5}	{25,70}
1164	4	1		{7011015,5}	rogue3.science_des_116_2	电击抗性+{1}%	{9}	{25,90}
1165	5	1		{7011014,4}	rogue3.science_des_116_1	电击伤害+{1}%	{10}	{25,120}
1171	1	1		{7011016,2}	rogue3.science_des_117_1	冲锋枪弹夹量+{1}	{10}	{25,80}
1172	2	1		{7011017,2}	rogue3.science_des_117_2	冲锋枪射击速度+{1}%	{6}	{25,60}
1173	3	1		{7011016,3}	rogue3.science_des_117_1	冲锋枪弹夹量+{1}	{5}	{25,70}
1174	4	1		{7011017,4}	rogue3.science_des_117_2	冲锋枪射击速度+{1}%	{6}	{25,90}
1175	5	1		{7011018,3}	rogue3.science_des_117_5	冲锋枪射击造成的伤害+{1}%	{15}	{25,120}
1181	1	1		{7011019,1}	rogue3.science_des_118_1	暴击率+{1}%	{6}	{25,80}
1182	2	1		{7011019,2}	rogue3.science_des_118_1	暴击率+{1}%	{6}	{25,80}
