buffid	备注	效果分类1	效果分类2	名称	图标	描述	描述备注	描述中的数值	图鉴显示（1buff 2道具 3诅咒）	角色限制	武器限制	科技限制	前置buff	所属套装	套装名称（图鉴用）	所属套装备注	buff类型（1.全局  2.个人  3.通用可叠加)	SkillInfoId	SkillEffect	品质	在商店中的价格	丢掉时补偿的代币
Buffid	Comment	TagComment	TagID	Name	Icon	Des	DesComment	BuffParamPerCount	ManualType	CardLimit	WeaponLimit	ScienceLimit	PrepositionLimit	SuitType	SuitTypeName	SuitTypeComment	ApplyType	SkillInfo	SkillEffect	Quality	Price	DiscardPrice
999	生命值+10%，可叠加99层	生命提升	{1}	rogue3.buff_name_0_2	1001088	rogue3.buff_des_0_2	生命值提升10%，此效果最多叠加至99层							0			3	{7015002}		3	120	40
1000	攻击力+10%，可叠加99层	攻击提升	{2}	rogue3.buff_name_0	1001086	rogue3.buff_des_0	攻击力提升20%，此效果最多叠加至99层							0			3	{7015001}		3	120	40
1001	射击伤害提升25%/35%	射击强化	{3}	rogue3.buff_name_1	1001118	rogue3.buff_des_1	射击伤害提升{1}%	{25}	1					1	rogue3.talent_name_101	威势	1		{700011101}	1	60	20
1002	攻击力提升20%/30%	攻击提升	{2}	rogue3.buff_name_2	1001086	rogue3.buff_des_2	攻击力提升{1}%	{20}	1					1	rogue3.talent_name_101	威势	1		{700011102}	1	60	20
1003	技能伤害提高25%/35%	技能强化	{4}	rogue3.buff_name_3	1001094	rogue3.buff_des_3	技能伤害提升{1}%	{25}	1					1	rogue3.talent_name_101	威势	1		{700011103}	1	60	20
1004	受到伤害后使造成伤害提高35%/50%，持续5秒	伤害提升	{5}	rogue3.buff_name_4	1001086	rogue3.buff_des_4	队员在受到伤害后，造成的伤害提升{1}%，持续5秒	{35}	1					1	rogue3.talent_name_101	威势	1		{700011201}	2	90	30
1005	对自身10米内的敌人造成伤害提高35%/50%	伤害提升	{5}	rogue3.buff_name_5	1001086	rogue3.buff_des_5	对自身周围10米范围内目标造成的伤害提升{1}%	{50}	1					1	rogue3.talent_name_101	威势	2		{700011202}	2	90	30
1006	射击命中弱点后，技能伤害提高30%/45%，持续5秒	技能强化	{4}	rogue3.buff_name_6	1001118	rogue3.buff_des_6	射击命中弱点后，技能伤害提升{1}%，持续5秒	{30}	1					1	rogue3.talent_name_101	威势	1		{700011203}	2	90	30
1007	每次击杀敌人，使下一次造成的伤害提高50%/75%	伤害提升	{5}	rogue3.buff_name_7	1001085	rogue3.buff_des_7	每次击败目标后的下一次造成的伤害提升{1}%	{50}	1					1	rogue3.talent_name_101	威势	1		{700011204}	2	90	30
1008	造成的伤害提高45%/65%，但造成伤害时有5%概率消耗自身5%当前生命值，角色不会因此效果死亡，每秒最多消耗1次	伤害提升	{5}	rogue3.buff_name_8	1001086	rogue3.buff_des_8	造成的伤害提升{1}%，但造成伤害时有5%概率消耗自身5%当前生命，触发间隔1秒，队员不会因此倒下	{65}	1					1	rogue3.talent_name_101	威势	2		{700011301}	3	120	40
1009	支援技急速增加20/30，且获得20%/30%场下伤害提升	技能强化	{4}	rogue3.buff_name_9	1001094	rogue3.buff_des_9	支援技的技能急速增加{1}，队员处于场下时造成的伤害提升{2}%	{20,20}	1					1	rogue3.talent_name_101	威势	1		{700011302}	3	120	40
1010	在弹匣内装填一颗震撼弹药，每次装填后下一次射击对敌人造成眩晕，持续1/1.5秒，触发间隔4秒，首领敌人免疫2秒以下的控制效果	控制	{6}	rogue3.buff_name_10	1001116	rogue3.buff_des_10	每次换弹后第一颗子弹具备震荡功能，该次射击会对目标施加持续{1}秒的眩晕效果，触发间隔4秒	{1}	1					1	rogue3.talent_name_101	威势	1		{700011303}	3	120	40
1011	击杀敌人获得9%/13%的全伤害提升，持续10秒，可以叠加5层	伤害提升	{5}	rogue3.buff_name_11	1001086	rogue3.buff_des_11	击败目标时全伤害提升{1}%，持续10秒，最多叠加至5层	{9}	1					1	rogue3.talent_name_101	威势	1		{700011304}	3	120	40
1012	基础射击速度降低10%，但每次射击有20%/30%概率造成两次伤害	射击强化	{3}	rogue3.buff_name_12	1001112	rogue3.buff_des_12	射击速度降低10%，但每次射击有{1}%概率造成2次伤害	{20}	1					1	rogue3.talent_name_101	威势	1		{700011305}	3	120	40
