字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
page0.1	真的要进去吗？	真的要進去嗎？	ほ……本当に入るの？	진짜 들어갈 거야?	Are we really going in?						0	
page0.2	来都来了。	來都來了。	ああ、ここまで来たんだし。	온 김에 그러지뭐.	Well, we've come this far.						0	
page0.3	之前没说过还有这种挑战呀！	之前沒說過還有這種挑戰呀！	こんなのまであるなんて聞いてないわよ……！	전에 이런 도전이 있다고 말한 적이 없었잖아!	You didn't say anything about a haunted house challenge!						0	
page0.4	怎么，天不怕地不怕的芬妮也害怕恐怖屋？	怎麼，天不怕不怕的芬妮也怕鬼屋？	ん？恐いものなしのファニーでも、肝試しは恐いのか？	왜, 하늘도 땅도 두렵지 않은 페니도 공포의 집을 무서워하지?	What, the fearless Fenny is scared of a haunted house?						0	
page0.5	谁、谁说本小姐害怕了。	誰、誰說本小姐害怕了。	だ、誰が恐いですって！？	누가 겁먹었대?	Wh—Who said I'm scared?						0	
page0.6	无非就是套着白床单、戴着面具的工作人员在里面吓人而已，本小姐才不会怕这种明知是假的恐怖屋~	無非就是套著白床單、戴著面具的工作人員在裡面嚇人而已，本小姐才不會怕這種明知是假的鬼屋~	白いシーツと仮面を被ったスタッフが人を驚かせてるだけでしょ？あたしはそういう偽物で怖がったりしないから！	하얀 시트를 쓰고 가면을 쓴 스태프들이 겁을 먹었을 뿐이지, 가짜인 줄 알면서도 공포의 집을 두려워하지는 않을 거야.	It's just a maze with people in white sheets and masks trying to scare us. I'm not scared~						0	
page0.7	好好好，既然芬妮不怕，那我们就赶紧进去吧。	好好好，既然芬妮不怕，那我們就趕緊進去吧。	はいはい。ファニーが大丈夫なら、一緒に入ろうか。	그래그래, 페니가 안 무서워하니까 얼른 들어가자.	Alright then. If you're not scared, let's just get in.						0	
choice01	牵着芬妮的手前进	牽著芬妮的手前進	ファニーと手を繋いで歩く	페니의 손을 잡고 앞으로 나아간다.	Hold Fenny's hand as you proceed						0	
page1.1	这可不是我害怕，这只是防止我们走散的手段。	這可不是我害怕，這只是防止我們走散的手段。	こ、怖くなんかないからね。これは、はぐれないために手を繋いであげてるだけだから！	이것은 내가 두려운 것이 아니라 단지 우리가 흩어지는 것을 방지하는 수단일 뿐이야.	This isn't because I'm scared — it's just to make sure we don't get separated.						0	
page1.2	芬妮抓着我的手又增加了些力道。	芬妮抓著我的手又增加了些力道。	私の手を握るファニーの力がさらに強くなった。	페니는 내 손을 잡고 힘을 좀 더 냈다.	Fenny gripped your hand even tighter.						0	
page1.3	咦！好像有东西碰到我——	咦！好像有東西碰到我——	きゃっ！い、今なにかが触れたような——	어! 뭔가 나한테 닿은 것 같아.	Argh! Something just touched me!						0	
page1.4	没事，只是挂起的布条。	沒事，只是掛起的布條。	大丈夫だ。布がぶら下げてあるだけだよ。	괜찮아요, 그냥 걸려 있는 천 조각이야.	It's okay, just a hanging strip of cloth.						0	
page1.5	制止藏在芬妮旁边工作人员接下来的行动	制止藏在芬妮旁邊工作人員接下來的行動	ファニーの横に隠れてるスタッフの行動を制止する	페니 옆에 숨어있는 스태프들의 다음 행동을 제지한다.	You stopped the haunted house staff hiding near Fenny from scaring her.						0	
page1.6	啊！什么声音？！	啊！什麼聲音？！	きゃっ！な、なんの音！？	아! 무슨 소리야?！	Argh! What was that sound!?						0	
page1.7	没事，是旁边的挂件掉在地上了。	沒事，是旁邊的掛飾掉在地上了。	大丈夫だ。近くの壁に掛けていた物が落ちただけだ。	괜찮아, 옆에 있는 걸이가 바닥에 떨어졌나 봐.	Just something falling on the floor.						0	
page1.8	威胁眼前的旁边工作人员不要发出声音	威脅眼前的旁邊工作人員不要發出聲音	目の前にいるスタッフを脅して、声を出すのをやめさせる	앞에 있는 옆 스태프에게 소리 내지 말라고 협박한다.	You warned the haunted house staff in front not to make any noise.						0	
page1.9	什么嘛，恐怖屋完全不恐怖啊~	什麼嘛，鬼屋完全不恐怖啊~	なんだ、全然怖くないじゃないの！	뭐야 호러하우스는 전혀 안 무섭네~	Hmph, the haunted house isn't scary at all~						0	
page1.10	等等……	等等…	待って……	잠깐만…	Wait for it...						0	
page1.11	等什么？	等什麼？	どうしたの？	뭘 기다려?	...What?						0	
page1.12	（蹲下让芬妮看到面前的扮成丧尸的工作人员）	（蹲下讓芬妮看到面前的扮成殭屍的工作人員）	（体を屈めて、ゾンビに扮したスタッフをファニーに見せる）	(쪼그리고 앉아 페니 앞에 좀비 분장을 한 스태프)	You crouched down to let Fenny see one of the staff dressed as a zombie.						0	
page1.13	啊！！！	啊！！！	きゃあああ！！！	아!!!	Aaaargh!!!						0	
page1.14	站起来后，正好迎上重心不稳的芬妮，顺手将她抱住。	站起來後，正好迎上重心不穩的芬妮，順手將她抱住。	立ち上がり、ちょうどバランスを崩したファニーの体を受け止めた	일어나자 무게중심이 불안정한 페니를 때마침 맞으며 그녀를 안았다.	When you stood up, Fenny lost her balance and fell into your arms.						0	
page1.15	臭大木头，你居然故意吓唬我！！	臭大木頭，你居然故意嚇我！！	あんたね！！わざとあたしを驚かさないでよ！！	나쁜 놈, 네가 고의로 나를 겁주다니!!	Hey! How dare you scare me on purpose!						0	
page1.16	我不下来了！你抱着我回去吧——	我不下來了！你抱著我回去吧——	もう離してあげないから、このままあたしを連れていきなさい！	못 내려오겠어! 나를 안고 돌아가 줘…	I'm not getting down! You'll just have to carry me back!						0	
choice02	把芬妮护在身后前进	把芬妮護在身後前進	ファニーを庇いながら進む	페니를 뒤에서 감싸며 전진한다.	Shield Fenny behind you and move forward						0	
page2.1	芬妮把额头紧紧贴在我的后背上。	芬妮把額頭緊緊貼在我的背上。	ファニーは額を私の背中に押し付けた。	페니는 내 등에 이마를 바짝 붙였다.	Fenny pressed her forehead against your back.						0	
page2.2	这样的话，就什么都体验不到了哦。	這樣的話，就什麼都體驗不到了哦。	それじゃ何も体験できないだろ。	이러면 아무것도 경험할 수 없어.	I must say, you'll miss out on everything like this.						0	
page2.3	大木头你别管，这是我的玩法。出、出发吧！	大木頭你別管，這是我的玩法。出、出發吧！	あんたには関係ないわ。あたしはこのほうが楽しいの。も、もう行こ！	바보야, 상관하지 마, 이것은 나의 방식이야. 나가자, 출발하자!	None of your business. This is how I like to do this. J—Just keep moving!						0	
page2.4	和芬妮两个人一前一后慢慢向前移动。	和芬妮兩個人一前一後慢慢向前移動。	ファニーを体で庇いながら、ゆっくりと前進した。	페니와 둘이서 앞뒤로 천천히 앞으로 움직인다.	You moved forward together slowly, Fenny right behind you.						0	
page2.5	芬妮，有台阶咯，你小心。	芬妮，有台階咯，你小心。	ファニー、足元に気を付けて。階段があるんだ。	페니, 계단 있어, 조심해.	Watch the step, Fenny.						0	
page2.6	这里吗？我看不见，就只相信你了！	這裡嗎？我看不見，就只相信你了！	ここね？あたしからはなんも見えないのよ。あんたを信じるしかないんだからね！	여기? 안 보여, 너만 믿을게!	Where? I can't see... I'm just gonna trust you with myself!						0	
page2.7	（双手合掌，请求伏在地上打算抓芬妮脚的工作人员停手）	（雙手合掌，請求伏在地上打算抓芬妮腳的工作人員停手）	（地面に伏せてファニーの足を掴もうとするスタッフにやめてくれと無言で懇願する）	(두 손을 모아 바닥에 엎드려 페니의 발을 잡으려던 스태프에게 그만하라고 부탁한다.)	A staff member lying on the floor tried to grab Fenny's ankle. You gestured to him not to do that.						0	
page2.8	分析员，这么久都没有东西出来……	分析員，這麼久都沒有東西出來……	ね、ねえ分析員……しばらく何も出て来ないけど……	분석가, 이렇게 오랫동안 물건이 나오지 않았는데…	Adjutant, it's been too quiet...						0	
page2.9	不会最后来个大的吧？	不會最後來個大的吧？	最後の最後に、めちゃくちゃ怖いやつが出てきたりしないわよね？	마지막에 큰 거 나오는 거 아니야?	They're not saving up for a big scare at the end, are they?						0	
page2.10	……	……	……	…	...						0	
page2.11	要不，你睁开眼睛？	要不，你睜開眼睛？	だったら、自分の目で見てみるか？	아니면, 눈 떠볼래?	You wanna open your eyes, Fenny?						0	
page2.12	啊？什么嘛，你别吓唬我！	啊？什麼嘛，你別嚇唬我！	え？な、なによ、脅かさないでよ！	어? 뭐야, 놀라게하지 마!	Huh? Well, don't you try to scare me this time!						0	
