区域Id	唯一Id	位置X	位置Y
AreaId	Id	PosX	PosY
60	0	0.077617	-0.083740
60	1	-0.444615	0.005240
60	2	0.253004	0.273655
60	3	0.320847	-0.048741
60	4	-0.138575	-0.351928
60	5	-0.089175	0.183393
60	6	-0.161174	0.136420
60	7	-0.345079	0.092840
60	8	0.204256	-0.117359
60	9	0.215626	-0.156978
60	10	0.192862	-0.292901
60	11	0.126790	-0.300079
60	12	0.343267	0.024856
60	13	0.282685	0.022405
60	14	0.278202	-0.120687
60	15	-0.255061	0.027107
60	16	-0.184047	0.337299
60	17	0.303503	-0.494693
60	18	0.302410	0.262222
60	19	-0.361203	0.007052
60	20	-0.399802	0.070101
60	21	-0.357802	0.189614
60	22	-0.314131	0.118281
60	23	-0.042914	-0.111113
