区域Id	唯一Id	位置X	位置Y
AreaId	Id	PosX	PosY
0	0	-0.795506	-0.109933
0	1	-0.825824	-0.381217
0	2	-0.779033	-0.203493
0	3	-0.298299	-0.413902
0	4	-0.069562	-0.470548
0	5	-0.422521	0.426699
0	6	-0.615908	0.434346
0	7	-0.204272	0.608408
0	8	0.486797	0.853337
0	9	-0.478837	-0.546113
0	10	0.677035	-0.059947
0	11	-0.076806	0.588010
0	12	0.065669	-0.617366
0	13	-0.868046	-0.248169
0	14	-0.587550	-0.738987
0	15	0.595494	-0.152477
0	16	0.440877	0.725703
0	17	-0.821547	0.379095
0	19	0.391943	0.453123
0	20	0.442743	0.216042
0	22	0.471538	0.582426
0	23	0.549222	0.150209
0	24	-0.847129	-0.359576
0	25	0.625306	0.515543
0	26	0.644488	0.258676
0	27	-0.671118	-0.619352
0	28	-0.559524	-0.523872
0	29	0.516291	-0.082070
0	30	0.474367	0.336123
0	31	0.664492	0.354718
0	32	0.501542	0.594661
0	33	-0.811591	-0.060750
0	34	0.390179	0.420696
0	35	0.646052	0.491606
0	36	-0.247882	-0.855643
0	37	-0.549284	-0.125420
0	38	-0.647081	-0.652976
0	39	0.615159	0.267050
0	40	0.784409	0.186836
0	44	0.563706	0.169557
0	45	0.468801	0.210814
0	48	-0.781945	-0.252520
0	50	0.651547	0.277753
0	51	-0.212489	-0.088373
0	52	0.388597	0.496562
0	53	-0.857534	-0.315913
