区域Id	唯一Id	位置X	位置Y
AreaId	Id	PosX	PosY
51	0	-0.000151	0.635456
51	1	0.135209	-0.627683
51	2	0.514339	-0.280210
51	3	0.393048	-0.443707
51	4	0.652619	-0.020964
51	5	0.686241	-0.159790
51	6	-0.030947	0.581701
51	7	0.486250	0.271480
51	8	0.168184	-0.235987
51	9	0.624416	0.205226
51	10	0.755981	0.062556
51	11	-0.310400	-0.340309
51	12	0.238045	0.331885
51	13	-0.431966	-0.210964
51	14	0.175792	0.320445
51	15	0.061541	0.433597
51	16	0.442824	0.185375
51	17	-0.011182	-0.175781
51	18	0.588972	0.293522
51	19	-0.362718	-0.087537
51	20	-0.226525	-0.196231
51	21	0.118989	0.454810
51	22	-0.710827	-0.489640
51	23	-0.337637	-0.394613
51	24	-0.270958	-0.741091
51	25	-0.681706	-0.305204
51	26	0.281940	0.107887
51	27	0.302061	0.137848
51	28	0.346473	0.203979
51	29	0.326319	0.173970
51	30	0.291984	0.122844
51	31	0.327066	0.175081
51	32	0.355056	0.216760
51	33	0.392482	0.236839
