区域Id	唯一Id	位置X	位置Y
AreaId	Id	PosX	PosY
90	0	-0.036821	0.272753
90	1	-0.243456	0.194033
90	2	0.589250	-0.346412
90	3	-0.164483	-0.452590
90	4	-0.469698	0.440189
90	5	0.777892	-0.075226
90	6	-0.518341	0.318521
90	7	0.483405	0.398675
90	8	-0.446106	-0.033685
90	9	0.599004	-0.319456
90	10	0.602538	-0.000871
90	11	-0.611918	0.070883
90	12	0.351209	0.512078
90	13	-0.639551	-0.220555
90	14	-0.644969	-0.104372
90	15	-0.540920	0.146386
90	16	0.399221	-0.038449
90	17	-0.191649	0.261859
90	18	0.286591	-0.180971
90	19	-0.571387	0.051716
90	20	-0.266515	0.338791
90	21	-0.340707	-0.204944
