所属的期数ID，同main.txt的ID列	到达该等级所需的经验值	升级到下一级所需经验值	到达该等级后要发放的奖励，只能填一个{G,D,P,L,N}
SessionID	Level	NextLevelEXP	Award
1	1	1000	
1	2	1000	{4,3,1,1,2500}
1	3	1000	{4,1,6,5,5}
1	4	1000	{4,3,1,1,2500}
1	5	1000	{4,1,6,5,5}
1	6	1000	{4,3,1,1,5000}
1	7	1000	{4,1,6,5,10}
1	8	1000	{4,3,1,1,5000}
1	9	1000	{4,1,6,5,10}
1	10	1000	{4,3,1,1,5000}
1	11	1000	{4,1,6,5,10}
1	12	1000	{4,3,1,1,7500}
1	13	1000	{4,1,6,5,10}
1	14	1000	{4,3,1,1,7500}
1	15	1000	{4,1,6,5,10}
1	16	1000	{4,3,1,1,10000}
1	17	1000	{4,1,6,5,10}
1	18	1000	{4,3,1,1,10000}
1	19	1000	{4,1,6,5,10}
1	20	1000	{11,1,56,1,1}
1	21	1000	{4,1,6,5,10}
1	22	1000	{4,3,1,1,12500}
1	23	1000	{4,1,6,5,10}
1	24	1000	{4,3,1,1,12500}
1	25	1000	{4,1,6,5,15}
1	26	1000	{4,3,1,1,12500}
1	27	1000	{4,1,6,5,15}
1	28	1000	{4,3,1,1,15000}
1	29	1000	{4,1,6,5,15}
1	30	0	{4,3,1,1,15000}
