ID	备注	词条组	词条名称	词条组
ID	DES	tbEntries	EntriesTitle	EntriesDes
1	必出池	{4,5,6,9,10,11,12,13,14,41,42,43}	seasonboss.boss2003	seasonboss.boss2003
2	25%高热类型伤害抗性	{15}	seasonboss.boss2003	seasonboss.boss2003
3	25%低温类型伤害抗性	{16}	seasonboss.boss2003	seasonboss.boss2003
4	25%电击类型伤害抗性	{17}	seasonboss.boss2003	seasonboss.boss2003
5	25%特异类型伤害抗性	{18}	seasonboss.boss2003	seasonboss.boss2003
6	25%动能类型伤害抗性	{19}	seasonboss.boss2003	seasonboss.boss2003
7	【难度3词条-1】角色移动速度降低10%	{20}	seasonboss.boss2003	seasonboss.boss2003
8	【难度3词条-1】角色最大生命降低10%	{21}	seasonboss.boss2003	seasonboss.boss2003
9	【难度3词条-1】角色疾跑时，耐力消耗提升15%	{22}	seasonboss.boss2003	seasonboss.boss2003
10	【难度3词条-1】常规能量回复速度降低15%	{23}	seasonboss.boss2003	seasonboss.boss2003
11	【难度3词条-1】全队受治疗效果降低15%	{24}	seasonboss.boss2003	seasonboss.boss2003
12	【难度3词条-1】全队防御力降低12%	{25}	seasonboss.boss2003	seasonboss.boss2003
13	【难度7词条-1】角色造成的射击伤害降低10%	{26}	seasonboss.boss2003	seasonboss.boss2003
14	【难度7词条-1】角色造成的技能伤害降低10%	{27}	seasonboss.boss2003	seasonboss.boss2003
15	【难度7词条-1】全队换弹速度降低10%	{28}	seasonboss.boss2003	seasonboss.boss2003
16	【难度7词条-1】全队暴击率降低10%	{29}	seasonboss.boss2003	seasonboss.boss2003
17	【难度7词条-1】全队暴击伤害增幅降低20%	{30}	seasonboss.boss2003	seasonboss.boss2003
18	【难度7词条-1】全队瞄准射击伤害降低20%	{31}	seasonboss.boss2003	seasonboss.boss2003
19	【难度7词条-1】全队非瞄准射击伤害降低20%	{32}	seasonboss.boss2003	seasonboss.boss2003
20	【难度7词条-1】全队爆发能量获取率降低20%	{33}	seasonboss.boss2003	seasonboss.boss2003
21	【难度8词条-2】编号1	{34,35}	seasonboss.boss2003	seasonboss.boss2003
22	【难度8词条-2】编号2	{36,37}	seasonboss.boss2003	seasonboss.boss2003
23	【难度8词条-2】编号3	{38,40}	seasonboss.boss2003	seasonboss.boss2003
24	【难度8词条-2】编号4	{39,40}	seasonboss.boss2003	seasonboss.boss2003
25	【难度8词条-2】切换角色后，全队造成的伤害降低4%，持续15秒，最多叠加5层	{34}	seasonboss.boss2003	seasonboss.boss2003
26	【难度8词条-2】切换角色后，全队受到的伤害提升4%，持续15秒，最多叠加5层	{35}	seasonboss.boss2003	seasonboss.boss2003
27	【难度8词条-2】全队角色生命高于50%时，造成的伤害降低18%	{36}	seasonboss.boss2003	seasonboss.boss2003
28	【难度8词条-2】全队角色生命低于50%时，受到的伤害提升18%	{37}	seasonboss.boss2003	seasonboss.boss2003
29	【难度8词条-2】战术闪避后，技能伤害降低18%，持续5秒	{38}	seasonboss.boss2003	seasonboss.boss2003
30	【难度8词条-2】战术闪避后，射击伤害降低18%，持续5秒	{39}	seasonboss.boss2003	seasonboss.boss2003
31	【难度8词条-2】战术闪避后，受到的伤害提升15%，持续5秒	{40}	seasonboss.boss2003	seasonboss.boss2003
32	【难度8词条-2】首领受到伤害减少50%，每经过10秒，首领受到伤害提升20%，最多叠加5层	{44}	seasonboss.boss2003	seasonboss.boss2003
33	【难度8词条-2】首领前30秒免疫控制	{45}	seasonboss.boss2003	seasonboss.boss2003
34	【难度8词条-2】首领生命值高于50%时，受到的伤害降低50%同时每秒损失2%最大护盾或最大生命，优先扣除护盾	{46}	seasonboss.boss2003	seasonboss.boss2003
35	【难度8词条-2】战斗开始后20秒内，首领受到超过自身50%最大生命的伤害后，获得80%的伤害减免，持续20秒	{47}	seasonboss.boss2003	seasonboss.boss2003
36	【难度8词条-2】首领受到射击伤害时，如果是暴击伤害则角色当次射击伤害降低30%；如果是非暴击伤害，则角色当次射击伤害提升20%	{48}	seasonboss.boss2003	seasonboss.boss2003
1001	本关挑战时间时间限制为60秒	{1001}	seasonboss.seasonbossname13	seasonboss.seasonbossdes13
1101	上期期战区一难度抗性	{1106,1108,1105,1102}	seasonboss.seasonbossname9	seasonboss.seasonbossdes9
1102	上期期战区二难度抗性	{1110,1107,1103,1101}	seasonboss.seasonbossname10	seasonboss.seasonbossdes10
1103	下期期战区一难度抗性	{1109,1107,1103,1101}	seasonboss.seasonbossname11	seasonboss.seasonbossdes11
1104	下期期战区二难度抗性	{1107,1108,1104,1105}	seasonboss.seasonbossname12	seasonboss.seasonbossdes12
1105	2.5上期期战区一难度抗性（弱点：电击低温 抗性：特异动能）	{1107,1108,1104,1105}	seasonboss.seasonbossname14	seasonboss.seasonbossdes14
1106	2.5上期期战区二难度抗性（弱点：动能特异 抗性：低温高热）	{1109,1110,1101,1102}	seasonboss.seasonbossname15	seasonboss.seasonbossdes15
1107	2.5下期期战区一难度抗性（弱点：电击高热 抗性：低温特异）	{1106,1108,1102,1104}	seasonboss.seasonbossname16	seasonboss.seasonbossdes16
1108	2.5下期期战区二难度抗性（弱点：特异低温 抗性：电击高热）	{1109,1107,1103,1101}	seasonboss.seasonbossname17	seasonboss.seasonbossdes17
1109	2.6上期期战区一难度抗性（弱点：特异动能 抗性：电击低温）	{1109,1110,1102,1103}	seasonboss.seasonbossname26	seasonboss.seasonbossdes26
1110	2.6上期期战区一难度抗性（弱点：电击高热 抗性：特异动能）	{1108,1106,1104,1105}	seasonboss.seasonbossname27	seasonboss.seasonbossdes27
1111	2.6下期期战区一难度抗性（弱点：特异高热 抗性：电击低温）	{1109,1106,1102,1103}	seasonboss.seasonbossname28	seasonboss.seasonbossdes28
1112	2.6下期期战区二难度抗性（弱点：特异低温 抗性：高热动能）	{1109,1107,1101,1105}	seasonboss.seasonbossname29	seasonboss.seasonbossdes29
1113	2.7上期期战区一难度抗性（弱点：高热低温 抗性：电击动能）	{1106,1107,1103,1105}	seasonboss.seasonbossname101	seasonboss.seasonbossdes101
1114	2.7上期期战区一难度抗性（弱点：特异动能 抗性：低温电击）	{1109,1110,1102,1103}	seasonboss.seasonbossname102	seasonboss.seasonbossdes102
1115	2.7下期期战区一难度抗性（弱点：低温特异 抗性：高热电击）	{1109,1107,1103,1101}	seasonboss.seasonbossname103	seasonboss.seasonbossdes103
1116	2.7下期期战区二难度抗性（弱点：特异高热 抗性：动能低温）	{1109,1106,1105,1102}	seasonboss.seasonbossname104	seasonboss.seasonbossdes104
1117	2.8上期期战区一难度抗性（弱点：高热电击 抗性：特异功能）	{1106,1108,1104,1105}	seasonboss.seasonbossname113	seasonboss.seasonbossdes113
1118	2.8上期期战区一难度抗性（弱点：特异低温 抗性：动能高热）	{1109,1107,1105,1101}	seasonboss.seasonbossname114	seasonboss.seasonbossdes114
1119	2.8下期期战区一难度抗性（弱点：高热动能 抗性：电击低温）	{1106,1110,1103,1102}	seasonboss.seasonbossname115	seasonboss.seasonbossdes115
1120	2.8下期期战区二难度抗性（弱点：特异功能 抗性：高热电击）	{1109,1110,1101,1103}	seasonboss.seasonbossname116	seasonboss.seasonbossdes116
1121	3.0上期期战区一难度抗性（弱点：低温动能 抗性：电击高热）	{1107,1110,1103,1101}	seasonboss.seasonbossname125	seasonboss.seasonbossdes125
1122	3.0上期期战区一难度抗性（弱点：高热低温 抗性：动能特异）	{1106,1107,1105,1104}	seasonboss.seasonbossname126	seasonboss.seasonbossdes126
1123	3.0上期期战区一难度抗性（弱点：电击动能 抗性：低温特异）	{1108,1110,1102,1104}	seasonboss.seasonbossname127	seasonboss.seasonbossdes127
1124	3.0上期期战区一难度抗性（弱点：低温特异 抗性：高热动能）	{1107,1109,1101,1105}	seasonboss.seasonbossname128	seasonboss.seasonbossdes128
1125	噬体的低温/电击类型抗性降低30%，同时特异/高热类型抗性提升30%。	{1107,1108,1104,1101}	seasonboss.seasonbossname137	seasonboss.seasonbossdes137
