角色账号等级	怪物等级（直接取配置值）
PlayerLevel	MonsLevel
1	10
2	10
3	10
4	10
5	10
6	10
7	10
8	10
9	10
10	10
11	10
12	10
13	10
14	10
15	10
16	11
17	12
18	13
19	14
20	15
21	16
22	17
23	18
24	19
25	20
26	21
27	22
28	23
29	24
30	25
31	26
32	27
33	28
34	29
35	30
36	31
37	32
38	33
39	34
40	35
41	36
42	37
43	38
44	39
45	40
46	41
47	42
48	43
49	44
50	45
51	46
52	47
53	48
54	49
55	50
56	51
57	52
58	53
59	54
60	55
61	56
62	57
63	58
64	59
65	60
66	61
67	62
68	63
69	64
70	65
71	66
72	67
73	68
74	69
75	70
76	71
77	72
78	73
79	74
80	75
