ID	注释	推荐角色数量	推荐角色平均等级	推荐武器稀有度	推荐武器平均等级	推荐后勤稀有度	推荐后勤数量	推荐后勤套装数	推荐后勤平均等级	推荐神经激活数	同步率	天启	角色权重	武器权重	后勤权重	比较的百分比	战力权重
ID	Comment	CardNum	CardLevel	WeaponColor	WeaponLevel	SupportColor	SupportNum	SupportSuit	SupportLevel	NodeNum	ProLevel	CardBreak	CardWeight	WeaponWeight	SupportWeight	ComparePercent	PowerWeight
1	1	1	1	3	1	0	{0,0,0}	{0,0,0}	0	{0,0,0}	{0,0,0}	{0,0,0}	12	3	3	0.65	{1,1,1}
2	2	1	1	3	1	0	{0,0,0}	{0,0,0}	0	{0,0,0}	{0,0,0}	{0,0,0}	12	3	3	0.66	{1,1,1}
3	3	2	1	3	1	0	{0,0,0}	{0,0,0}	0	{0,0,0}	{0,0,0}	{0,0,0}	12	3	3	0.67	{1,1,1}
4	4	2	2	3	1	0	{0,0,0}	{0,0,0}	0	{0,0,0}	{0,0,0}	{0,0,0}	12	3	3	0.68	{1,1,1}
5	5	2	2	3	2	0	{0,0,0}	{0,0,0}	0	{0,0,0}	{0,0,0}	{0,0,0}	12	3	3	0.69	{1,1,1}
6	6	3	3	3	2	0	{0,0,0}	{0,0,0}	0	{0,0,0}	{0,0,0}	{0,0,0}	12	3	3	0.7	{1,1,1}
7	7	3	3	3	3	0	{0,0,0}	{0,0,0}	0	{0,0,0}	{0,0,0}	{0,0,0}	12	3	3	0.71	{1,1,1}
8	8	3	4	3	3	0	{0,0,0}	{0,0,0}	0	{0,0,0}	{0,0,0}	{0,0,0}	12	3	3	0.72	{1,1,1}
9	9	3	4	3	4	0	{0,0,0}	{0,0,0}	0	{0,0,0}	{0,0,0}	{0,0,0}	12	3	3	0.73	{1,1,1}
10	10	3	5	3	5	0	{0,0,0}	{0,0,0}	0	{0,0,0}	{0,0,0}	{0,0,0}	12	3	3	0.74	{1,1,1}
11	11	3	6	3	6	0	{0,0,0}	{0,0,0}	0	{0,0,0}	{0,0,0}	{0,0,0}	12	3	3	0.75	{1.2,1,0.8}
12	12	3	7	3	7	0	{0,0,0}	{0,0,0}	0	{0,0,0}	{0,0,0}	{0,0,0}	12	3	3	0.76	{1.2,1,0.8}
