篇章ID	//备注	所属界面（1启程，2世遇，3困难）	所属篇章	包含章节(对应chapter_main.txt的ID）	章节列表类型(有几章就填几）	内容描述	难度
ID	Comments	UiType	GroupID	ChapterID	ChapterType	ChapterGroupDes	Difficult
1	零区篇	1	1			ui.TxtChapterGroup1	1
2	初入零区	1	1	{1,2,3,4}	4	ui.TxtChapterGroup2	1
3	中庭纷争	1	1	{5,6,7,8}	4	ui.TxtChapterGroup3	1
4	雪落不息	1	1	{9,10,11}	3	ui.TxtChapterGroup4	1
5	耶洛沙篇	1	5	{12,13,14}	3	ui.TxtChapterGroup5	1
6	新恒提罗篇	1	6	{15,16,17}	3	ui.TxtChapterGroup6	1
7	朔州上	1	7	{18,19}	2	ui.TxtChapterGroup7	1
8	朔州下	2	8	{20}	1	ui.TxtChapterGroup8	1
9	菲洛索亚篇	2	9	{21,22,23,24}	4	ui.TxtChapterGroup9	1
10	汇流篇	2	10	{26,27}	2	ui.TxtChapterGroup11	1
11	阿尔斯特篇	2	11	{28,29}	2	ui.TxtChapterGroup12	1
							
99	序章	2	99	{25}	1	ui.TxtChapterGroup10	1
100	DLC	2	100		1		1
101	零区篇	3	101			ui.TxtChapterGroup1	2
102	初入零区	3	101	{1,2,3,4}	4	ui.TxtChapterGroup2	2
103	中庭纷争	3	101	{5,6,7,8}	4	ui.TxtChapterGroup3	2
104	雪落不息	3	101	{9,10,11}	3	ui.TxtChapterGroup4	2
