唯一Id	类型	Pos	Rot	区域	传送点	时间类型	自定义参数1	自定义参数2	自定义参数3
Id	Type	Pos	Rot	Area	TimeType	TeleportPoint	CustomParam1	CustomParam2	CustomParam3
1	10000	{-48570.0,-58000.0,0.0}	{0.0,90.0,0.0}	0	0	{0.0,0.0,0.0,0.0}	0	0	0
2	10001	{67430.0,58000.0,0.0}	{0.0,90.0,0.0}	0	0	{0.0,0.0,0.0,0.0}	0	0	0
3	7	{17787.0,-38231.1,348.8}	{0.0,-46.8,0.0}	2	1	{0.0,0.0,0.0,0.0}	611	12	0
4	7	{29550.4,-36207.1,401.2}	{0.0,42.9,0.0}	2	1	{0.0,0.0,0.0,0.0}	612	12	0
5	7	{31591.4,-36375.2,414.9}	{0.0,-135.0,-180.0}	2	1	{0.0,0.0,0.0,0.0}	613	12	0
6	7	{27687.4,-32599.7,99.5}	{0.0,-51.7,90.0}	2	1	{0.0,0.0,0.0,0.0}	614	12	0
7	7	{25735.7,-29179.6,413.6}	{0.0,-135.0,-180.0}	2	1	{0.0,0.0,0.0,0.0}	615	12	0
8	7	{27858.2,-29276.6,382.1}	{0.0,-135.0,-180.0}	2	1	{0.0,0.0,0.0,0.0}	616	12	0
9	7	{21093.0,-31711.0,389.2}	{0.0,0.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	617	12	0
10	7	{19925.7,-32455.8,389.2}	{0.0,-29.5,0.0}	2	1	{0.0,0.0,0.0,0.0}	618	12	0
11	7	{17105.6,-34936.0,36.6}	{90.0,0.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	619	12	0
12	7	{15869.9,-31815.8,529.5}	{0.0,0.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	620	12	0
13	7	{15375.0,-29909.3,426.3}	{0.0,0.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	621	12	0
14	7	{16187.5,-25973.7,770.5}	{0.0,0.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	622	12	0
15	7	{15237.9,-23653.4,900.8}	{0.0,0.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	623	12	0
16	7	{17306.5,-24456.9,2313.5}	{90.0,0.0,-14.5}	2	1	{0.0,0.0,0.0,0.0}	624	12	0
17	7	{20298.2,-20109.5,2490.0}	{71.0,-118.0,108.1}	2	1	{0.0,0.0,0.0,0.0}	625	12	0
18	7	{15084.6,-21897.3,1693.9}	{17.3,24.4,-80.3}	2	1	{0.0,0.0,0.0,0.0}	626	12	0
19	7	{24235.4,-22532.5,2587.2}	{31.3,2.5,4.8}	2	1	{0.0,0.0,0.0,0.0}	627	12	0
20	7	{24718.8,-24135.3,2445.1}	{0.0,0.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	628	12	0
21	7	{14501.6,-31351.6,1126.0}	{-17.8,-2.4,7.7}	2	1	{0.0,0.0,0.0,0.0}	629	12	0
22	7	{15580.0,-27873.7,784.6}	{0.0,0.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	630	12	0
23	7	{34092.1,-34077.4,1146.0}	{0.0,14.1,0.0}	2	2	{0.0,0.0,0.0,0.0}	922	15	0
24	7	{31164.0,-38211.8,1146.0}	{0.0,14.1,0.0}	2	2	{0.0,0.0,0.0,0.0}	923	15	0
25	7	{26228.0,-25736.0,1262.0}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	924	15	0
26	7	{25456.0,-34477.0,435.0}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	925	15	0
27	7	{20537.5,-28073.0,1433.5}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	926	15	0
28	7	{20113.0,-40334.4,137.1}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	927	15	0
29	7	{12341.2,-33099.6,981.0}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	928	15	0
30	7	{16676.5,-30634.5,1312.3}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	929	15	0
31	7	{29086.0,-24338.0,3714.0}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	930	15	0
32	7	{15101.0,-22632.0,1648.0}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	931	15	0
33	7	{28827.1,-38514.7,174.6}	{0.0,0.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	521	11	0
34	7	{27424.6,-32350.9,257.1}	{0.0,0.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	522	11	0
35	7	{27891.2,-27628.8,443.3}	{0.0,0.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	523	11	0
36	7	{23004.5,-28561.2,297.8}	{0.0,0.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	524	11	0
37	7	{18698.2,-26608.1,297.8}	{0.0,0.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	525	11	0
38	7	{16266.9,-36895.6,128.5}	{0.0,0.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	526	11	0
39	7	{17356.0,-42300.0,360.9}	{0.0,0.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	527	11	0
40	7	{14357.6,-24347.8,2238.8}	{0.0,0.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	528	11	0
41	7	{24517.3,-38252.0,11.3}	{0.0,-66.4,0.0}	2	0	{0.0,0.0,0.0,0.0}	861	7	21
42	7	{17295.8,-42776.4,168.7}	{0.0,39.7,0.0}	2	0	{0.0,0.0,0.0,0.0}	862	7	22
43	7	{31687.1,-38727.3,126.7}	{0.0,-136.2,0.0}	2	1	{0.0,0.0,0.0,0.0}	791	10	0
44	7	{22081.6,-38302.8,67.2}	{0.0,-179.9,0.0}	2	1	{0.0,0.0,0.0,0.0}	792	10	0
45	7	{14975.6,-38287.9,12.2}	{0.0,-88.2,0.0}	2	1	{0.0,0.0,0.0,0.0}	793	10	0
46	7	{13884.0,-32774.6,-39.1}	{16.2,102.8,3.6}	2	1	{0.0,0.0,0.0,0.0}	794	10	0
47	7	{21930.3,-26184.6,156.4}	{0.0,-179.3,0.0}	2	1	{0.0,0.0,0.0,0.0}	795	10	0
48	7	{16113.1,-22270.1,1410.7}	{0.0,111.2,0.0}	2	1	{0.0,0.0,0.0,0.0}	796	10	0
49	7	{20141.3,-20812.1,2095.7}	{0.0,-120.6,0.0}	2	1	{0.0,0.0,0.0,0.0}	797	10	0
50	7	{29123.1,-28646.3,10.1}	{0.0,-171.4,0.0}	2	1	{0.0,0.0,0.0,0.0}	798	10	0
51	7	{20808.7,-28418.1,307.6}	{0.0,0.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	529	11	0
52	7	{27917.8,-23850.9,3567.4}	{0.0,0.0,0.0}	2	1	{0.0,0.0,0.0,0.0}	530	11	0
53	7	{35417.0,-31717.0,227.0}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	1012	14	0
54	7	{29113.0,-35837.0,214.0}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	1013	14	0
55	7	{22757.0,-41483.0,258.0}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	1014	14	0
56	7	{19577.0,-28697.0,280.0}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	1015	14	0
57	7	{15686.0,-27414.0,874.0}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	1016	14	0
58	7	{31282.0,-38245.0,126.0}	{0.0,36.6,0.0}	2	2	{0.0,0.0,0.0,0.0}	1057	16	0
59	7	{28943.0,-29829.0,-44.0}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	1058	16	0
60	7	{18396.0,-30348.0,173.5}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	1059	16	0
61	7	{14514.0,-24858.0,770.0}	{0.0,0.0,0.0}	2	2	{0.0,0.0,0.0,0.0}	1060	16	0
62	7	{22061.5,-36709.6,67.2}	{0.0,-90.0,0.0}	2	0	{0.0,0.0,0.0,0.0}	0	13	0
