活动期数	任务唯一ID	注释（程序内不使用）	任务名	任务icon	任务介绍	任务目标	类型(1-主线 2-委托)	分组（0-主任务 非0-主任务id）	区域id	接取条件(例{{1,1}})（1账号等级 2任务id 3区域id）	task任务触发条件	前置任务id	任务类型	检查值	扩展参数 不填为不限制	奖励列表,格式{{g,d,p,l,n},...}	任务追踪	激活Actor	完成任务剧情id	语音字幕ID
ActId	ID	Desc	Name	IconId	Describe	Target	Group	GroupType	AreaId	Condition	TaskCondition	PreID	Type	CheckValue	Param	Rewards	ActorId	Owactor	PlotId	SimpleDialogueID
																				
2	101		ui.MainQuest_name_01	1009017	ui.MainQuest_desc_01	ui.MainQuest_target_01	1	0	1				3	1	{6}	{{5,1,1,3,3},{4,3,1,1,3000},{4,1,9,1,300}}	233			
2	102		ui.MainQuest_name_02	1009017	ui.MainQuest_desc_02	ui.MainQuest_target_02	1	0	1			101	9	1	{5,27,1,1}	{{5,1,1,3,3},{4,3,1,1,3000},{4,1,9,1,300}}	226	179		dlc3world1
2	103		ui.MainQuest_name_03	1009017	ui.MainQuest_desc_03	ui.MainQuest_target_03	1	0	1			102	9	1	{5,27,2,1}	{{5,1,1,3,4},{4,3,1,1,3000},{4,1,9,1,300}}	224	175		
2	104		ui.MainQuest_name_04	1009017	ui.MainQuest_desc_04	ui.MainQuest_target_04	1	0	1			103	9	1	{5,27,3,1}	{{4,3,2,1,20},{4,3,1,1,3000},{4,1,9,1,300}}	225	176		dlc3world2
2	105		ui.MainQuest_name_05	1009017	ui.MainQuest_desc_05	ui.MainQuest_target_05	1	0	1			104	3	1	{6}	{{4,3,2,1,20},{4,3,1,1,6000},{4,1,9,1,300}}	233			
2	201		ui.MainQuest_name_06	1009017	ui.MainQuest_desc_06	ui.MainQuest_target_06	1	0	2			105	3	1	{8}	{{5,1,1,4,3},{4,3,1,1,3000},{4,1,9,1,300}}	234		8203102	
2	202		ui.MainQuest_name_07	1009017	ui.MainQuest_desc_07	ui.MainQuest_target_07	1	0	2			201	9	1	{5,27,4,1}	{{5,1,1,4,3},{4,3,1,1,3000},{4,1,9,1,300}}	227	39		dlc3world3
2	203		ui.MainQuest_name_08	1009017	ui.MainQuest_desc_08	ui.MainQuest_target_08	1	0	2			202	9	1	{5,27,5,1}	{{5,1,1,4,4},{4,3,1,1,3000},{4,1,9,1,300}}	228	40		
2	204		ui.MainQuest_name_09	1009017	ui.MainQuest_desc_09	ui.MainQuest_target_09	1	0	2			203	9	1	{5,27,6,1}	{{4,3,2,1,20},{4,3,1,1,3000},{4,1,9,1,300}}	229	69		dlc3world4
2	205		ui.MainQuest_name_10	1009017	ui.MainQuest_desc_10	ui.MainQuest_target_10	1	0	2			204	3	1	{8}	{{4,3,2,1,20},{4,3,1,1,6000},{4,1,9,1,300}}	234			
2	301		ui.MainQuest_name_11	1009017	ui.MainQuest_desc_11	ui.MainQuest_target_11	1	0	3			205	3	1	{9}	{{5,6,1,2,1},{4,3,1,1,3000},{4,1,9,1,300}}	235		8203103	
