ID	备注	标签信息(N代表角色or武器，M代表常驻orUP）	生效范围	蛋池限定时间	界面上是否显示时间（1代表不显示）	排序权重（越高越前）	蛋池类型区(0新手1常规2限定3常规自选UP4锁定自选UP5庆典卡池6单选7庆典单选）	保底类型（1特选，2非特选）	蛋池描述（名称，时间描述，外围描述，详情）	详细描述配置	展示资源（界面名字，资源名字{武器填视频名字，角色填spine名字}，缩放时间，初始位移点，最终位移点，缩放大小，slogan资源，展示角色GDPL，从第几秒开始循环、背景乐ID）	单抽价格{{g,d,p,l,n}}	十连价格{{g,d,p,l,n}}	特殊抽卡道具	具体蛋池内容配置{表名，表名}	保底必得{{抽卡次数,{{表名,稀有度,（具体序号）},{表名,稀有度,（具体序号）}...}},{抽卡次数,{{表名,稀有度,（具体序号）},{表名,稀有度,（具体序号）}...}}}		保底继承序列（影响UP+箱子）	概率	十连重置标记{{表名,稀有度,（具体序号）},{表名,稀有度,（具体序号）}...}	第十抽保底概率	每日抽奖次数上限	十连内概率叠加	保底内概率叠加	特殊不歪池概率叠加	指定抽数出道具	是否开启UP选择功能	显示概率	初始特殊保底	独立新手池抽取次数	展示4星道具	定轨UP自选	锁定关联池子ID	锁定关联池子确认提示	标签页UI资源关联	蛋池大图UI资源关联	是否禁止播放视频（不配正常播，1全部不播，2和谐下不播）	武器spine	获取途径	获取途径	获取途径	推荐id
ID	Comment	Tag	Coverage	PoolTime	TimeBan	Index	Type	ProtectType	Desc	detail	ShowResource	CastOne	CastTen	CastSpecial	Pool	ProtectNum	UpNum	ProtectTag	Probability	ProtectCount	ProbabilityTen	DailyTimeLimit	TenProAdd	ProtectProAdd	SpecialProAdd	AssignItem	UpSelect	UIPro	SpecialProtectNum	FreshmanTime	ShowUpCheck2	PickUp	LockedPool	LockedPoolDes	TagUI	PoolUI	PoolVideo	WeaponSpine	GetWay	GetWayIcon	GetWayText	mallsuggest
1	角色常驻池子	{1,1}	0	{202107061830,203007261159}	1	2	1		10001	{{"10001_detailtitle1","10001_detaildes11","10001_detaildes12","10001_detaildes13"},{"10001_detailtitle2","10001_detaildes21","10001_detaildes22","10001_detaildes23","10001_detaildes24","10001_detaildes25","10000_detaildes26"},{"10001_detailtitle3","10001_detaildes31","10001_detaildes32","10001_detaildes33"},{"10001_detailtitle4","10001_detaildes41","10001_detaildes42","10001_detaildes43"}}	{'uw_gacha_roledefault'}	{{5,21,1,4,1}}	{{5,21,1,4,10}}		{'pool01'}	{80,{{'pool01',5}}}		11	10001	{{'pool01',4},{'pool01',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}		{1,{1,1,1,1}}	1	{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}								1602052						120
2	武器常驻池子	{2,1}	0	{202107061830,203007261159}	1	1	1		10002	{{"10002_detailtitle1","10002_detaildes11","10002_detaildes12","10002_detaildes13"},{"10002_detailtitle2","10002_detaildes21","10002_detaildes22","10002_detaildes23","10002_detaildes24","10002_detaildes25","10000_detaildes26"},{"10002_detailtitle3","10002_detaildes31","10002_detaildes32","10002_detaildes33"}}	{'uw_gacha_weapondefault','weapon_default',2.18,{{1602089,{2,3,17,1}},{1602089,{2,5,3,1}},{1602089,{2,1,17,1}},{1602089,{2,2,17,1}},{1602089,{2,4,3,1}}}}	{{5,21,2,4,1}}	{{5,21,2,4,10}}		{'pool02'}	{60,{{'pool02',5}}}		12	10002	{{'pool02',4},{'pool02',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}			1	{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}														120
3	独立新手池子	{1,1}	0	{202107061830,203007261159}	1	999	0		10000	{{"10000_detailtitle1","10000_detaildes11","10000_detaildes12","10000_detaildes13","10000_detaildes14"},{"10000_detailtitle2","10000_detaildes21","10000_detaildes22","10000_detaildes23","10000_detaildes24","10000_detaildes25","10000_detaildes26"},{"10000_detailtitle3","10000_detaildes31","10000_detaildes32","10000_detaildes33"}}	{'uw_gacha_rolerookie'}	{{5,21,1,4,1}}	{{5,21,1,4,8}}		{'pool00'}	{40,{{'pool00',5}}}		13	10001	{{'pool00',4},{'pool00',5}}	10003	0						{{5,{0.7,2.33}},{4,{8,13.29}},{3,{91.3,84.38}}}		50						1602099						120
4	辉夜UP池【安卡希雅-辉夜】	{1,2}	0	{202405011000,202405300400}		200	2	2	10003	{{"10033_detailtitle4","10033_detaildes41","10033_detaildes42"},{"10003_detailtitle1","10003_detaildes11","10003_detaildes12","10003_detaildes13","10003_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10003_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl001a','/Game/Spine/Hero/Girl001a/GachaGirl_001a.GachaGirl_001a',0.3,{0,0},{0,0},{1.2,1},1602066,{1,1,2,1},1,3052}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool4'}	{80,{{'pool01',5},{'pool4',5}}}	{80,{'pool4',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool4',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
5	辉夜专武UP池【松林极光】	{2,2}	0	{202405011000,202405300400}		199	2	2	10004	{{"10034_detailtitle4","10034_detaildes41","10034_detaildes42"},{"10004_detailtitle1","10004_detaildes11","10004_detaildes12","10004_detaildes13","10004_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10004_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_41502',1602079, {2,4,18,1},13,3044,16,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool5'}	{60,{{'pool02',5},{'pool5',5}}}	{60,{'pool5',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool5',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_41502.weapon_41502				120
6	冬至UP池【肴-冬至】	{1,2}	0	{202405011000,202405300400}		198	2	2	10005	{{"10005_detailtitle1","10005_detaildes11","10005_detaildes13","10005_detaildes14","10005_detaildes15"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10005_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl010a','/Game/Spine/Hero/Girl010a/GachaGirl_010a.GachaGirl_010a',0.3,{0,0},{0,0},{1.2,1},1602067,{1,10,2,1},1,3051}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool6'}	{80,{{'pool01',5},{'pool6',5}}}	{80,{'pool6',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool6',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
7	云篆UP池【辰星-云篆】	{1,2}	0	{202408221000,202409120400}		197	2	2	10006	{{"90003_detailtitle4","90003_detaildes41","90003_detaildes42"},{"10006_detailtitle1","10006_detaildes11","10006_detaildes12","10006_detaildes13","10006_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10006_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl014a','/Game/Spine/Hero/Girl014a/GachaGirl_014a.GachaGirl_014a',0.3,{0,0},{0,0},{1.2,1},1602075,{1,14,2,1},2,3059}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool7'}	{80,{{'pool01',5},{'pool7',5}}}	{80,{'pool7',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool7',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
8	云篆专武UP池【朱书断邪】	{2,2}	0	{202408221000,202409120400}		196	2	2	10007	{{"90004_detailtitle4","90004_detaildes41","90004_detaildes42"},{"10007_detailtitle1","10007_detaildes11","10007_detaildes12","10007_detaildes13","10007_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10007_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_51506',1602108, {2,5,22,1},10.1,3058,13,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool8'}	{60,{{'pool02',5},{'pool8',5}}}	{60,{'pool8',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool8',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_51506.weapon_51506				120
9	狂猎UP池【里芙-狂猎】	{1,2}	0	{202405011000,202405300400}		195	2	2	10008	{{"10008_detailtitle1","10008_detaildes11","10008_detaildes13","10008_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10008_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl002a','/Game/Spine/Hero/Girl002a/GachaGirl_002a.GachaGirl_002a',0.3,{0,0},{0,0},{1.2,1},1602077,{1,2,2,1},1,3043}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool09','pool9'}	{80,{{'pool09',5},{'pool9',5}}}	{80,{'pool9',5}}	1	10001	{{'pool09',4},{'pool09',5},{'pool9',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
