BufferID	描述备注	类型备注	强度备注	价格	第1波概率	第2波概率	第3波概率	第4波概率	第5波概率	第6波概率	第7波概率	第8波概率	第9波概率	第10波概率	第11波概率	第12波概率
BufferID	DesComment	TypeComment	RarityComment	Price	probability1	probability2	probability3	probability4	probability5	probability6	probability7	probability8	probability9	probability10	probability11	probability12
3000	攻击力提升20%/30%	攻击提升	1	100	227	318	227	159	90	45	45	14	0	0	0	0
3001	技能伤害提高25%/35%	技能强化	1	100	500	300	100	150	100	50	50	20	0	0	0	0
3002	射击伤害提升25%/35%	射击强化	1	100	500	300	100	150	100	50	50	20	0	0	0	0
3003	暴击伤害增幅提高30%/45%	暴击提升	1	100	227	318	227	159	90	45	45	14	0	0	0	0
3004	护盾获取效能提高20%/30%	护盾	1	100	500	300	100	150	100	50	50	20	0	0	0	0
3005	弹匣容量提高30%/45%(只保留整数)	弹容提升	1	100	500	300	100	150	100	50	50	20	0	0	0	0
3006	常规能量回复速度提高25%/35%	能量获取	1	100	500	300	100	150	100	50	50	20	0	0	0	0
3007	爆发能量获取率提高25%/35%	能量获取	1	100	500	300	100	150	100	50	50	20	0	0	0	0
3008	射击速度提升10%/15%	射击强化	1	100	500	300	100	150	100	50	50	20	0	0	0	0
3009	换弹速度提升15%/25%	弹药回复	1	100	500	300	100	150	100	50	50	20	0	0	0	0
3010	释放技能会回复2%/3%的最大生命值，触发间隔2秒	回复	1	100	500	300	100	150	100	50	50	20	0	0	0	0
3011	常规/爆发能量消耗降低10%/15%	能量获取	1	100	500	300	100	150	100	50	50	20	0	0	0	0
																
3012	受到伤害后使造成伤害提高35%/50%，持续5秒	伤害提升	2	150	227	318	227	159	90	45	45	14	0	0	0	0
3014	每次击杀敌人，使下一次造成的伤害提高50%/75%	伤害提升	2	150	227	318	227	159	90	45	45	14	0	0	0	0
3015	使用常规技能后,恢复3%最大生命，冷却时间10秒	回复	2	150	227	318	227	159	90	45	45	14	0	0	0	0
3016	最大生命降低33%,常规技能伤害提升60%	技能强化	2	150	227	318	227	159	90	45	45	14	0	0	0	0
3017	击败敌方目标后，射击速度提升15%，持续5秒	射击强化	2	150	227	318	227	159	90	45	45	14	0	0	0	0
3018	当前生命值每降低1%，造成的伤害则提高0.4%/0.6%	伤害提升	2	150	227	318	227	159	90	45	45	14	0	0	0	0
3019	每秒获得自身最大生命值0.3%/0.7%的护盾，该护盾最多叠加30层	护盾	2	150	227	318	227	159	90	45	45	14	0	0	0	0
3020	每次翻滚后获得50%/75%伤害提升，翻滚会额外消耗5%当前生命，角色不会因此效果死亡，持续10秒	伤害提升	2	150	227	318	227	159	90	45	45	14	0	0	0	0
3021	获得1%/1.5%射击生命偷取	回复	2	150	227	318	227	159	90	45	45	14	0	0	0	0
3022	每次换弹后1.6/2.4秒内射击不消耗子弹，有10秒触发间隔	弹药回复	2	150	227	318	227	159	90	45	45	14	0	0	0	0
3023	击败敌人有15%/20%概率回满弹匣	弹药回复	2	150	227	318	227	159	90	45	45	14	0	0	0	0
3024	10范围内每有一个敌人自身攻击力提高6%/10%，至多提高30%/50%	攻击提升	2	150	227	318	227	159	90	45	45	14	0	0	0	0
3025	释放技能后使接下来5秒内射击伤害提高30%/50%	射击强化	2	150	227	318	227	159	90	45	45	14	0	0	0	0
3026	每次技能命中为自己回复2/3的常规能量，触发间隔1秒	能量获取	2	150	227	318	227	159	90	45	45	14	0	0	0	0
3027	技能命中为目标附加射击伤害易伤，使目标受到的射击伤害提升20%/30%，持续5秒	射击强化	2	150	227	318	227	159	90	45	45	14	0	0	0	0
3028	瞄准射击获得低温附魔，额外造成自身攻击力10%/15%的低温伤害	额外伤害	2	150	227	318	227	159	90	45	45	14	0	0	0	0
3029	持续射击状态，射击获得动能附魔，额外造成自身攻击力7%/10%的动能伤害	额外伤害	2	150	227	318	227	159	90	45	45	14	0	0	0	0
3030	血量低于50%，射击获得高热附魔，额外造成自身攻击力10%/15%的高热伤害	额外伤害	2	150	227	318	227	159	90	45	45	14	0	0	0	0
3031	释放技能后，射击获得电击附魔，额外造成自身攻击力10%/15%的电击伤害，持续10秒	额外伤害	2	150	227	318	227	159	90	45	45	14	0	0	0	0
																
3032	造成的伤害提高45%/65%，但造成伤害时有5%概率消耗自身5%当前生命值，角色不会因此效果死亡，每秒最多消耗1次	伤害提升	3	200	0	0	215	361	250	179	107	107	0	0	0	0
3033	击杀敌人获得9%/13%的全伤害提升，持续10秒，可以叠加5层	伤害提升	3	200	0	0	215	361	250	179	107	107	0	0	0	0
3034	对处于控制状态下的目标造成伤害提高50%/75%	伤害提升	3	200	0	0	215	361	250	179	107	107	0	0	0	0
3035	根据目标距离自己的距离提高造成的伤害，越近造成伤害越高，最多提高50%/75%（在50m降低至0）	伤害提升	3	200	0	0	215	361	250	179	107	107	0	0	0	0
3036	【联机防守专属】弹匣内子弹数量大于50%时,射击的伤害提升40%	伤害提升	3	200	0	0	215	361	250	179	107	107	0	0	0	0
3037	降低30%最大生命，但造成的伤害提高60%/90%	伤害提升	3	200	0	0	0	0	250	179	107	107	0	0	0	0
3038	若当前生命不满，则射击速度提高20%/30%	射击强化	3	200	0	0	215	361	250	179	107	107	0	0	0	0
3039	血量低于80%时受到的最终伤害降低20%/30%	防御	3	200	0	0	215	361	250	179	107	107	0	0	0	0
3040	弹匣内每颗子弹都会使角色射击伤害提高2%/3%	伤害提升	3	200	0	0	215	361	250	179	107	107	0	0	0	0
3041	非瞄准射击伤害提高45%/65%，且武器稳定性提高20%	伤害提升	3	200	0	0	215	361	250	179	107	107	0	0	0	0
3042	连续射击同一名敌人超过5次后，射击会对该敌人额外造成造成攻击力12%/18%的高热伤害并附带击退效果，切换射击目标时计数重置	额外伤害	3	200	0	0	215	361	250	179	107	107	0	0	0	0
3043	释放主动技能消耗的常规能量会按照50%的比例转化为爆发能量，释放主动技能消耗的爆发能量会按照10%的比例转化为常规能量	能量获取	3	200	0	0	215	361	250	179	107	107	0	0	0	0
3044	若角色释放常规技或爆发技后对应类型的能量储备低于上限的50%则有20%的概率触发能量返还，返还本次消耗能量的50%	能量获取	3	200	0	0	215	361	250	179	107	107	0	0	0	0
3045	释放主动技能补充弹容上限50%的子弹	弹药回复	3	200	0	0	215	361	250	179	107	107	0	0	0	0
																
3046	射击伤害提高60%/90%，但射击会消耗5%的当前生命值，每次消耗时获得一层【怨恨】效果，当持有5层怨恨时下次射击造成的伤害提高200%/300%，并回复本次伤害10%的生命值(这个值可以稍微给高点）	射击强化	4	250	0	0	0	0	273	455	364	273	0	0	0	0
3047	技能命中处于控制状态下的敌人或造成控制效果时，造成一次敌人2%/3%最大生命值的纯粹伤害，每3秒最多触发一次	额外伤害	4	250	0	0	0	0	273	455	364	273	0	0	0	0
3048	【联机防守专属】弹匣容量提升50%	弹药回复	4	250	0	0	0	0	273	455	364	273	0	0	0	0
3049	【联机防守专属】常规技能伤害提升40%	技能强化	4	250	0	0	0	0	273	455	364	273	0	0	0	0
3050	血量低于50%时技能伤害提高40%/60%，技能急速增加40/60，且每秒额外获得1/1.5点常规能量	技能强化	4	250	0	0	0	0	273	455	364	273	0	0	0	0
3051	造成伤害的0.5%/1%会转化为护盾，护盾上限为最大生命的100%/100%，该护盾每秒减少最大生命值的5%	护盾	4	250	0	0	0	0	273	455	364	273	0	0	0	0
3052	护盾值的5%/7.5%转化为攻击力	攻击提升	4	250	0	0	0	0	273	455	364	273	0	0	0	0
3053	进入持续射击状态超过1秒后进入【倾泻】状态，射击速度提高30%/45%，每次射击命中使自己攻击力提高1%/1%，至多提高至30%/45%，退出持续射击状态移除强化效果	射击强化,攻击提升	4	250	0	0	0	0	273	455	364	273	0	0	0	0
3054	射击会消耗1点爆发能量使本次伤害提高100%/150%，能量不足时不生效	技能强化	4	250	0	0	0	0	273	455	364	273	0	0	0	0
3055	常规能量回复速度提高30%/45%，且角色体力回复速度提升60%	能量获取	4	250	0	0	0	0	273	455	364	273	0	0	0	0
3056	释放常规技或支援技，减少0.5/1秒爆发技使用间隔，释放爆发技，刷新常规技和支援技的剩余使用间隔	技能强化	4	250	0	0	0	0	273	455	364	273	0	0	0	0
																
3057	所有元素类型的伤害增加30%	伤害提升	5	400	0	0	100	27	45	91	273	455	0	0	0	0
3058	使用爆发技后，获得霸体效果，持续6秒，期间造成的伤害提升20%，受到的伤害降低20%	伤害提升	5	400	0	0	10	27	45	91	273	455	0	0	0	0
3059	造成射击伤害时使自身技能伤害提升50/75%，造成技能伤害时使自身射击伤害提升50%/75%，强化效果持续5秒。当同时拥有两种强化效果时，两种强化的加成翻倍	射击强化,技能强化	5	400	0	0	10	27	45	91	273	455	0	0	0	0
