类别ID	图片路径ID	标题	说明	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	是否显示页码	是否循环	切页方式（默认滑动加按钮）1：仅可滑动	备注
ID	Path	Title	Caption	Condition	ShowPage	Loop	ChangeMode	
1	2000001	TxtTutorialTowerTitle01	ui.TxtTutorialTower01		1	1		爬塔玩法介绍
1	2000002	TxtTutorialTowerTitle02	ui.TxtTutorialTower02		1	1		爬塔玩法介绍
1	2000003	TxtTutorialTowerTitle03	ui.TxtTutorialTower03		1	1		爬塔玩法介绍
1	2000004	TxtTutorialTowerTitle04	ui.TxtTutorialTower04		1	1		爬塔玩法介绍
2	2000005	TxtTutorialBossTitle01	ui.TxtTutorialBoss01		1	1		BOSS挑战教学图1
2	2000006	TxtTutorialBossTitle01	ui.TxtTutorialBoss02		1	1		BOSS挑战教学图2
2	2000007	TxtTutorialBossTitle03	ui.TxtTutorialBoss03		1	1		BOSS挑战教学图3
2	2000008	TxtTutorialBossTitle04	ui.TxtTutorialBoss04		1	1		BOSS挑战教学图4
2	2000009	TxtTutorialBossTitle05	ui.TxtTutorialBoss05		1	1		BOSS挑战教学图5
3	1902000	TxtTutorialFightTitle	ui.TxtTutorialFight01					战斗指引图
4	1902002	TxtTutorialFightTitle	ui.TxtTutorialFight03		1	1		战斗指引图
4	1902006	TxtTutorialFightTitle	ui.TxtTutorialFight07		1	1		战斗指引图
4	1902007	TxtTutorialFightTitle	ui.TxtTutorialFight08		1	1		战斗指引图
5	1902001	TxtTutorialFightTitle	ui.TxtTutorialFight02					战斗指引图
6	1902003	TxtTutorialFightTitle	ui.TxtTutorialFight04					战斗指引图
7	1902004	TxtTutorialFightTitle	ui.TxtTutorialFight05					战斗指引图
8	1902005	TxtTutorialFightTitle	ui.TxtTutorialFight06					战斗指引图
9	1902008	TxtTutorialFightTitle	ui.TxtTutorialFight09		1	1		战斗指引图
9	1902009	TxtTutorialFightTitle	ui.TxtTutorialFight10		1	1		战斗指引图
10	2000010	TxtTutorialFightTitle	ui.TxtTutorialFight11					喷漆罐美宣图
11	2000011	TxtTutorialFightTitle	ui.TxtTutorialFight12					罐头投掷者美宣图
12	2000012	TxtTutorialMultiTitle01	ui.TxtTutorialMulti01		1	1		联机玩法介绍
12	2000014	TxtTutorialMultiTitle02	ui.TxtTutorialMulti02		1	1		联机玩法介绍
