活动Id(最大6550)	排序	//备注	所在页签（0或不填则隐藏，1为限时页，2为常驻页，3为新手活动页）	组别	组Icon（父标签ICON，可不填，默认读后面的子标签ICON）	组名（父标签名称，可不填，默认读后面的子标签名称）	活动类型	起始时间	结束时间	临时关闭(常规不用 0默认开启 1关闭,任务计数 2关闭,任务不计数)	是否隐藏	解锁条件(例{{{1,1}}})（1账号等级 2前置关卡 3获得某个道具）双{{}}隔开为或条件，单{}隔开为且条件	模板Id(主要是非签到模板)	背景图	页签Icon	抬头图标	立绘	帮助描述{文本key,显示标记 1默认统一位置显示2活动模板自己显示，外围隐藏}	内容描述(逗号分割多个)	页签描述	每日任务({成就id}activity_quest.txt)	每周任务({成就id}activity_quest.txt)	活动期任务({成就id}activity_quest.txt)	代币ID({id1,..})	自定义数据(商店模板:商店id;返还模板:0展示阶段1领奖阶段;首充模板：奖励物品;短签模板:弹窗顺序;任务回归离线时间【只限活动大厅内的回归使用】)	自定义数据(任务活动1013模板:{1显示常驻标签,默认关闭}；联机活动模板:{按钮的IconId})	跳转界面({类型,值}1类型,function id;2类型,ui窗口名字;3类型,lua函数)	跳转参数	每日解锁任务({{第几天开放,Normal任务id,...},..})	终身模式(1标记)	弹窗顺序(仅短签活动)；序号越大越先弹出	地区限制目前可填：0国内外,1国内,2海外	是否已有核心奖励	是否能领取核心奖励	是否是新手活动
Id	Index	Common	Tab	GroupId	GroupIcon	GroupName	Class	StartTime	EndTime	CloseFlag	Hide	Condition	ModeId	BG	TitleIcon	TitleImg	ImgPic	HelpDes	ContentDes	TitleDes	Daily	Weekly	Normal	CashID	CustomData	CustomData1	GotoUI	tbParam	UnlockDaily	Lifelong	PopIndex	Coverage	CheckNoItem	CantRecvAward	BeginnerActivities
1	14	每日签到	1	1			signin_monthly	[202012010400]	[203212010400]			{{{2,50174}},{{2,10104}}}	1001	1602043	1701105					activity.Lable1															
																																			
																																			
																																			
5	4	新人七天乐测试		4			seven_day					{{{2,11425}},{{2,10107}}}	1043	1602024	1701104					activity.Lable55				{5}						1					1
																																			
																																			
																																			
																																			
10	4	充值返还	1	10			recharge	[202012010400]	[202310180959]			{{{2,11429}},{{2,10104}}}	1009	1602044	1701104				tip.rechargeTips	activity.Lable8					{1}					1		1			
																																			
																																			
12	9	扭蛋试玩_公测_辉夜	1	12			gacha_try	[202306231000]	[202308070400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701104			{"activity.try_girl_test",1}		activity.TxtActivityTry1															
13	13	灯盏铭福	1	13			signin_monthly	[202308070400]	[202308280400]			{{{2,11429}},{{2,10104}}}	1006	1602028	1701104			{"activity.template_5_des",1}	activity.template_5_des	activity.Lable10										1					
14	5	首充	1	14			first_recharge					{{{2,11429}},{{2,10104}}}	1012	1602106	1701104	1602133			ui.FirstPurchaseTips	activity.Lable11					{{7,8,1,2,1},{9,4,3,1,1},{5,1,1,4,3}}	{1602134}	{2,"Mall"}	{6}		1					
																																			
																																			
17	12	触雪寻踪2		17			signin_monthly	[202306231000]				{{{2,11429},{29,1758744000}}}	1014	1602103	1701106	1602033		{"activity.template_4_des",1}	activity.template_4_des	activity.Lable6										1	2				1
18	9	扭蛋试玩_DLC1_云篆瑟瑞斯	1	12			gacha_try	[202308070400]	[202308310400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701104			{"activity.try_girl_test",1}		activity.TxtActivityTry1															
19		回归	1	19			player_return	[202309211000]	[202311020400]		1	{{{1,30}}}						{"activity.return_template_6_des",1}																	
20	1	自选SSR		20			diy_ssr						1015	1602119	1701104				activity.ssrSelectRules	activity.Lable13					{{{2,11429}},{{1,2,2,1,1,7},{1,5,2,1,1,8},{1,8,2,1,1,8},{1,10,2,1,1,8},{1,4,2,1,1,9}}}					1					1
																																			
22	2	指挥历程		22			activity_quest					{{{2,11422}}}	1016	1602126	1701104	1602125				activity.MianStoryTarget_name			{9001,9002,9004,9006}							1					1
23	6	宿舍引导活动 		23			activity_quest	[202306231000]				{{{2,11422},{15,10230}},{{2,50101}}}	1013	1602120	1701104	1602121			activity.template_8_des	activity.Lable14			{1401,1402,1403,1404,1405,1406,1407,1408,1409,1410,1411,1412,1413,1414,1415,20702,20703,20704,20705,20706}							1					1
24	5	指挥速升		24			activity_quest						1026	1602302	1701104	1602303			ui.PlayerExp_BuffInfo,ui.PlayerExp_BuffInfo2	ui.PlayerExp_BuffTitle2			{9101,9102,9103,9104,9105,9106,9107,9108,9109,9110,9111,9112,9113,9114,9115,9116}							1					1
																																			
