角色GDPL	注释	技能id	技能id			评定解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)			评定奖励		
GDPL	Comment	SkillID0	SkillID1	SkillID2	SkillID3	Condition1	Condition2	Condition3	Award1	Award2	Award3
{1,1,1,1}	安卡希雅-「不予显示」	{100101101}	{100101201}	{100101301}	{100101401}	{{6,1,1,1,1,30},{7,1,1,1,1,2}}	{{6,1,1,1,1,50},{7,1,1,1,1,4}}	{{6,1,1,1,1,70},{7,1,1,1,1,6}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}
{1,1,2,1}	安卡希雅-辉夜形态	{110101101}	{110101201}	{110101301}	{110101401}	{{6,1,1,2,1,30},{7,1,1,2,1,2}}	{{6,1,1,2,1,50},{7,1,1,2,1,4}}	{{6,1,1,2,1,70},{7,1,1,2,1,6}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}
{1,1,3,1}	安卡希雅-时之重奏	{120101101}	{120101201}	{120101301}	{120101401}	{{6,1,1,3,1,30},{7,1,1,3,1,2}}	{{6,1,1,3,1,50},{7,1,1,3,1,4}}	{{6,1,1,3,1,70},{7,1,1,3,1,6}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}
{1,2,1,1}	里芙-星期三	{100201101}	{100201201}	{100201301}	{100201401}	{{6,1,2,1,1,30},{7,1,2,1,1,2}}	{{6,1,2,1,1,50},{7,1,2,1,1,4}}	{{6,1,2,1,1,70},{7,1,2,1,1,6}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}
{1,2,2,1}	里芙-狂猎形态	{110201101}	{110201201}	{110201301}	{110201401}	{{6,1,2,2,1,30},{7,1,2,2,1,2}}	{{6,1,2,2,1,50},{7,1,2,2,1,4}}	{{6,1,2,2,1,70},{7,1,2,2,1,6}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}
{1,2,3,1}	里芙-无限之视	{120201101}	{120201201}	{120201301}	{120201401}	{{6,1,2,3,1,30},{7,1,2,3,1,2}}	{{6,1,2,3,1,50},{7,1,2,3,1,4}}	{{6,1,2,3,1,70},{7,1,2,3,1,6}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}
{1,3,1,1}	妮塔-四手	{100301101}	{100301201}	{100301301}	{100301401}	{{6,1,3,1,1,30},{7,1,3,1,1,2}}	{{6,1,3,1,1,50},{7,1,3,1,1,4}}	{{6,1,3,1,1,70},{7,1,3,1,1,6}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}
{1,3,2,1}	妮塔-悸响	{110301101}	{110301201}	{110301301}	{110301401}	{{6,1,3,2,1,30},{7,1,3,2,1,2}}	{{6,1,3,2,1,50},{7,1,3,2,1,4}}	{{6,1,3,2,1,70},{7,1,3,2,1,6}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}
{1,4,1,1}	芙提雅-小太阳	{100401101}	{100401201}	{100401301}	{100401401}	{{6,1,4,1,1,30},{7,1,4,1,1,2}}	{{6,1,4,1,1,50},{7,1,4,1,1,4}}	{{6,1,4,1,1,70},{7,1,4,1,1,6}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}
{1,4,2,1}	芙提雅-缄默形态	{110401101}	{110401201}	{110401301}	{110401401}	{{6,1,4,2,1,30},{7,1,4,2,1,2}}	{{6,1,4,2,1,50},{7,1,4,2,1,4}}	{{6,1,4,2,1,70},{7,1,4,2,1,6}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}
{1,4,3,1}	芙提雅-驰掣	{120401101}	{120401201}	{120401301}	{120401401}	{{6,1,4,3,1,30},{7,1,4,3,1,2}}	{{6,1,4,3,1,50},{7,1,4,3,1,4}}	{{6,1,4,3,1,70},{7,1,4,3,1,6}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}	{{5,21,1,4,1}}
