ID	备注	定义（11=后勤 12=角色 13=武器 14=武器配件）	Logo	立绘	头像200*200	头像130*130	切腰立绘800*800	切腰立绘400*400	切腰立绘400*400	头像60*60	新版头像200*200
ID	Comment	Define	Logo	P1	P2	P3	P4	P5	P11	P6	P17
1210001	里芙	12	130040000	130040001	130040002	130040003	130040004	130040005	130040005	130040006	130040031
1210002	妮塔	12	130060000	130060001	130060002	130060003	130060004	130060005	130060005	130060006	130060007
1210003	芙提雅	12	130070000	130070001	130070002	130070003	130070004	130070005	130070005	130070006	130070031
1210004	茉莉安-雨燕	12	130100000	130100001	130100002	130100003	130100004	130100005	130100005	130100006	130100025
1210005	鸣濑晴	12	130110000	130110001	130110002	130110003	130110004	130110005	130110005	130110006	130110013
1210006	琴诺	12	130120000	130120001	130120002	130120003	130120004	130120005	130120005	130120006	130120007
1210007	芬妮	12	130130000	130130001	130130002	130130003	130130004	130130005	130130005	130130006	130130037
1210009	安卡希雅	12	130020000	130020001	130020002	130020003	130020004	130020005	130020005	130020006	130020020
1210010	茉莉安	12	130090000	130090001	130090002	130090003	130090004	130090005	130090005	130090006	130090007
1210011	里芙-狂猎	12	130050000	130050001	130050002	130050003	130050004	130050005	130050005	130050006	130050025
1210012	肴	12	130140000	130140001	130140002	130140003	130140004	130140005	130140005	130140006	130140031
1210013	恩雅	12	130160000	130160001	130160002	130160003	130160004	130160005	130160005	130160006	130160019
1210014	芙提雅-缄默	12	130080000	130080001	130080002	130080003	130080004	130080005	130080005	130080006	130080019
1210015	安卡希雅-辉夜	12	130030000	130030001	130030002	130030003	130030004	130030005	130030005	130030006	130030019
1210016	肴-冬至	12	130150000	130150001	130150002	130150003	130150004	130150005	130150005	130150006	130150032
1210017	猫汐尔	12	130170000	130170001	130170002	130170003	130170004	130170005	130170005	130170006	130170025
1210018	芬妮-咎冠	12	130180000	130180001	130180002	130180003	130180004	130180005	130180005	130180006	130180031
1210019	瑟瑞斯	12	130200000	130200001	130200002	130200003	130200004	130200005	130200005	130200006	130200013
1210020	辰星	12	130190000	130190001	130190002	130190003	130190004	130190005	130190005	130190006	130190013
1210021	辰星-云篆	12	130210000	130210001	130210002	130210003	130210004	130210005	130210005	130210006	130210032
1210022	晴-藏锋	12	130220000	130220004	130220002	130220003	130220004	130220005	130220005	130220006	130220027
1211022	晴-藏锋_a	13	130220000	130220024	130220002	130220003	130220023	130220022	130220022	130220006	130220027
1210023	猫汐尔-溯影	12	130230000	130230001	130230002	130230003	130230004	130230005	130230005	130230006	130230023
1210024	苔丝-魔术师	12	130240000	130240001	130240002	130240003	130240004	130240005	130240005	130240006	130240025
1211024	苔丝-魔术师_a	12	130240000	130240024	130240002	130240003	130240023	130240022	130240022	130240006	130240025
1210025	凯茜娅-蓝闪	12	130250000	130250001	130250002	130250003	130250004	130250005	130250005	130250006	130250049
1210026	伊切尔-豹豹	12	130260000	130260001	130260002	130260003	130260004	130260005	130260005	130260006	130260028
1210027	琴诺-悖谬	12	130270000	130270001	130270002	130270003	130270004	130270005	130270005	130270006	130270037
1211027	琴诺-悖谬_a	12	130270000	130270024	130270002	130270003	130270023	130270022	130270022	130270006	130270037
1210028	恩雅-羽蜕	12	130280000	130280001	130280002	130280003	130280004	130280005	130280005	130280006	130280032
1210029	瑟瑞斯-瞬刻	12	130290000	130290001	130290002	130290003	130290004	130290005	130290005	130290006	130290037
1210030	芬妮-辉耀	12	130310000	130310001	130310002	130310003	130310004	130310005	130310005	130310006	130310044
1210031	里芙-无限之视	12	130300000	130300001	130300002	130300003	130300004	130300005	130300005	130300006	130300025
1210032	薇蒂雅-龙舌兰	12	130320000	130320001	130320002	130320003	130320004	130320005	130320005	130320006	130320027
1210033	凯茜娅-朝翼	12	130330000	130330001	130330002	130330003	130330004	130330005	130330005	130330006	130330034
1210034	茉莉安-幽潮	12	130340000	130340001	130340002	130340003	130340004	130340005	130340005	130340006	130340034
1210035	芙提雅-驰掣	12	130350000	130350001	130350002	130350003	130350004	130350005	130350005	130350006	130350037
1210037	卜卜-小天师	12	130370000	130370001	130370002	130370003	130370004	130370005	130370005	130370006	130370040
1210038	肴-夜天光	12	130380000	130380001	130380002	130380003	130380004	130380005	130380005	130380006	130380039
1210039	辰星-琼弦	12	130390000	130390001	130390002	130390003	130390004	130390005	130390005	130390006	130390037
1210040	恩雅-澜风	12	130400000	130400001	130400002	130400003	130400004	130400005	130400005	130400006	130400036
1210041	妮塔-悸响	12	130410000	130410001	130410002	130410003	130410005	130410004	130410004	130410006	130410027
1210042	奈莉德-冥河代理人	12	130420000	130420001	130420002	130420003	130420005	130420004	130420004	130420006	130420037
1210043	薇蒂雅-天鹅座	12	130430000	130430001	130430002	130430003	130430005	130430004	130430004	130430006	130430027
1210044	凯茜娅-狂诗	12	130440000	130440001	130440002	130440003	130440005	130440004	130440004	130440006	130440028
1210045	苔丝-绮幻	12	130450000	130450001	130450002	130450003	130450005	130450004	130450004	130450006	130450028
1210046	克罗瑞娜-绯月	12	130460000	130460001	130460002	130460003	130460005	130460004	130460004	130460006	130460018
1210047	芬妮-澄意	12	130470000	130470001	130470002	130470003	130470005	130470004	130470004	130470006	130470036
1210048	瑟瑞丝-悠游	12	130480000	130480001	130480002	130480003	130480005	130480004	130480004	130480006	130480029
1210049	米娅-星彩	12	130500000	130500001	130500002	130500003	130500005	130500004	130500004	130500006	130500027
1210050	晴-霆光	12	130490000	130490001	130490002	130490003	130490005	130490004	130490004	130490006	130490028
1210051	卜卜-灵鉴	12	130600000	130600001	130600002	130600003	130600005	130600004	130600004	130600006	130600030
1210052	猫汐尔-莲驱	12	130700000	130700001	130700002	130700003	130700005	130700004	130700004	130700006	130700018
1210053	安卡希雅-时之重奏	12	130510000	130510001	130510002	130510004	130510007	130510006	130510006	130510008	130510021
1210054	茉莉安-霄鹰	12	130520000	130520001	130520002	130520003	130520005	130520004	130520004	130520006	130520029
1210055	芙提雅-炬芯	12	130530000	130530001	130530002	130530003	130530005	130530004	130530004	130530006	130530018
1210056	胧嫣-瑞狐	12	130540000	130540001	130540002	130540003	130540005	130540004	130540004	130540006	130540019
1210057	肴-新换装	12	130560000	130560001	130560002	130560003	130560005	130560004	130560004	130560006	130560018
1210058	里芙-新换装	12	130550000	130550001	130550002	130550003	130550005	130550004	130550004	130550006	130550019
