Id,不能变	说明	动画类型	动画名	路径	注释
Id	Explain	Type	Name	Path	Nul
1	待机	sequence	girl010a_03_ui_stand01	AnimSequence'/Game/Characters/Girl/girl010a_03/Anim/girl010a_03_ui_stand01.girl010a_03_ui_stand01'	
2	讲述	sequence	girl010a_03_openworld_talk01	AnimSequence'/Game/Characters/Girl/girl010a_03/Anim/girl010a_03_openworld_talk01.girl010a_03_openworld_talk01'	
3	无奈	sequence	girl010a_03_openworld_depressed	AnimSequence'/Game/Characters/Girl/girl010a_03/Anim/girl010a_03_openworld_depressed.girl010a_03_openworld_depressed'	
4	睡觉	sequence	girl010a_03_openworld_sleep01	AnimSequence'/Game/Characters/Girl/girl010a_03/Anim/girl010a_03_openworld_sleep01.girl010a_03_openworld_sleep01'	
5	思考-前	sequence	girl010a_03_openworld_think_start	AnimSequence'/Game/Characters/Girl/girl010a_03/Anim/girl010a_03_openworld_think_start.girl010a_03_openworld_think_start'	
6	思考循环	sequence	girl010a_03_openworld_think_loop	AnimSequence'/Game/Characters/Girl/girl010a_03/Anim/girl010a_03_openworld_think_loop.girl010a_03_openworld_think_loop'	
7	思考-后	sequence	girl010a_03_openworld_think_end	AnimSequence'/Game/Characters/Girl/girl010a_03/Anim/girl010a_03_openworld_think_end.girl010a_03_openworld_think_end'	
					
					
					
100	组合动作	custom_seq	5;6;7		
101	循环最后一个	custom_loop_last	5;6		
