Id,不能变	说明	动画类型	动画名	路径	注释
Id	Explain	Type	Name	Path	Nul
1	宿舍站	sequence	girl022_01_house_stand01	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_stand01.girl022_01_house_stand01'	
2	讲述	sequence	girl022_01_house_dialogue_talk	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_talk.girl022_01_house_dialogue_talk'	
3	打招呼	sequence	girl022_01_house_dialogue_greet	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_greet.girl022_01_house_dialogue_greet'	
4	惊讶	sequence	girl022_01_house_dialogue_amaze	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_deny.girl022_01_house_dialogue_deny'	
5	满足	sequence	girl022_01_house_dialogue_satisfy01	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_satisfy01.girl022_01_house_dialogue_satisfy01'	
6	撒娇	sequence	girl022_01_house_dialogue_satisfy02	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_satisfy02.girl022_01_house_dialogue_satisfy02'	
7	抚发	sequence	girl022_01_house_dialogue_fufa	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_fufa.girl022_01_house_dialogue_fufa'	
8	肯定	sequence	girl022_01_house_dialogue_sure	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_sure.girl022_01_house_dialogue_sure'	
9	否定	sequence	girl022_01_house_dialogue_deny	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_deny.girl022_01_house_dialogue_deny'	
10	依赖	sequence	girl022_01_house_dialogue_yilai	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_yilai.girl022_01_house_dialogue_yilai'	
11	生气	sequence	girl022_01_house_dialogue_depressed01	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_depressed01.girl022_01_house_dialogue_depressed01'	
12	委屈	sequence	girl022_01_house_dialogue_depressed02	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_depressed02.girl022_01_house_dialogue_depressed02'	
13	思考-前	sequence	girl022_01_house_dialogue_think_start	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_think_start.girl022_01_house_dialogue_think_start'	
14	思考-循环	sequence	girl022_01_house_dialogue_think_loop	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_think_loop.girl022_01_house_dialogue_think_loop'	
15	思考-后	sequence	girl022_01_house_dialogue_think_end	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_think_end.girl022_01_house_dialogue_think_end'	
16	站立2-前	sequence	girl022_01_house_dialogue_stand02_start	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_stand02_start.girl022_01_house_dialogue_stand02_start'	
17	站立2-循环	sequence	girl022_01_house_dialogue_stand02_loop	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_stand02_loop.girl022_01_house_dialogue_stand02_loop'	
18	站立2-后	sequence	girl022_01_house_dialogue_stand02_end	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_stand02_end.girl022_01_house_dialogue_stand02_end'	
19	沙发坐	sequence	girl022_01_house_sofa_sit01	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_sofa_sit01.girl022_01_house_sofa_sit01'	
20	床上坐	sequence	girl022_01_house_bed_sit01	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_bed_sit01.girl022_01_house_bed_sit01'	
21	床上躺	sequence	girl022_01_house_bed_sleep01	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_bed_sleep01.girl022_01_house_bed_sleep01'	
22	吧台坐	sequence	girl022_01_house_stool_sit01	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_stool_sit01.girl022_01_house_stool_sit01'	
					
					
97	左转	sequence	girl022_01_house_dialogue_turn_L	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_turn_L.girl022_01_house_dialogue_turn_L'	
98	右转	sequence	girl022_01_house_dialogue_turn_R	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_turn_R.girl022_01_house_dialogue_turn_R'	
99	呼吸叠加素材	sequence	girl022_01_house_dialogue_Tpose	AnimSequence'/Game/Characters/Girl/girl022_01/Anim/house/girl022_01_house_dialogue_Tpose.girl022_01_house_dialogue_Tpose'	
100	一次思考	custom_seq	13;14;15		
101	思考循环	custom_loop_last	13;14		
102	一次站立2	custom_seq	16;17;18		
103	站立2循环	custom_loop_last	16;17		
