Id,不能变	说明	动画类型	动画名	路径	注释
Id	Explain	Type	Name	Path	Nul
1	待机	sequence	girl011_02_ui_stand01	AnimSequence'/Game/Characters/Girl/girl011_02/Anim/girl011_02_ui_stand01.girl011_02_ui_stand01'	
2	讲述	sequence	girl011_02_openworld_talk01	AnimSequence'/Game/Characters/Girl/girl011_02/Anim/girl011_02_openworld_talk01.girl011_02_openworld_talk01'	
3	叉腰	sequence	girl011_02_openworld_akimbo	AnimSequence'/Game/Characters/Girl/girl011_02/Anim/girl011_02_openworld_akimbo.girl011_02_openworld_akimbo'	
4	肯定	sequence	girl011_02_openworld_sure	AnimSequence'/Game/Characters/Girl/girl011_02/Anim/girl011_02_openworld_sure.girl011_02_openworld_sure'	
5	否定	sequence	girl011_02_openworld_deny	AnimSequence'/Game/Characters/Girl/girl011_02/Anim/girl011_02_openworld_deny.girl011_02_openworld_deny'	
					
					
					
100	组合动作	custom_seq			
101	全部循环	custom_loop			
102	循环最后一个	custom_loop_last			
