Id,不能变	说明	动画类型	动画名	路径	注释
Id	Explain	Type	Name	Path	Nul
1	待机	sequence	girl017_01_house_stand01	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_stand01.girl017_01_house_stand01'	
2	讲述	sequence	girl017_01_house_talk01	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_talk01.girl017_01_house_talk01'	
3	沙发坐	sequence	girl017_01_house_sofa_sit01	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_sofa_sit01.girl017_01_house_sofa_sit01'	
4	吧台坐	sequence	girl017_01_house_stool_sit01	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_stool_sit01.girl017_01_house_stool_sit01'	
5	感谢	sequence	girl017_01_house_thank01	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_thank01.girl017_01_house_thank01'	
6	惊讶	sequence	girl017_01_house_dialogue_amaze	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_dialogue_amaze.girl017_01_house_dialogue_amaze'	
7	消极	sequence	girl017_01_house_dialogue_depressed	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_dialogue_depressed.girl017_01_house_dialogue_depressed'	
8	蹦跳开心	sequence	girl017_01_house_dialogue_satisfy02	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_dialogue_satisfy02.girl017_01_house_dialogue_satisfy02'	
9	打招呼	sequence	girl017_01_house_dialogue_greet	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_dialogue_greet.girl017_01_house_dialogue_greet'	
10	抱胸	sequence	girl017_01_house_dialogue_armshug	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_dialogue_armshug.girl017_01_house_dialogue_armshug'	
11	思考-前	sequence	girl017_01_house_dialogue_think_start	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_dialogue_think_start.girl017_01_house_dialogue_think_start'	
12	思考-循环	sequence	girl017_01_house_dialogue_think_loop	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_dialogue_think_loop.girl017_01_house_dialogue_think_loop'	
13	思考-后	sequence	girl017_01_house_dialogue_think_end	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_dialogue_think_end.girl017_01_house_dialogue_think_end'	
14	肯定	sequence	girl017_01_house_dialogue_sure	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_dialogue_sure.girl017_01_house_dialogue_sure'	
15	否定	sequence	girl017_01_house_dialogue_deny	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_dialogue_deny.girl017_01_house_dialogue_deny'	
16	喝咖啡	sequence	girl017_01_house_stool_idle01	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_stool_idle01.girl017_01_house_stool_idle01'	
17	抱胸-前	sequence	girl017_01_house_dialogue_armshug02_start	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_dialogue_armshug02_start.girl017_01_house_dialogue_armshug02_start'	
18	抱胸-循环	sequence	girl017_01_house_dialogue_armshug02_loop	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_dialogue_armshug02_loop.girl017_01_house_dialogue_armshug02_loop'	
19	抱胸-后	sequence	girl017_01_house_dialogue_armshug02_end	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_dialogue_armshug02_end.girl017_01_house_dialogue_armshug02_end'	
20	拍手开心	sequence	girl017_01_house_dialogue_satisfy	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_dialogue_satisfy.girl017_01_house_dialogue_satisfy'	
					
					
					
97	左转	sequence	girl017_01_house_dialogue_turn_L	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_dialogue_turn_L.girl017_01_house_dialogue_turn_L'	
98	右转	sequence	girl017_01_house_dialogue_turn_R	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_dialogue_turn_R.girl017_01_house_dialogue_turn_R'	
99	呼吸叠加素材	sequence	girl017_01_house_dialogue_Tpose	AnimSequence'/Game/Characters/Girl/girl017_01/Anim/house/girl017_01_house_dialogue_Tpose.girl017_01_house_dialogue_Tpose'	
100	一次思考	custom_seq	11;12;13		
101	思考循环	custom_loop_last	11;12		
102	一次抱胸	custom_seq	17;18;19		
103	抱胸循环	custom_loop_last	17;18		
